 Title,Principle Authors,Contributors/Co-Authors, Language,Year,Type, Topics,Copyright,Publisher,Abstract,Link
Criterios de evaluación de género para herramientas que versen sobre la tierra en gran escala Cómo podemos juzgar si una herramienta aplicable a la tierra es sensible a las necesidades tanto de hombres como de mujeres?,"Diane Dumashie,Åsa Jonsson,Silvia Mantilla,Siraj Sait,Birte Scholz, Jude Wallace",,ESP,2012,Guide,"Gender,Access to Land and Tenure Security",UN-Habitat/GLTN,UN-Habitat/GLTN,"A pesar del avance en los derechos de las mujeres, los derechos a la tierra y a la seguridad de su tenencia no son disfrutados igualitariamente por mujeres y hombres en muchas partes del mundo. Esto vulnera los derechos humanos internacionales, ejerciendo asimismo un impacto negativo sobre los hogares y la economía.  Los temas de género referidos a la tierra son complicados. Involucran territorios sociales y culturales sensibles y desafían estructuras de poder profundamente enraizadas. Al mismo tiempo, sabemos que para que una herramienta que verse sobre la tierra sea efectiva, necesita ir más allá de una simple óptica técnica, debiendo considerar también las dimensiones sociales como el género. Este folleto presenta la labor que la GLTN (Red de Herramientas Globales sobre la Tierra) ha realizado hasta la fecha con relación al criterio para diseñar nuevas herramientas sobre la tierra, o para evaluar las existentes, desde una perspectiva de género. El marco de los criterios de evaluación de género explora cómo juzgar si una herramienta sobre la tierra en gran escala es suficientemente sensible a las cuestiones de género, a fin de identificar dónde se necesita trabajar más, y posibles puntos de entrada para que una herramienta sea igualmente benéfica tanto para mujeres como para hombres.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/244-gender-evaluation-criteria-for-large-scale-land-tools-sp
Designing a Land Records System for the Poor,Jaap Zevenbergen,"Jean-Paul Decorps,Mohamed El-Sioufi,Leon Verstappen,Rebecca Sittie,Philippe Lavigne Delville,Ibere Lopes,Robert Mitchell,Peter Rabley,Jude Wallace,Lionel Galliez,Stephanie Zecevic,Willy Giacchino,Elena Bevilacqua,Dr. Clarissa Augustinus,Danilo Antonio",ENG,2012,Report,"Access to Land and Tenure Security,Land Administration and Information
",UN-Habitat/GLTN,UN-Habitat/GLTN,Designing a Land Records System for the Poor is the first attempt to fill the gaps in the development of new forms of land recordation to assist the implementation of a continuum of land rights approach at scale. It is about the development of the initial design of a pro-poor land recordation system - a recording system aimed at supporting the recognition and protection of a range of rights of the poor.,http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/30-designing-a-land-records-system-for-the-poor-eng-2012
Designing and Evaluating Land Tools with a Gender Perspective: A Training Package for Land Professionals,"Siraj Sait,Britta Peters,Åsa Jonsson","Diane Dumashie,Joe Hooper,Solomon Haile",ENG,2011,Guide,"Gender,Access to Land and Tenure Security",UN-Habitat/GLTN,UN-Habitat/GLTN,"It cannot be assumed that women and men benefit in the same way from initiatives in the land sector. Depending on the political, economic and cultural context, it is often women, and particularly poor women, who face significant barriers in obtaining land. The Gender Evaluation Criteria has been developed as a practical tool to systematically measure the impact of land tools and interventions on women and men, so that one has concrete evidence on their gender dimensions.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/24-designing-and-evaluating-land-tools-with-a-gender-perspective-a-training-package-for-land-professionals-eng-2011
Forced Evictions - Towards solutions?,"AGFE, Various Partners",,ENG,2007,Report,Access to Land and Tenure Security,UN-Habitat/GLTN,UN-Habitat/GLTN,"This publication is the second report of the Advisory Group on Forced Evictions (AGFE) to the Executive Director of UN-Habitat. It contains follow-up information on eviction cases documented in the first report, 15 new cases, and a detailed analysis of the current global situation regarding forced evictions and successful counterstrategies, methodologies and tools to stop and prevent forced evictions.",http://www.gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/213-forced-evictions-towards-solutions-second-report-of-the-advisory-group-on-forced-evictions-to-the-executive-director-of-un-habitat-eng-2007
Gender evaluation criteria for large-scale land tools: How can we judge if a land tool is responsive to both women and men’s needs?,"Diane Dumashie,Åsa Jonsson,Silvia Mantilla,Siraj Sait,Birte Scholz, Jude Wallace",,ENG,2012,Guide,"Gender,Access to Land and Tenure Security",UN-Habitat/GLTN,UN-Habitat/GLTN,"Despite progress on women’s rights, rights to land and security of tenure are not enjoyed equally by women and men in many parts of the world. This goes against international human rights, and also impacts negatively on households and the economy.
Gender issues related to land are complicated. They involve sensitive social and cultural territories and challenge deeply rooted power structures. At the same time, we know that for a land tool to be effective, it needs to go beyond a technical lens and also consider social dimensions such as gender",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/243-gender-evaluation-criteria-for-large-scale-land-tools-eng
Gender evaluation criteria for large-scale land tools: How can we judge if a land tool is responsive to both women and men’s needs?,"Diane Dumashie,Åsa Jonsson,Silvia Mantilla,Siraj Sait,Birte Scholz, Jude Wallace",,ARB,2012,Guide,"Gender,Access to Land and Tenure Security",UN-Habitat/GLTN,UN-Habitat/GLTN,This Gender Evaluation Criteria (GEC) matrix has been extracted from the GLTN publication entitled Designing and Evaluating Land Tools with a Gender Perspective: A Training Package for Land Professionals (Arabic translation),http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/613-gender-evaluation-criteria-tool-ar
Gendering Land Tools: Achieving secure tenure for women and men,Siraj Sait,"Dr. Clarissa Augustinus,Åsa Jonsson,Erika Lind,Lucia Kiwala,Ansa Masaud",ENG,2009,Guide,"Gender,Access to Land and Tenure Security",UN-Habitat/GLTN,UN-Habitat/GLTN,"This publication, from the Global Land Tool Network, presents a mechanism for effective inclusion of women and men in land tool development and outlines methodologies and strategies for systematically developing land tools that are responsive to both women and men’s needs. Equal property rights for women and men are fundamental to social and economic gender equality. However, women often face discrimination in formal, informal and customary systems of land tenure. Around the world, women encounter barriers of social customs or patriarchal tenure systems which prevent them from obtaining and holding the same rights as men to land.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/81-gendering-land-tools-achieving-secure-tenure-for-women-and-men-eng-2008
GLTN Capacity Development Strategy,,"Jenny Pearson,Stig Enemark,Jean du Plessis",ENG,2014,Report,Capacity Development,UN-Habitat/GLTN,UN-Habitat/GLTN,"The challenge of capacity development is one of the most difficult areas for individuals and institutions working to improve the livelihoods and security of the world’s poorest people. This challenge deeply affects the implementation of projects, programmes and activities, and the ability to sustain them or to build on and take them further. Effective, long-term capacity cannot be developed easily, haphazardly, or quickly. Until recently, developing capacity was seen mainly as the transfer of knowledge and skills from the ""experts"" to development partners; the word it has most often been equated with is ""training"". A welcome shift from this perspective is underway. Capacity development is increasingly recognised as a complex process that requires an integrated approach, designed to deal with particular situations in a comprehensive manner. 
An important part of this recognition is that successful and sustainable implementation depends on multiple factors, including the social and political context in which it occurs, the structure and influence of the various organisations and individuals involved, ownership of development ideas and aims, the priorities on the ground, and the extent of existing leadership abilities, skills and commitment of the people involved.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/130-the-gltn-capacity-development-strategy-eng-2013
GLTN/UN-Habitat Youth Led Action Research on Land Commencement Workshop,,"Kate Fairlie,Toril Iren Pedersen,Douglas Ragan,Priscilla Li Ying",ENG,2014,Report,"Youth,Capacity Development",UN-Habitat/GLTN,UN-Habitat/GLTN,"The land challenge is central to the broader youth dynamics of migration, employment, livelihoods and belonging. The more than 1.8 billion youth living worldwide represent not only a land challenge, but an untapped potential in moving the tenure security agenda forward. Recognizing this, the Global Land Tool Network has partnered with UN-Habitat to develop youth responsive land tools through the Youth-led Action Research on Land program. Five action research projects will be undertaken by youth organizations in Brazil, Kenya, Nepal, Yemen and Zimbabwe. Each focuses on the engagement of youth in land decision making, the needs of youth relating to land, and the development of tools that will support pro-poor, pro-youth good land governance. The projects will help advance the development of youth-inclusive and participatory approaches to land governance, by identifying youth as both a target group for tenure security as well as important drivers of change in the land sector.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/205-un-habitat-and-gltn-youth-led-action-research-on-land-commencement-workshop-report-eng-2013
Guide de médiation foncière: Basé sur l’Expérience de l’Est de la République Démocratique du Congo,"Sietchiping Remy,Oumar Sylla,Christol Paluku Mastaki","Augustin Blaise Mumbere Mapendo,Honoré Banyene Mubawa,Justin Daniel Kahindo Kamwira,Liévin Shakanya Chirabisa,Pascal Tchikala Munganga,Axel Kitoga Wakilongo,Patrick Kyanza Witandaye,Grévy-Jacob Kambale Kavene,Christian Kamabaza Gundi,Jean-Claude Mirindi Ganywamulume,Michel Mirali Mushi,Dady Mukeba Misumba,Koffi Alinon,José Mokbondo Lihesa,Jean-Emmanuel Mupfuni Mihigo,Charles Mukandirwa Wetemwami,Emmanuel Nziwa Kyaviro,Benoit Tambwe Likondo,Justin Selemani Kakesa,Bosco Ndabita Habimana,Jolie Kibandja Miancho,Désiré Minzori Bahunga,Emmanuel Bahani Bitasimwa,Elourd Kiekire Luanda,Michel Mapendo Shirambere,Ambroise Mumbere Masumbuko,Soleil Muhekwa Khake,Christophe Nyambatsi Mutaka,Marie-José Biironyi Nsekanabo,Docky Muheza Nsengimana,Floribert Kazuba Missi,Salvador Safari Shamamba,Sylva Kubuya Baligamire,Joseph Guiebo,Corneille Kanene Mudimubadu,Jean Pierre Conde,Florian Bruyas,Dan Lewis,Claude Ngomsi",FR,2013,Report,"Land Mediation,Access to Land and  Tenure Security",UN-Habitat/GLTN,UN-Habitat/GLTN,"Le Guide de mediation fonciere s'inspire surtout de l'experience pratique de terrain du programme foncier tel que mene par ONU-Habitat a l'Est de la Republique Democratique du Congo, notamment au Nord Kivu, Ituri et Sud Kivu. Il se refere par endroit aux experiences d'autres pays en situation de post-conflits. Ce guide propose des etapes concretes et des outils utilises lors du processus de mediation fonciere. Le role et responsabilites des acteurs et ‘beneficiaires' de la mediation sont aussi decrits. Les principes et fondements d'une bonne mediation sont mis en exergue.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/42-guide-de-mediation-fonciere-base-sur-l-experience-de-l-est-de-la-republique-democratique-du-congo-fr-2013
Guide to Land Mediation: Based on the experience in the Eastern Democratic Republic of the Congo,"Sietchiping Remy,Oumar Sylla,Christol Paluku Mastak","Augustin Blaise Mumbere Mapendo,Honoré Banyene Mubawa,Justin Daniel Kahindo Kamwira,Liévin Shakanya Chirabisa,Pascal Tchikala Munganga,Axel Kitoga Wakilongo,Patrick Kyanza Witandaye,Grévy-Jacob Kambale Kavene,Christian Kamabaza Gundi,Jean-Claude Mirindi Ganywamulume,Michel Mirali Mushi,Dady Mukeba Misumba,Koffi Alinon,José Mokbondo Lihesa,Jean-Emmanuel Mupfuni Mihigo,Charles Mukandirwa Wetemwami,Emmanuel Nziwa Kyaviro,Benoit Tambwe Likondo,Justin Selemani Kakesa,Bosco Ndabita Habimana,Jolie Kibandja Miancho,Désiré Minzori Bahunga,Emmanuel Bahani Bitasimwa,Elourd Kiekire Luanda,Michel Mapendo Shirambere,Ambroise Mumbere Masumbuko,Soleil Muhekwa Khake,Christophe Nyambatsi Mutaka,Marie-José Biironyi Nsekanabo,Docky Muheza Nsengimana,Floribert Kazuba Missi,Salvador Safari Shamamba,Sylva Kubuya Baligamire,Joseph Guiebo,Corneille Kanene Mudimubadu,Jean Pierre Conde,Florian Bruyas,Dan Lewis,Claude Ngomsi",ENG,2013,Report,"Land Mediation,Access to Land and  Tenure Security",UN-Habitat/GLTN,UN-Habitat/GLTN,"The Guide to Land Mediation mainly draws its inspiration from practical experience on the ground of the land program conducted by UN-Habitat in eastern Democratic Republic of the Congo, especially in North Kivu, South Kivu and Ituri. It refers, in some places, to other countries experiences in post-conflict situations. This guide offers practical steps and tools used during the land mediation process. The publication highlights, not only the role and responsibilities of mediation stakeholders and 'beneficiaries', but also principles and foundations of a good mediation",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/87-guide-to-land-mediation-eng-2013
"Handbook on best practices,security of tenure and access to land: Implementation of the Habitat Agenda ",Dr. Clarissa Augustinus,Sylvie Lacroux,ENG,2003,Guide,Access to land and tenure security,UN-Habitat/GLTN,UN-Habitat/GLTN,"The Handbook on Best Practices, Security of Tenure and Access to Land--Implementation of the Habitat Agenda (2003) reviews material produced by UN Habitat partners up to and including 1999, in terms of the implementation of the Habitat Agenda. At the time of publishing, this document was the most comprehensive global overview of progress made in countries towards achieving the Habitat Agenda in the area of land tenure and land management/administration. While a few of the examples in the Handbook are no longer current, many examples remain best practice, and the general trends identified remain cutting edge at the global level. The breadth and depth of information presented in the Handbook is intended to encourage and stimulate further innovative efforts to provide more inclusive land access and security of tenure for the urban poor. The Handbook will be useful to anyone wishing to benefit from the wisdom and lessons learned by UN Habitat, other organizations and over 100 academic experts in the areas of land legislation and management.",http://www.gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/210-handbook-on-best-practices-security-of-tenure-and-access-to-land-eng-2003
Handling Land: Innovative tools for land governance and secure tenure,"GLTN,UN-Habitat",,ENG,2012,Book,Access to Land and Tenure Security,UN-Habitat/GLTN,UN-Habitat/GLTN,"Everyone has a relationship to land. It is an asset that, with its associated resources, allows its owner access to loans, to build their houses and to set up small businesses in cities. In rural areas, land is essential for livelihoods, subsistence and food security. However, land is a scarce resource governed by a wide range of rights and responsibilities. And not everyone’s right to land is secure. Mounting pressure and competition mean that improving land governance - the rules, processes and organizations through which decisions are made about land - is more urgent than ever.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/28-handling-land-innovative-tools-for-land-governance-and-secure-tenure-eng-2012
How Responsive is your Land Programme to the needs of Youth?,"Priscilla Li Ying,Isidora Markicevic","Dr. Clarissa Augustinus,Jean du Plessis,Kate Fairlie,Toril Iren Pedersen,Douglas Ragan",ENG,2015,Guide,"Youth,Land Management and Planning",UN-Habitat/GLTN,UN-Habitat/GLTN,"This publication is a practical guide to the Youth and Land Responsiveness Criteria, which is a tool that can be used to increase the incorporation of youth perspectives into land matters at both institutional and programme levels, through a participatory process.
The criteria are presented in the form of a matrix with  various probing questions about different issues that youth face with regard to land (see Section Two). It can be used to identify challenges, opportunities and key entry points on youth and land at global, regional and/ or country levels. It can be used in following ways: As a diagnostic tool,
an awareness and advocacy tool, and  for desigwwing new youth responsive land programmes/projects.",http://www.gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/2226-how-responsive-youth
"How to develop a pro-poor land policy: Process,Guide and Lessons","Dr. Clarissa Augustinus,Erika Lind",Klaus Deininger,ENG,2008,Guide,"Land Management and Planning,Land Governance",UN-Habitat/GLTN,UN-Habitat/GLTN,"Developing new land policies can be a long and difficult process. It is even more so if the policies are to be pro-poor – if they are to help correct the disadvantages that poor people typically suffer in many areas of land policy.
 
This guide suggests a way forward. Based on experience in various countries in Asia and Africa, it is not a recipe-book, but outlines a process that can be adapted as appropriate to the situation in each country and the specific aspect of land policy that needs to be addressed. This process is participatory: it involves a wide range of stakeholders from all aspects of land policy, including civil society and the poor themselves. Including all these groups is vital if the resulting policies are to be politically acceptable, technically feasible, pro-poor and capable of being enforced.
 This guide is intended for Ministers and senior policymakers responsible for land issues, donors, professionals, consultants and NGOs involved in developing land policies.",http://www.gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/206-how-to-develop-a-pro-poor-land-policy-process-guide-and-lessons-eng-2007
How to Establish a Land Sector Non-State Actors Mechanism,"Dr. Clarissa Augustinus,Cyprian Selebalo, Mary Gachocho",Smita Sanghrajka,ENG,2014,Report,Capacity Development,UN-Habitat/GLTN,UN-Habitat/GLTN,"This guide outlines the factors that influence the set up and effective operation of a non-state actor mechanism in the land sector, particularly during a land reform process. Non-state actors (NSA) for the purpose of this guide include civil society organizations, the private sector and professional associations. A land sector non-state actor (LSNSA) mechanism is a means by which a group of NSAs coordinates their interventions and support to enhance their impact in the land sector, particularly during land reform processes.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/614-how-to-establish-a-land-sector-non-state-actors-mechanism-eng-2014
How to establish an effective land sector,Erika Lind,"Godje Bialluch, Robert Wagner",ENG,2008,Guide,"Land Management and Planning,Land Governance",UN-Habitat/GLTN,UN-Habitat/GLTN,"This guide presents a general overview on institutional harmonisation processes, i.e. the various factors and tools included in fostering institutional harmonisation in a sector. The experiences informing this document mainly result from the tacit knowledge of the land sector in Kenya by UN-Habitat and the Global Land Tool Network (GLTN). They are complemented by experiences from other sectors (such as water, governance and decentralisation), African countries and from state as well as nonstate actors. Non-state actors include civil society organisations, the private sector and professional associations",http://www.gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/207-how-to-establish-an-effective-land-sector-eng-2008
Improving Slum Conditions through innovative Financing,"FIG, GLTN",,ENG,2008,Report,"Land based financing,Grassroots",FIG/ UN-Habitat/GLTN,FIG/ UN-Habitat/GLTN,"This publication is a summary report of the seminar ""Improving Slum Conditions through Innovative Financing"", which was jointly organized by the International Federation of Surveyors (FIG) and the United Nations Human Settlements Programme (UN-Habitat) and took place in Stockholm, Sweden on 16–17 June 2008. This two-day seminar, which was dedicated to adequate and affordable housing for all, was an integrated part of the FIG Working Week.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/84-improving-slum-conditions-through-innovative-financing-eng-2008
Informal Urban Development in Europe: Experiences from Albania and Greece,Dr. Chryssy A. Potsiou,"Sonila Jazoj, Prof Babis Ioannidis, Robin McLaren, Mr Markos Fragioudakis,Makis Apostolatos",ENG,2010,Report,Land Administration,UN-Habitat/GLTN,UN-Habitat/GLTN,"The study provides the background and objectives of the Athens workshop, then provides separate in-depth background and analysis of the informal development solutions being adopted in Albania and Greece. Following a review of just how ‘pro-poor’ the solutions are, the final chapter provides a series of lessons learned, many of which can be applied to other countries experiencing informal development issues.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/14-informal-urban-development-in-europe-experiences-from-albania-and-greece-summary-eng-2010
Innovative Land and Property Taxation,GLTN,,ENG,2011,Guide,Land policy and legistlation,UN-Habitat/GLTN,UN-Habitat/GLTN,"This publication, Innovative Land and Property Taxation, is derived from a 2009 Conference in Warsaw, Poland. It presents the ways in which land and property taxation policies, legal frameworks, tools and approaches to sustainable urban development have been experimented with around the World. Its key finding is the prominent role that land-based financing and local authorities play at the core of urban development.",http://issuu.com/landgltn/docs/innovative_land_and_property_taxation_eng_2011
"Innovative Urban Tenure in the Philippines: Challenges,approaches and institutionalization","Anna Marie Karaos,Gerald Nicolas,Gladys Ann Rabaca","Danilo Antonio,Dr. Clarissa Augustinus",ENG,2012,Book,Access to Land and Tenure Security,UN-Habitat/GLTN,UN-Habitat/GLTN,"This technical publication documents and draws lessons from the Philippines' experience in implementing alternative approaches in securing tenure for the urban poor. It also explores how these approaches can be institutionalized to achieve a larger scale and ensure sustainability. The study examines three approaches: presidential land proclamations, the Community Mortgage Program, and the usufruct arrangement. The key features of each approach are described and their application illustrated through two actual cases",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/22-innovative-urban-tenure-in-the-philippines-challenges-approaches-and-institutionalization-eng-2011
