Title;ID;Authors;Corporate authors;Abstract/Description;Link to the publication;Resource types;Related Concepts;Themes;Overarching Categories;Publicaton date (YYYY/MM);Thumbnail;Language;Publishers;Geographical focus;Copyright owner;Data provider
12. An analysis of water user associations on the implications for the transfer of irrigation management on land and water rights in Malawi - Paper;GLTN-2293;Chikosa M Silungwe (PhD), Chisomo Gunda, Solomon Mkumbwa, Harold Liversage ;;An analysis of water user associations on the implications for the transfer of irrigation management on land and water rights in Malawi;http://gltn.net/index.php/publications/publications/download/3-other-documents/2293-12-an-analysis-of-water-user-associations-on-the-implications-for-the-transfer-of-irrigation-management-on-land-and-water-rights-in-malawi-paper;Reports & Research;water management, water rights, land management, sustainable land management;;Land use, Management & Investment;2016/03;;English;Global Land Tool Network;Malawi;Global Land Tool Network;Global Land Tool Network
12. An analysis of water user associations on the implications for the transfer of irrigation management on land and water rights in Malawi - PPT;GLTN-2294;Chikosa M Silungwe (PhD), Chisomo Gunda, Solomon Mkumbwa, Harold Liversage ;;An analysis of water user associations on the implications for the transfer of irrigation management on land and water rights in Malawi;http://gltn.net/index.php/publications/publications/download/3-other-documents/2294-12-an-analysis-of-water-user-associations-on-the-implications-for-the-transfer-of-irrigation-management-on-land-and-water-rights-in-malawi-ppt;Multimedia;water management, water rights, land management, sustainable land management;;Land use, Management & Investment;2016/03;;English;Global Land Tool Network;Malawi;Global Land Tool Network;Global Land Tool Network
13. Land Rights from a Gender Perspective: Multi-stakeholder Actions to enhance Gender and Women Land Rights in Land Policy Formulation and Implementation in Uganda - Paper;GLTN-2295;Naome Kabanda, Harrison Irumba, Samuel Mabikke, Danilo Antonio, Lowie Rosales-Kawasaki;;"Land Rights from a Gender Perspective: Multi-stakeholder Actions to enhance Gender and Women&rsquo;s Land Rights in Land Policy Formulation and Implementation in Uganda";http://gltn.net/index.php/publications/publications/download/3-other-documents/2295-13-land-rights-from-a-gender-perspective-multi-stakeholder-actions-to-enhance-gender-and-women-s-land-rights-in-land-policy-formulation-and-implementation-in-uganda-paper;Policy Papers & Briefs;Women, gender equity in access to land, land rights, land ownership, capacity builing;"Land & Gender; Land Stakeholders & Institutions";Access to Land & Tenure Security;2016/03;;English;Global Land Tool Network;Uganda;Global Land Tool Network;Global Land Tool Network
13. Land Rights from a Gender Perspective: Multi-stakeholder Actions to enhance Gender and Women Land Rights in Land Policy Formulation and Implementation in Uganda - PPT ;GLTN-2296;Naome Kabanda, Harrison Irumba, Samuel Mabikke, Danilo Antonio, Lowie Rosales-Kawasaki;;"Land Rights from a Gender Perspective: Multi-stakeholder Actions to enhance Gender and Women&rsquo;s Land Rights in Land Policy Formulation and Implementation in Uganda";http://gltn.net/index.php/publications/publications/download/3-other-documents/2296-13-land-rights-from-a-gender-perspective-multi-stakeholder-actions-to-enhance-gender-and-women-s-land-rights-in-land-policy-formulation-and-implementation-in-uganda-ppt;Multimedia;Women, gender equity in access to land, land rights, land ownership, capacity builing;"Land & Gender; Land Stakeholders & Institutions";Access to Land & Tenure Security;2016/03;;English;Global Land Tool Network;Uganda;Global Land Tool Network;Global Land Tool Network
14. Tenure responsive land use planning: Critical steps for actions in tackling urban poverty in developing countries - Paper;GLTN-2997;Uchendu Eugene Chigbu, Fahria Masum, Anna Schopf, Samuel Mabikke, Danilo Antonio, Jorge Espinoza, Christian Graefen;;Tenure responsive land use planning: Critical steps for actions in tackling urban poverty in developing countries;http://gltn.net/index.php/publications/publications/download/3-other-documents/2297-14-tenure-responsive-land-use-planning-critical-steps-for-actions-in-tackling-urban-poverty-in-developing-countries-paper/;Policy Papers & Briefs;security of tenure (land), continuum of land rights, land development (urbanization), poverty, land use planning, sustainable development;"Urbanization; Land Stakeholders & Institutions";Access to Land & Tenure Security;2016/03;;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
14. Tenure responsive land use planning: Critical steps for actions in tackling urban poverty in developing countries - PPT;GLTN-2298;Uchendu Eugene Chigbu, Fahria Masum, Anna Schopf, Samuel Mabikke, Danilo Antonio, Jorge Espinoza, Christian Graefen;;Tenure responsive land use planning: Critical steps for actions in tackling urban poverty in developing countries;http://gltn.net/index.php/publications/publications/download/3-other-documents/2298-14-tenure-responsive-land-use-planning-critical-steps-for-actions-in-tackling-urban-poverty-in-developing-countries-ppt;Multimedia;security of tenure (land), continuum of land rights, land development (urbanization), poverty, land use planning, sustainable development;"Urbanization; Land Stakeholders & Institutions";Access to Land & Tenure Security;2016/03;;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
15. Guiding Principles for Building Fit-For-Purpose Land Administration Systems in Less Developed Countries: Providing Secure Tenure for All - Paper ;GLTN-2299;Christiaan Lemmen, Stig Enemark, Robin McLaren, Danilo Antonio, John Gitau, Paula Dijkstra, Kees de Zeeuw;;Guiding Principles for Building Fit-For-Purpose Land Administration Systems in Less Developed Countries: Providing Secure Tenure for All;http://gltn.net/index.php/publications/publications/download/3-other-documents/2299-15-guiding-principles-for-building-fit-for-purpose-land-administration-systems-in-less-developed-countries-providing-secure-tenure-for-all-paper;Manuals & Guidelines, Policy Papers & Briefs;land administration, land information systems, geographical information systems, cadastres, security of tenure (land), continuum of land rights;Land Stakeholders & Institutions;"Access to Land & Tenure Security;  Land use, Management & Investments";2016/03;;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
15. Guiding Principles for Building Fit-For-Purpose Land Administration Systems in Less Developed Countries: Providing Secure Tenure for All - PPT ;GLTN-2300;Christiaan Lemmen, Stig Enemark, Robin McLaren, Danilo Antonio, John Gitau, Paula Dijkstra, Kees de Zeeuw;;Guiding Principles for Building Fit-For-Purpose Land Administration Systems in Less Developed Countries: Providing Secure Tenure for All;http://gltn.net/index.php/publications/publications/download/3-other-documents/2300-15-guiding-principles-for-building-fit-for-purpose-land-administration-systems-in-less-developed-countries-providing-secure-tenure-for-all-ppt;Multimedia;land administration, land information systems, geographical information systems, cadastres, security of tenure (land), continuum of land rights;Land Stakeholders & Institutions;"Access to Land & Tenure Security;  Land use, Management & Investments";2016/03;;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
16. A Guide for Building Fit-For-Purpose Land Administration Systems in Less Developed Countries: Capacity Development, Change Management and Project Delivery - Paper;GLTN-2301;Rob McLaren, Stig Enemark, Christiaan Lemmen, Danilo Antonio, John Gitau;;A Guide for Building Fit?For?Purpose Land Administration Systems in Less Developed Countries: Capacity Development, Change Management and Project Delivery;http://gltn.net/index.php/publications/publications/download/3-other-documents/2301-16-a-guide-for-building-fit-for-purpose-land-administration-systems-in-less-developed-countries-capacity-development-change-management-and-project-delivery-paper;Manuals & Guidelines, Policy Papers & Briefs;land administration, land information systems, geographical information systems, cadastres, security of tenure (land), capacity building, continuum of land rights;Land Stakeholders & Institutions;Land use, Management & Investment;2016/03;;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
16. A Guide for Building Fit-For-Purpose Land Administration Systems in Less Developed Countries: Capacity Development, Change Management and Project Delivery - PPT ;GLTN-2302;Rob McLaren, Stig Enemark, Christiaan Lemmen, Danilo Antonio, John Gitau;;A Guide for Building Fit?For?Purpose Land Administration Systems in Less Developed Countries: Capacity Development, Change Management and Project Delivery;http://gltn.net/index.php/publications/publications/download/3-other-documents/2302-16-a-guide-for-building-fit-for-purpose-land-administration-systems-in-less-developed-countries-capacity-development-change-management-and-project-delivery-ppt;Multimedia;land administration, land information systems, geographical information systems, cadastres, security of tenure (land), capacity building, continuum of land rights;Land Stakeholders & Institutions;Land use, Management & Investment;2016/03;;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
17. Scaling up Responsible Land Governance: A Guide for Building Fit-For-Purpose Land Administration Systems in Less Developed Countries - Paper ;GLTN-2303;Stig Enemark, Rob McLaren, Christiaan Lemmen, Danilo Antonio, John Gitau;;Scaling up Responsible Land Governance: A Guide for Building Fit-For-Purpose Land Administration Systems in Less Developed Countries;http://gltn.net/index.php/publications/publications/download/3-other-documents/2303-17-scaling-up-responsible-land-governance-a-guide-for-building-fit-for-purpose-land-administration-systems-in-less-developed-countries-paper;Policy Papers & Briefs;land administration, land information systems, geographical information systems, surveyors, cadastres, security of tenure (land), sustainable development, continuum of land rights;Land Stakeholders & Institutions;Land use, Management & Investment;2016/03;;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
17. Scaling up Responsible Land Governance: A Guide for Building Fit-For-Purpose Land Administration Systems in Less Developed Countries - PPT;GLTN-2304;Stig Enemark, Rob McLaren, Christiaan Lemmen, Danilo Antonio, John Gitau;;Scaling up Responsible Land Governance: A Guide for Building Fit-For-Purpose Land Administration Systems in Less Developed Countries;http://gltn.net/index.php/publications/publications/download/3-other-documents/2304-17-scaling-up-responsible-land-governance-a-guide-for-building-fit-for-purpose-land-administration-systems-in-less-developed-countries-ppt;Multimedia;land administration, land information systems, geographical information systems, surveyors, cadastres, security of tenure (land), sustainable development, continuum of land rights;Land Stakeholders & Institutions;Land use, Management & Investment;2016/03;;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
18. Experiences in developing business process for Flexible Land Tenure Act implementation in Gobabis Namibia - Paper;GLTN-2305;Anna Muller, Royal Mabakeng, Jean duPlessis, John Gitau, Cyprian Selebalo, Peter Rutsch;;Experiences in developing business process for Flexible Land Tenure Act implementation in Gobabis Namibia;http://gltn.net/index.php/publications/publications/download/3-other-documents/2305-18-experiences-in-developing-business-process-for-flexible-land-tenure-act-implementation-in-gobabis-namibia-paper;Reports & Research;land law, land policies, security of tenure (land), continuum of land rights;;Land policy & Legislation;2016/03;;English;Global Land Tool Network;Namibia;Global Land Tool Network;Global Land Tool Network
18. Experiences in developing business process for Flexible Land Tenure Act implementation in Gobabis Namibia - PPT;GLTN-2306;Anna Muller, Royal Mabakeng, Jean duPlessis, John Gitau, Cyprian Selebalo, Peter Rutsch;;Experiences in developing business process for Flexible Land Tenure Act implementation in Gobabis Namibia;http://gltn.net/index.php/publications/publications/download/3-other-documents/2306-18-experiences-in-developing-business-process-for-flexible-land-tenure-act-implementation-in-gobabis-namibia-ppt;Multimedia;land law, land policies, security of tenure (land), continuum of land rights;;Land policy & Legislation;2016/03;;English;Global Land Tool Network;Namibia;Global Land Tool Network;Global Land Tool Network
19. Re-Establishing an Asset Base and Protecting Access to Productive Resources in Post-Conflict Areas of Northern Uganda - Paper;GLTN-2307;Edmond M. Owor, Samuel Mabikke, Lowie Rosales-Kawasaki, Rebecca Apio, Danilo Antonio;;Re-Establishing an Asset Base and Protecting Access to Productive Resources in Post-Conflict Areas of Northern Uganda;http://gltn.net/index.php/publications/publications/download/3-other-documents/2307-19-re-establishing-an-asset-base-and-protecting-access-to-productive-resources-in-post-conflict-areas-of-northern-uganda-paper;Policy Papers & Briefs;land conflicts, natural resources management, land rights, land ownership;Land Conflicts;Access to Land & Tenure Security;2016/03;;English;Global Land Tool Network;Uganda;Global Land Tool Network;Global Land Tool Network
