Title;Authors;Corporate authors;Abstract/Description;Link to the publication;Publicaton date (YYYY/MM);Language;Publishers;Geographical focus;Copyright owner;Overarching Categories;Themes;Related Concepts;Data provider;Resource types;ID;Thumbnail;;;;;;;;
Prime Minister’s Order N° 17/03 of 9 October 2006 Establishing the Task Force in Charge of Land Reform and Management in Rwanda.;;;"Prime Minister’s Order N° 17/03 of 9 October 2006 Establishing the Task Force in Charge of Land Reform and Management in Rwanda.
Published on the 17 October 2006.";http://www.rwandaland.org/images/pdf/orders/Prime/Taskforce%20on%20Land%20Reform.pdf;2006/10;English;Government of Rwanda;Rwanda;;Land Policy & Legislation;;;USAID Rwanda LAND Project;Other;Rwanda LAND (Laws&Policies) - 18;;;;;;;;;
Ministerial Order N° 001/16.01 of 30/01/2013 Modifying and Complementing the Ministerial Order N° 001/16.01 of 26/04/2011 Determining Modalities of Land Sharing.;;;"Ministerial Order N° 001/16.01 of 30/01/2013 Modifying and Complementing the Ministerial Order N° 001/16.01 of 26/04/2011 Determining Modalities of Land Sharing.
Published on the 25 February 2013.";http://www.rwandaland.org/images/pdf/orders/Ministerial/OfficialGazetten%C2%BA08of25022013.pdf;2013/02;English;Government of Rwanda;Rwanda;;Land Policy & Legislation;;;USAID Rwanda LAND Project;Other;Rwanda LAND (Laws&Policies) - 19;;;;;;;;;
Ministerial Order N° 009/16.1 of 23/8/2011 Determining the Procedure to Obtain Freehold Land Title.;;;Ministerial Order N° 009/16.1 of 23/8/2011 Determining the Procedure to Obtain Freehold Land Title. Published on the 5 September 2011.;http://www.rwandaland.org/images/pdf/orders/Ministerial/Freehold%20Land%20Titles%202011.pdf;2011/09;English;Government of Rwanda;Rwanda;;Land Policy & Legislation;;;USAID Rwanda LAND Project;Other;Rwanda LAND (Laws&Policies) - 20;;;;;;;;;
Ministerial Order Determining the Modules of Land Consolidation N° 14/11.30 of 21st December 2010.;;;"Ministerial Order Determining the Modules of Land Consolidation N° 14/11.30 of 21st December 2010.
Published on the 27 December 2010.";http://www.rwandaland.org/images/pdf/orders/Ministerial/Land%20Consolidation,%202010.pdf;2010/12;English;Government of Rwanda;Rwanda;;Land Policy & Legislation;;;USAID Rwanda LAND Project;Other;Rwanda LAND (Laws&Policies) - 21;;;;;;;;;
Ministerial Order N° 002/16.01 of 26/04/2010 Determining the Reference Land Prices outside the Kigali City.;;;"Ministerial Order N° 002/16.01 of 26/04/2010 Determining the Reference Land Prices outside the Kigali City.
Published on the 10 May 2010.";http://www.rwandaland.org/images/pdf/orders/Ministerial/Reference%20Land%20Prices,%20Kigali%20City,%202009.pdf;2010/05;English;Government of Rwanda;Rwanda;;Land Policy & Legislation;;;USAID Rwanda LAND Project;Other;Rwanda LAND (Laws&Policies) - 22;;;;;;;;;
Ministerial Order N° 001/16.01 of 26/04/2010 Determining the Modalities of Land Sharing.;;;"Ministerial Order N° 001/16.01 of 26/04/2010 Determining the Modalities of Land Sharing.
Published on the 10 May 2010.";http://www.rwandaland.org/images/pdf/orders/Ministerial/Land%20Sharing%202010.pdf;2010/05;English;Government of Rwanda;Rwanda;;Land Policy & Legislation;;;USAID Rwanda LAND Project;Other;Rwanda LAND (Laws&Policies) - 23;;;;;;;;;
Ministerial Order N° 001/16.01 of 16/03/2009 Modifying Ministerial Order N° 01/16/00 of 19/09/2001 Modifying Rates for Renting and Selling State Owned Land.;;;"Ministerial Order N° 001/16.01 of 16/03/2009 Modifying Ministerial Order N° 01/16/00 of 19/09/2001 Modifying Rates for Renting and Selling State Owned Land.
Published on the 27 April 2009.";http://www.rwandaland.org/images/pdf/orders/Ministerial/Renting%20and%20Selling%20State%20Owned%20Land.pdf;2009/04;English;Government of Rwanda;Rwanda;;Land Policy & Legislation;;;USAID Rwanda LAND Project;Other;Rwanda LAND (Laws&Policies) - 24;;;;;;;;;
Ministerial Order N° 002/2008 of 01/4/2008 Determining Modalities of Land Registration.;;;"Ministerial Order N° 002/2008 of 01/4/2008 Determining Modalities of Land Registration.
Published on the 1st August 2008.";http://www.rwandaland.org/images/pdf/orders/Ministerial/Land%20Registration%202008.pdf;2008/08;English;Government of Rwanda;Rwanda;;Land Policy & Legislation;;;USAID Rwanda LAND Project;Other;Rwanda LAND (Laws&Policies) - 25;;;;;;;;;
Ministerial Order N° 001/2008 of 01/04/2008 Determining the Requirements and Procedures for Land Lease.;;;"Ministerial Order N° 001/2008 of 01/04/2008 Determining the Requirements and Procedures for Land Lease.
Published on the 1st April 2008.";http://www.rwandaland.org/images/pdf/orders/Ministerial/Land%20Lease%202008.pdf;2008/04;English;Government of Rwanda;Rwanda;;Land Policy & Legislation;;;USAID Rwanda LAND Project;Other;Rwanda LAND (Laws&Policies) - 26;;;;;;;;;
Ministerial Order N° 001/2006 of 26/09/2006 Determining the Structure of Land Registers, the Responsibilities and the Functioning of the District Land Bureau.;;;"Ministerial Order N° 001/2006 of 26/09/2006 Determining the Structure of Land Registers, the Responsibilities and the Functioning of the District Land Bureau.
Published on the 17 October 2006";http://www.rwandaland.org/images/pdf/orders/Ministerial/Determining.pdf;2006/10;English;Government of Rwanda;Rwanda;;Land Policy & Legislation;;;USAID Rwanda LAND Project;Other;Rwanda LAND (Laws&Policies) - 27;;;;;;;;;
Instruction N° RLT10/01E of 25/10/2010 of the Registrar of Land Titles Determining the Format of the Certificate of Registration of a Condominium.;;;"Instruction N° RLT10/01E of 25/10/2010 of the Registrar of Land Titles Determining the Format of the Certificate of Registration of a Condominium.
Published on the 15 November 2010";http://www.rwandaland.org/images/pdf/Regulations/Condominium_Certificate%20of%20Registration_2010.pdf;2010/11;English;Government of Rwanda;Rwanda;;Land Policy & Legislation;;;USAID Rwanda LAND Project;Regulations;Rwanda LAND (Laws&Policies) - 28;;;;;;;;;
Ministerial Instruction N° 007/2010/MINELA of 20/08/2010 Relating to Fees Paid for Systematic Land Registration.;;;"Ministerial Instruction N° 007/2010/MINELA of 20/08/2010 Relating to Fees Paid for Systematic Land Registration.
Published on the 27 September 2010";http://www.rwandaland.org/images/pdf/Regulations/Fees%20for%20Systematic%20Land%20Registration,%202010.pdf;2010/09;English;Government of Rwanda;Rwanda;;Land Policy & Legislation;;;USAID Rwanda LAND Project;Regulations;Rwanda LAND (Laws&Policies) - 29;;;;;;;;;
Special Instructions on Land Distributed to the Farmers and Breeders in Eastern Province.;;;"Special Instructions on Land Distributed to the Farmers and Breeders in Eastern Province.
Published on the 30 August 2010 ";http://www.rwandaland.org/images/pdf/Regulations/Land%20distributed%20in%20Eastern%20Province.pdf;2010/08;English;Government of Rwanda;Rwanda;;Land Policy & Legislation;;;USAID Rwanda LAND Project;Regulations;Rwanda LAND (Laws&Policies) - 30;;;;;;;;;
Land Policy in Africa: Framework & Guidelines on Land Policy in Africa.;;;"Land Policy in Africa: Framework & Guidelines on Land Policy in Africa.
Published in March 2009";http://www.afdb.org/fileadmin/uploads/afdb/Documents/Policy-Documents/35-EN-%20Land%20Policy%20Report_ENG%20181010pdf.pdf;2009/03;English;African Union, African Development Bank, Economic Commission for Africa;Africa;;Land Policy & Legislation;;;USAID Rwanda LAND Project;Manuals & Guidelines;Rwanda LAND (Laws&Policies) - 31;;;;;;;;;
National Land Policy, Rwanda.;;;"National Land Policy, Rwanda.
Published in 2004";http://www.rwandaland.org/images/pdf/POLICIES/Land%20Policy,%202004.pdf;2004/01;English;Government of Rwanda;Rwanda;;Land Policy & Legislation;;;USAID Rwanda LAND Project;National Policies;Rwanda LAND (Laws&Policies) - 32;;;;;;;;;
