Title;Subtitle;Authors;Corporate authors;Publishers;Abstract/Description;Link to the publication;Publicaton date (YYYY/MM);Language;Geographical focus;Copyright owner;Rwanda Land Category;Overarching Categories;Themes;Related Concepts;Data provider;Resource types;ID;Thumbnail
Governing Land for Women and Men: Gender and Voluntary Guidelines on Responsible Governance of Tenure of Land and Other Natural Resources;;"Elizabeth Daley; Clara Mi-young Park";;Food and Agriculture Organization of the United Nations (FAO);"In setting out principles and internationally agreed standards, the “Voluntary Guidelines on
the Responsible Governance of Tenure of Land and Other Natural Resources” intend to
provide practical guidance to states, civil society and the private sector on responsible
governance of tenure. The Voluntary Guidelines (VG) will constitute a framework for
policies, legislation and programs, but will not establish legally binding obligations nor
replace existing national or international laws, treaties or agreements (FAO 2009c). The VG
are intended to be supported by a series of “Technical Guides” – practical, up-to-date
reference tools for those working on the day-to-day ground level implementation of the VG,
and which will represent the link between the VG and the implementation processes and
actions required to improve governance of tenure. Among these guides, the Gender Technical
Guide – with the proposed title of “Governing Land for Women and Men” – will focus on
gender-equitable land governance and what this means in practice for all the national and
local government officials, civil society groups, and land administrators, technicians and
professionals working in the land sector worldwide.
The present paper is written as part of the overall VG consultation and development process
and is a contribution to the subsequent preparation of the Gender Technical Guide. The
present paper is based both on the outcomes of the VG consultation process to date and on
supporting research, consultation and literature review on gender and governance of tenure. It
contextualises and defines gender for the VG, discusses what governance of tenure means
from a gender perspective, and identifies and analyses key issues and themes. It then
summarises the recommendations relevant to gender that emerged during the VG
consultations in different regions of the world before drawing some conclusions for the
continuing VG development process. ";http://www.fao.org/docrep/014/ma811e/ma811e00.pdf;2011/02;English;Rwanda;Food and Agriculture Organization of the United Nations (FAO);Gender & Land;;Land & Gender;"gender equity in access to land; women; land rights";USAID Rwanda LAND Project;Policy Papers & Briefs;Rwanda LAND (Research) - 90;/elizabethdailey_thumb.png
Enhancing Legal Empowerment and Customary Law in Rwanda: Report of a Pilot Project concerning Community-level Dispute Resolution and Women’s Land Rights;;"Muriel Veldman; Marco Lankhorst  ";;International Development Law Organisation;"We present a report on the results of a 10-month pilot project conducted in NorthWestern
Rwanda that aimed to explore fruitful ways to engage with customary law in
order to empower rural communities and rural women in particular. The focus is on the
effectiveness of land dispute resolution at the community level and the respect for
women’s formally guaranteed land rights by the institutions involved.";http://www.rcn-ong.be/IMG/pdf/Etude_IDLO-RCN_Rwanda-2.pdf;2011/12;English;Rwanda;International Development Law Organisation;Gender & Land;;"Land & Gender; Land Stakeholders & Institutions";"gender equity in access to land; women; land rights; legal empowerment";USAID Rwanda LAND Project;Reports & Research;Rwanda LAND (Research) - 91;/legalempowerment_thumb.png
Environmental and Gender Impacts of Land Tenure Regularization in Africa;Pilot evidence from Rwanda;"Daniel Ayalew; Ali Klaus Deininger; Markus Goldstein";;World Bank Group;"Although increased global demand for land has led to renewed interest in African land tenure, few models to address these issues quickly and at the required scale have been identi ed or evaluated.  e case of Rwanda’s nation- wide and relatively low-cost land tenure regularization program is thus of great interest.  is paper evaluates the short-term impact (some 2.5 years after completion) of the pilots undertaken to  ne-tune the approach using a geographic discontinuity design with spatial  xed e ects.  ree key  ndings emerge from the analysis. First, the program improved land access for legally married women (about 76 percent of married couples) and prompted better recordation of inheritance rights without gender bias. Second, the analysis  nds a very large impact
on investment and maintenance of soil conservation measures.  is e ect was particularly pronounced for female headed households, suggesting that this group had su ered from high levels of tenure insecurity, which the program managed to reduce.  ird, land market activity declined, allowing rejection of the hypothesis that the program caused a wave of distress sales or widespread landlessness by vulnerable people. Implications for program design and policy are discussed.";https://openknowledge.worldbank.org/bitstream/handle/10986/3527/WPS5765.pdf?sequence=1;2011/08;English;Rwanda;World Bank Group;Gender & Land;;"Land & Gender; Land, Climate Change & Environment";"gender equity in access to land; women; land rights; land tenure systems; land policies";USAID Rwanda LAND Project;Policy Papers & Briefs;Rwanda LAND (Research) - 92;/Environmental and Gender Impacts of Land Tenure Regularization in Africa_thumb.png
Women and land after conflict in Rwanda;;Marian Koster;;ILEIA;Female-headed households often experience inequalities in access to resources and income-generating opportunities. Conflicts may make women poorer. But it is important to realise that conflicts also offer an opportunity for change in which gender stereotypes shift and gender roles and identities can be renegotiated. Did genocide and civil war in Rwanda lead to new opportunities for rural women? - See more at: http://www.agriculturesnetwork.org/magazines/global/women-and-food-sovereignty/women-and-land-after-conflict-in-rwanda#sthash.aQcqdpmj.dpuf;http://www.agriculturesnetwork.org/magazines/global/women-and-food-sovereignty/women-and-land-after-conflict-in-rwanda/at_download/article_pdf;2009/09;English;Rwanda;Leisa Magazine;Gender & Land;;"Land & Gender; Land Conflicts";"gender equity in access to land; women; land rights; land conflicts; land dispute; land dispute resolution; land access";USAID Rwanda LAND Project;Journal Articles & Books;Rwanda LAND (Research) - 93;/Women and land after conflict_thumb.png
"Women’s Property Rights  and The Land Question in Rwanda
";;Rose, Laurel L.;;Texas Journal of Women Gender and the Law;Looks at property rights and returnees, the situation of women in relation to property rights, consequences of women’s lack of access to land, initiatives taken by national authorities to improve women’s property rights, and initiatives taken by UNHCR.;http://mokoro.co.uk/wp-content/uploads/womens_property_rights_and_land_question_rwanda.pdf;1998/02;English;Rwanda;UN High Commission for Refugees;Gender & Land;Access to Land & Tenure Security;"Land & Gender; Land Conflicts";"gender equity in access to land; women; property rights; land conflicts";USAID Rwanda LAND Project;Conference Papers & Reports;Rwanda LAND (Research) - 94;/Women's property rights and the land question_thumb.png
Land Tenure Reform and Local Government Revenues in Rwanda;;;USAID Rwanda LAND Project;USAID Rwanda LAND Project;This policy research brief on land tenure reform and government revenue aims primarily to examine the effects of land tenure reforms on land-based revenue and to provide policy recommendations that would build on existing efforts developed to ease the process of paying and collecting various land revenue. The research topic was suggested by land sector stakeholders among other topics during the LAND Project’s Year 3 Work Planning Meeting, and was endorsed by the Rwanda Natural Resources Authority and LAND Project as an important research area.;/Research_brief_LTR_and_local_government_revenues.pdf;2014/12;English;Rwanda;USAID;Land Administration;Land Use, Management & Investment;;"land administration; land reform; land tenure systems; land governance; land policies";USAID Rwanda LAND Project;Reports & Research;Rwanda LAND (Research) - 95;/Land tenure reform and local government_thumb.png
An Assessment of Land Use Planning in Rwanda ;;;USAID Rwanda LAND Project;USAID Rwanda LAND Project;"Land is a critical resource. It is finite and irreplaceable. The role and efficiency of land use planning is therefore of considerable national importance. The issues faced by Rwanda in relation to land and land use planning are well recorded. They include: a) a very high population density of, b) land scarcity (total land area of 24,688 km2) and a large percentage of land that is considered undevelopable (such as wetlands or steep slopes),1 c) increasing competition for land resources with a reduction in cultivable land due to soil erosion and inadequate soil and water management, d) comparatively low rates of urbanization (18%) but with projected increases that are significant, e) historically poor mechanisms to enforce the control of land use, f) a deficit in infrastructure and basic services, g) ineffective urban management systems, and h) an inadequate supply of affordable housing that is compounding.2 Equally there are well-documented causes of optimism with the adoption of proactive planning. In some important respects and in comparison with other countries, Rwanda might be considered to be making good progress in relation to the development of a land use planning system.3
This assessment focuses on three primary dimensions in land use planning practice: the institutional and organization framework for land use planning, b) the plan development process and implementation issues arising from the plan, and c) the capacity of organizations and individuals to operate the land use planning system.";/Assessment_of_Land_Use_Planning_in_Rwanda_Munt_Aug2015_FINAL.pdf;2015/08;English;Rwanda;USAID;Land Administration;Land Use, Management & Investment;;"land use planning; land management";USAID Rwanda LAND Project;Reports & Research;Rwanda LAND (Research) - 96;/An Assessment of Land Use Planning_thumb.png
Research on Rwanda's Land Administration System;;;USAID Rwanda LAND Project;USAID Rwanda LAND Project;"Over the last decade, the Government of Rwanda (GoR) has engaged in reforming the land sector through formulation and enactment of an enabling legal framework, establishment of land administration institutions, and land tenure regularization. In 2008, the GoR initiated the Land Tenure Regularization Program (LTRP) with two main objectives: (1) to ensure secure forms of land tenure for citizens and (2) to ensure efficient management and administration of land. The program set up procedures to carry out first-time systematic registration of land in the names of its owners with the aim of creating a complete public record of landholdings.
Based on the National Land Policy of 2004, the envisaged benefits of having a good land administration were included increased security of tenure through clearly and definitively established property rights; reduction of land disputes; open and flexible land market in both urban and rural areas; increased access to credit by ordinary citizens; increased investment on land and improvement of land productivity; augmented government revenue through the collection of land taxes; efficient and decentralized land administration institutions; improved land administration and management through the use of land information; and improved physical planning through the use of a cadastral system. The LTRP substantially concluded in 2013, resulting in the demarcation of about 10.3 million parcels, encompassing the vast majority of private land in Rwanda. This program, seen as ambitious, has become a model for other countries (Ayalew et al, 2012).";/Deliverable_14_INES_Final_report_Final_Approved.pdf;2015/07;English;Rwanda;USAID;Land Administration;Land Use, Management & Investment;;"land administration; land policies; land governance";USAID Rwanda LAND Project;Reports & Research;Rwanda LAND (Research) - 97;/Study on access to the land tenure administration system_thumb.png
Rwanda Land Tenure Regularization Case Study ;;"Gillingham, P.; Buckle, F. ";;Evidence On Demand;"This case study has been produced in response to a request to the Evidence on Demand Helpdesk. The objective of the request was to provide a detailed case study on the approach taken to land tenure reform by the DFID-funded Land Tenure Regularisation Programme (LTRSP) in Rwanda. The case study should provide the reader with an understanding of how land tenure reform can work under particular social, political and economic conditions, as well as the approach taken to ensure gender equality in land rights.
The LTRSP registered all the land in Rwanda (10.3 million parcels) for the first time. It involved a one-off, low-cost, community-based process of land tenure regularisation (LTR), costing UK£3.42 (US$5.47) and UK£4.05 (US$6.48) per parcel. As well as identifying key success factors (political commitment; a detailed LTRSP developed in an earlier phase of the programme; flexibility), the case study also identifies some of the threats to the sustainability of the LTR process – namely, the sustainability of the Land Administration System (LAS), as well as financial and judicial sustainability.
This case study provides an example of rural LTR. Rwanda has only one significant urban centre (Kigali), but the vast majority of land within the province labelled ‘Kigali City’ is rural.
This report has been produced by HTSPE Limited for Evidence on Demand with the assistance of the UK Department for International Development (DFID) contracted through the Climate, Environment, Infrastructure and Livelihoods Professional Evidence and Applied Knowledge Services (CEIL PEAKS) programme, jointly managed by HTSPE Limited and IMC Worldwide Limited.";https://assets.publishing.service.gov.uk/media/57a089b6e5274a27b2000211/EoD_HD66_March14_Rwanda_case_study.pdf;2014/03;English;Rwanda;Evidence On Demand;Land Administration;Access to Land & Tenure Security;;"land tenure systems; tenure regularization; regularization of ownership; land ownership; security of tenure (land)";USAID Rwanda LAND Project;Reports & Research;Rwanda LAND (Research) - 98;/rwanda land tenure regularisation case study_thumb.png
Pursuing Gender Equality in Land Administration;;"Helle Munk Ravnborg; Rachel Spichiger";;Danish Institute for International Studies;"Ensuring gender equality with respect to land rights is hailed as a key element of the recent land reforms, but actual results in this respect are limited.  Achieving gender equality requires a comprehensive focus on land, family and other laws, including customary, pertaining to land and on their implementation on the ground.

This DIIS Policy Brief summarises the findings from a series of reports made to review progress made and the challenges remaining to achieve gender equality with respect to land rights. On that basis, it proposes the following five recommendations for policy and practice:

Ensure that provisions ensuring non-discrimination in family law and customary law accompany recent provisions for gender equality in land legislation.
Strengthen the focus on comprehensive implementation and enforcement of land legislation. In doing so, draw upon the lessons learned by civil society organisations in their efforts to promote gender equality in land administration and dispute resolution.
Explore and institutionalise ways to enhance the effective accessibility to women of statutory as well as customary land administration and dispute resolution institutions at all levels – irrespective of their social and economic status – e.g. through promoting female representation in customary as well as statutory land administration and dispute resolution institutions.
Monitor and measure success of land administration institutions at all levels in terms of their contribution to achieving gender equality in land administration, e.g. through ensuring the registration of gender-disaggregated data.
Document and analyse the social, economic and political impacts of gender (in)equality on land access and land administration on a regular basis.";http://www.diis.dk/files/media/publications/import/extra/pb2014_gender-land-adm_hmr_rachel-spichiger_web_2.pdf;2014/02;English;Rwanda;DIIS;Land Administration;Access to Land & Tenure Security;Land & Gender;"gender equity in access to land; land administration";USAID Rwanda LAND Project;Policy Papers & Briefs;Rwanda LAND (Research) - 99;/Pursuing Gender Equality in Land Administration_thumb.png
Lay of the Land : Improving Land Governance to Stop Land Grabs;;"Isabel Crabtree-Condor; Leora Casey";;ActionAid;"Large-scale land acquisitions by investors, which are often called ‘land grabs’ (see next section for de nition), can deprive rural women and communities of their livelihoods and land, increasing their food insecurity. This report argues that the current rise in land grabbing needs to be urgently addressed, and focuses
on the actions that developing countries can take to mitigate land grabs through strengthening national land governance so that it is transparent, is accountable and protects communities’ rights.
For most rural communities and women in the developing world, access to land is the difference between being able to sustain a livelihood to support their families and going hungry. rural women in developing countries are among the poorest and most neglected people worldwide; despite the critical roles they play in promoting food security, women control less than 2 per cent of land globally.1 Half the world’s food is produced by small- holder farmers, the vast majority of them women – making land indispensable for their livelihoods and for global food security.2 but unless women have more secure tenure over land, food insecurity in developing countries will not improve, and women themselves will be the most likely to go hungry.
The importance of land to rural women goes beyond growing food. Having secure access to, and independent control over, land can mean the difference between, on the one hand, enjoying rights such as education and freedom from violence or, on the other, continual subjugation in society. The security of land tenure for impoverished rural communities is a fundamental component of digni ed, sustainable development and a crucial step towards reducing poverty and reducing inequality.
This report is divided into two parts. The  rst looks at the impact of land grabbing on com- munities and highlights three issues: that women’s rights to land are not being protected in practice; that communities do not have secure land tenure, which is adversely affecting their food security; and that the priorities of foreign investors are outweighing those of local people.
The second part of the report contains 24 country reviews that examine the strengths and weaknesses of each country’s regulatory frameworks, assessing their ability to: provide legislative protection for communities at national and local levels from land grabs; guarantee gender equality at national and local levels; and regulate investment through the measures in place. We also attempt to report the key challenges, innovative practices and lessons learned, which, although context-speci c, may be useful for other countries facing similar land governance challenges.";http://www.actionaid.org/sites/files/actionaid/lay_of_the_land_-_improving_land_governance_to_stop_land_grabs_low_res_1.pdf;2012/10;English;"Bangladesh; Brazil; Burundi; Cambodia; Democratic Republic of Congo; Ethiopia; Ghana; Guatemala; Haiti; Kenya; Liberia; Malawi; Mozambique; Nepal; Nigeria; Pakistan; Rwanda; Senegal; Sierra Leone; South Africa; Tanzania; Uganda; Vietnam; Zambia";Action Aid;Land Administration;Access to Land & Tenure Security;;"land grabbing; land grabs; land governance; land policies; land tenure systems; land access; land policies";USAID Rwanda LAND Project;Reports & Research;Rwanda LAND (Research) - 100;/Lay of the land_thumb.png
"La proximité de la justice: Rapport Socio-Juridique sur les Mode de Gestion de Conflits Foncier  
";;"Marco Lankhorst; Muriel Veldman";;RCN Justice & Démocratie;Ce rapport, qui s’inscrit dans l’objectif du programme de RCN Justice & De?mocratie «Pour une justice de proximite? », pre?sente les re?sultats d’une e?tude des modes de re?solution de conflits fonciers par les syste?mes judiciaires et pre? judiciaires au Rwanda et propose des mesures pour rapprocher la justice de la population. Deux exemples peuvent servir a? introduire le genre de conflits fonciers typiques au Rwanda et les questions sociales que ces conflits soule?vent.;http://www.rcn-ong.be/IMG/pdf/RW_tude_conflits_fonciers_2010_02.pdf;2009/06;French;Rwanda;RCN Justice & Démocratie;Land Administration;Land Policy & Legislation;"Land & Gender; Land Conflicts";"gender equity in access to land; land administration; land conflicts";USAID Rwanda LAND Project;Reports & Research;Rwanda LAND (Research) - 101;/La proximite de la justice au rwanda_thumb.png
Towards Developing a Comprehensive Implementation Framework of the Rwanda National Land Policy and Land Law;;Eddie Nsamba-Gayiiya;;Mokoro;"Examines critical land issues and land related problems; the National Land Policy in the context of the national development agenda; global experiences and best practices in land reforms and implementing land policies, especially in post-conflict situations; implementation challenges; towards developing a comprehensive framework for implementing the NLP and the Organic Land Law (including a check list). Section on insights and lessons from global experiences.";http://mokoro.co.uk/wp-content/uploads/towards_developing_implementation_framework_rwanda_land_policy_law.pdf;2006/10;English;Rwanda;Mokoro;Land Administration;Land Policy & Legislation;;"land policies; land law; land reform";USAID Rwanda LAND Project;Reports & Research;Rwanda LAND (Research) - 102;/Towards Developing a Comprehensive Implementation Framework_thumb.png
Land Administration Developments in Rwanda;;Eugene Rurangwa;;International Federation of Surveyors (FIG);"The new Rwandan land policy consider appropriate land administration as a platform of land management and an ideal channel to provide security of livelhood to the people by securing land tenure system for their profit.
At present Rwanda carries out limited land registration on a centralised manual system on a demand led basis in rural and urban areas. Currently approximately 20,000 land applications are in process, mainly in urban areas.
In rural areas, initial documentation, including a sketch plan and a description of the property is issued to the user and held in a cadastral database at the Ministry in charge of lands.
In urban areas, municipal authorities are responsible for registering land and demarcate plots for urban development.
The land policy commits Rwanda to a comprehensive programme of land registration, in order to provide land users as a whole with more certain rights and thereby promote the investment of labour and capital in increased productivity, and the sustainable development and management of land resources. In addition land registration could extend the tax base in rural areas, and in any further development of further planned settlements or imidugudu.
The land policy stipulates the creation of land registries in each of the 104 rural districts and 8 urban municipalities. A dual system of land registration will be adopted. The formal system would apply to high value land, urban areas and commercial enterprises or other land users requiring detailed documentation for legal and financial purposes. A system of local land registration for the majority of rural areas will be developed and managed by the Districts. This process will be vastly aided by use of high resolution photomaps derived from aerial photography, also proposed as a tool for local level land use planning, to facilitate reconciliation of individual and family rights with land parcels.
In urban areas and all others where there are commercial incentives, formal titles to individual land parcels will be registered following enacted legislation with demarcated boundaries. The cadastral project now operational in Kigali City Council may be taken as a model of a demand-driven self-financing land register that utilises automated methods to capture and output land information.
";https://www.fig.net/resources/proceedings/2004/nairobi_2004_comm7/papers/ts_06_1_rurangwa.pdf;2004/11;English;Rwanda;FIG;Land Administration;Land Use, Management & Investment;;"land administration; land information systems; security of tenure (land); land registration; land rights";USAID Rwanda LAND Project;Conference Papers & Reports;Rwanda LAND (Research) - 103;/land administration developments in rwanda_thumb.png
Final Report: Rwanda’s Expropriation Law and Outcomes on the Population;;;Legal Aid Forum;USAID Rwanda LAND Project;"Rwanda is developing at a remarkably rapid pace, and with that development has come a
multitude of corresponding changes to the orientation and use of land throughout the country.
In light of these changes, law n°18/2007 of 19/04/2007 relating to expropriation in the public
interest was adopted to provide clear procedures for the government to follow in the taking of
privately-owned land for other uses deemed to be in the public interest.
This law provides procedures for notice to affected landowners, the determination of public
interest, and valuation of land, including how to challenge valuation when a landowner does
not agree with the valuation provided, and also provisions for timely payment of
compensation and damages if compensation is not paid on time. These are all important
principles in line with international standards and best practices for expropriation. The
implementation of the law, however, has caused some criticism and concern. This research
seeks to address those concerns by carrying out systematic quantitative and qualitative
analysis about the implementation of the expropriation law and its outcomes on the population
of Rwanda, and in particular expropriated households.
The two major themes of the research are: 1) the implementation of the law from the
procedural perspective; and 2) assessing the effects of expropriation law and policy on
expropriated households. The procedural rights examined in the research include aspects such
as whether the concerned communities were involved in determining the “public interest”
nature of the project, and whether expropriated households received sufficiently detailed
notice at the proper time to adequately inform them that their properties would be
expropriated. Procedural rights also concern whether expropriated individuals were given a
fair valuation of their property by impartial valuers, and whether they had an opportunity to
challenge aspects of the process they believed violated their rights, as well as whether
compensation was provided in the proper time, and to all rights-holders. The assessment of
socio-economic impacts of expropriation, the second prong of the research, aims to determine
what types of impacts, both positive and negative, expropriation may have had on
expropriated individuals’ lives and the communities in which these projects have been
implemented. This includes both objective analysis (changes in income, etc.), and subjective
analysis (changes in attitudes, perceptions, etc.).
In summary, the data obtained through this study revealed that insufficient and delayed
compensation were the most important issues to property owners, government stakeholders,
and expropriating institutions, which suggests the possibility for collaborative efforts to
decrease delays and improve the integrity of the valuation process. The research also measures
the price paid per square meter of expropriated land, revealing expected variations based on
the character and location of the land. However, unexpected variations emerged based on the
expropriating entity paying the compensation when controlling for the character of the land,
project type, and other potentially confounding factors. These arbitrary differences in land
values can be addressed by improving the independence of the valuation process and
providing improved channels for citizen involvement in the valuation process.";/LAF_Final_Research_Report.pdf;2015/07;English;Rwanda;USAID;Land Rights;Land Policy & Legislation;;"land policies; land law; expropriation; compensation; land law";USAID Rwanda LAND Project;Reports & Research;Rwanda LAND (Research) - 104;/The implementation of rwanda's expropriation_thumb.png
LAND Project Policy Brief: Implementation of the Expropriation Law in Rwanda ;;;USAID Rwanda LAND Project;USAID Rwanda LAND Project;"This policy brief aims to inform policy and current practices governing land expropriation in Rwanda drawing on recent research carried out by the LAND Project. The brief elaborates on the legal framework and procedures guiding expropriation and on reported practice based on information gathered from primary and secondary sources. It then proposes measures that would potentially strengthen implementation of expropriation exercises countrywide.
In drafting this policy brief, the authors examined laws and policies governing expropriation, reviewed relevant literature and articles in the media, and interviewed key informant interviews from government institutions and civil society organizations (CSOs). Key informants1 were selected based on their knowledge of and involvement in expropriation issues.
Following this introduction, Section 1 presents legal definitions of expropriation and discusses the history land expropriation in Rwanda, including factors that led to the drafting and promulgation of law and policies that have influenced the practice of expropriation. In Section 2, we elaborate on domestic policies and laws as well as international legal instruments to which Rwanda is signatory that guide how expropriation is implemented. We examine in depth Law no 18/2007 relating to expropriation in the public interest and the different organs involved in expropriation.
In Section 3, we highlight factors driving expropriation in Rwanda and issues emanating from the implementation of expropriation of Rwanda, particularly in urban zones. Drawing on information reported by key informants, the media, and published papers; we examine the practice of expropriation and the outcomes experienced by those who have been expropriated. In the fourth section, we policy and other recommendations based on lessons learned from expropriation exercises in Rwanda and analysis of how they can be improved to facilitate more favorable outcomes.";/Implementation_of_Expropriation_Law_in_Rwanda_Revised_11April2015.pdf;2014/05;English;Rwanda;USAID;Land Rights;Land Policy & Legislation;;"land policies; land law; expropriation; compensation; land law";USAID Rwanda LAND Project;Policy Papers & Briefs;Rwanda LAND (Research) - 105;/implementation of expropriation law in rwanda_thumb.png
How Land Tenure Regularization Can Contribute to Agricultural Growth in Rwanda;;"Daniel Ayalew Ali; Klaus Deininger; Marguerite Duponchel; Loraine Ronchi";;World Bank Group;"After remarkable social and economic reconstruction since 1994, Rwanda aspires to become a middle income country by 2020 with a strong focus on inclusive growth. In this context the Government of Rwanda (GoR) has recognized the critical nature of land policy and agricultural growth. The Economic Development and Poverty Reduction Strategy (EDPRS) identifies higher agricultural productivity and transformation of the sector towards high value added as a key pillar and points towards land registration as a critical element to achieve this goal by increasing productivity of land use, reducing conflict, empowering women, and improving overall governance. Agriculture accounts for about 36 percent of Rwanda's GDP, 80 percent of employment, and, in 2010, 45 percent of foreign exchange earnings. It also provides 90 percent of the country's food needs. Land Tenure Regularization (LTR) program in 2009, designed-after extensive piloting-to register the country's estimated 10 million parcels. This ambitious program, which has become a model for other countries, has the potential to improve the livelihoods of millions of Rwandans. It also highlights that doing so will require decisions to overcome challenges in a number of areas including: 1) increasing the protection of potentially vulnerable groups such as traditionally married women; 2) ensuring the long term sustainability of the land records by building adequate capacity of the decentralized administration and clarifying law provisions; and 3) linking the mortgage and land registries. Continued monitoring will help ensure that progress in doing so is tracked and obstacles to achieving desired impacts identified early.";http://documents.worldbank.org/curated/en/209081468107337330/pdf/731550BRI0P1270200PN0Baseline0final.pdf;2012/10;English;Rwanda;World Bank Group;Land Rights;"Access to Land & Tenure Security; Land Policy & Legislation";;"tenure regularization; land tenure systems; land ownership; land policies; land law; customary tenure";USAID Rwanda LAND Project;Policy Papers & Briefs;Rwanda LAND (Research) - 106;/How Land Tenure Regularization can contribute to agricultural growth_thumb.png
"Land Reform in Post-Genocide Rwanda: Connecting Sustainable Livelihoods and Peace building
";;Fumihiko Saito;;Ryukoku University;The world today faces a wide range of critically important issues, whose resolution require inter- national collaboration of various stakeholders. Environmental conservation and conflict resolution are such examples. Interestingly enough, these two issues have been until very recently conceptual- ized as separate problems, and coordinated resolution came to be pursued only recently. This paper attempts to connect these two critical agendas by using the case study of land issues in Rwanda in Africa. Land issues were one of the most important background factors of the 1994 genocide in Rwanda. Establishing appropriate land regulatory framework in post-genocide Rwanda is indispen- sable for sustainable peace in this part of the world. Whereas the land registration piloted in four areas in 2006 and 2007 presents some promises, this exercise also invites additional concerns, which need to be carefully considered in the scaling up process.;http://www.world.ryukoku.ac.jp/~fumis96/docs/rwanda.pdf;2011/12;English;Rwanda;Ryukoku University;Land Rights;Land Policy & Legislation;;"land reform; land policies; land law; land conflicts; natural resource management";USAID Rwanda LAND Project;Journal Articles & Books;Rwanda LAND (Research) - 107;/Land Reform in Post-Genocide Rwanda_thumb.png
Environmental and gender impacts of land tenure regularization in Africa: Pilot evidence from Rwanda;;"Daniel Ayalew Ali; Klaus Deininger; Markus Goldstein";;Elsevier;We evaluate the short-term impact of a pilot land regularization program in Rwanda using a geographic discontinuity design with spatial fixed effects. Three key findings emerge from the analysis. First, the program seems to have improved land access for legally married women (about 76% of married couples) and prompted better recording of inheritance rights without gender bias. Second, we find that the program was associated with a very large impact on investment and maintenance of soil conservation measures. This effect was particularly pronounced for female headed households, suggesting that this group had suffered from high levels of tenure insecurity which the program managed to reduce. Third, land market activity declined, allowing us to reject the hypothesis that the program caused a wave of distress sales or widespread landlessness by vulnerable people. Implications for program design and policy are discussed.;http://dx.doi.org/10.1016/j.jdeveco.2013.12.009;2014/09;English;Rwanda;Elsevier;Land Rights;Land Policy & Legislation;"Land & Gender; Land, Climate Change & Environment";"gender equity in access to land; environment; tenure regularization; land tenure systems; land ownership; property rights; land administration";USAID Rwanda LAND Project;Journal Articles & Books;Rwanda LAND (Research) - 108;
Experiences of Women in Asserting their Land Rights: The Case of Bugesera District, Rwanda;;;Rwanda Women Network;Rwanda Women Network;  Experiences of Women in Asserting their Land Rights: The Case of Bugesera District, Rwanda                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;http://www.rwandawomennetwork.org/IMG/pdf/Experiences_of_Women_in_Asserting_their_Land_Rights_The_Case_of_Bugesera_District_Rwanda.pdf;2011/03;English;Rwanda;Rwanda Women Network;Land Rights;Access to Land & Tenure Security;Land & Gender;"land rights; gender equity in access to land";USAID Rwanda LAND Project;Reports & Research;Rwanda LAND (Research) - 109;/Experiences of women in asserting their land rights_thumb.png
Strengthening Women’s Access to Land into IFAD Projects: The Rwanda Experience;;F. Carpano   ;;International Fund for Agricultural Development (IFAD);"This paper is a joint effort of IFAD and RISD to analyse and investigate women?s land rights in Rwanda. It presents the outcomes of the investigation on women?s land rights and its implications in the redistribution, delimitation and registration process carried out in the Nyagatare, Gatsibo, Kayonza and Kirehe Districts in the Eastern Province. For the assessment, meetings were held in the four Districts, with IFAD project staff, beneficiaries, Cell and District Executive Secretaries, Districts Mayors, members of various men and women cooperatives, District Land Officers, members of Cell and District Land Committees4.
The paper is composed as follows: Section 3 will present women?s land rights in Rwanda, with specific reference to the statutory laws and the customary norms that prevail in the country. Section 4 will expose the legislation organs and institutions that relate to the implementation of the land policy. Section 5 will present the work that RISD has been carrying out in relation to women?s land rights, while Section 6 will analyse IFAD experiences of PDRCIU and KWAMP projects. The last section will provide some recommendations and indicators for affirmative actions to mainstream women?s land rights into the ongoing and forthcoming IFAD interventions in the country.";https://www.ifad.org/documents/10180/7f315540-58af-464e-824e-7248ac740bd6;2011/02;English;Rwanda;International Fund for Agricultural Development (IFAD);Land Rights;Access to Land & Tenure Security;"Land & Gender; Land Stakeholders & Institutions";"gender equity in access to land; development agencies";USAID Rwanda LAND Project;Reports & Research;Rwanda LAND (Research) - 110;/Strengthening women's access to land into IFAD projects_thumb.png
