Title;Authors;Corporate authors;Publishers;Abstract/Description;Link to the publication;Publicaton date (YYYY/MM);Language;Geographical focus;Copyright owner;Rwanda Land Category;Overarching Categories;Themes;Related Concepts;Data provider;Resource types;ID;Thumbnail
Environmental and Gender Impacts of Land Tenure Regularization in Africa;Daniel Ayalew Ali, Klaus Deininger, Markus Goldsteir;;World Bank Group;"Although increased global demand for  land has led to renewed interest in African land tenure, few
 models to address these issues quickly and at the required  scale have been identified or evaluated. The case of  Rwanda's nation-wide and relatively low-cost land  tenure regularization program is thus of great interest.  This paper evaluates the short-term impact (some 2.5 years  after completion) of the pilots undertaken to fine-tune the  approach using a geographic discontinuity design with  spatial fixed effects. Three key findings emerge from the analysis. First, the program improved land access for legally married women (about 76 percent of married couples) and prompted better recordation of inheritance rights without gender bias. Second, the analysis finds a very large impact on investment and maintenance of soil conservation measures. This effect was particularly pronounced for female
 headed households, suggesting that this group had suffered
 from high levels of tenure insecurity, which the program
 managed to reduce. Third, land market activity declined,
 allowing rejection of the hypothesis that the program caused
 a wave of distress sales or widespread landlessness by
 vulnerable people. Implications for program design and
 policy are discussed.";https://openknowledge.worldbank.org/bitstream/handle/10986/3527/WPS5765.pdf?sequence=1&isAllowed=y;2011/08;English;Rwanda;World Bank Group;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 16;
Land Issues in the Rwanda’s Post-Conflict Law Reform.;Geoffrey Payne;;Pretoria University Law press;"Rwanda is a small, landlocked country with an area of 26,338 square kilometres, only 52% of which is used or developed. The country has a population of nearly ten million people, with a population growth rate of 3.1% and a high urbanisation rate of 8% a year. The average population density for the country as a whole has been estimated at 330 persons per km in 2002, making it one of the highest density levels in Africa. This stimulates a high demand for housing, especially in urban areas where 25,000 new dwelling units are said to be needed annually. Land is used intensively, and, while a formal market is expanding, most land continues to be held under customary tenure.
In Rwanda, the existence of the Napoleonic Civil Code offered formal legal titles, but these were only available in the towns and cities and in effect they were available only to those who made substantial investments in the land. This right was not accessible to the majority of ordinary Rwandans; with only 1% of the land registered, almost all of Rwanda’s land is still held under customary or local tenure. Successive waves of violence between 1959 and 1994 have weakened these informal structures. Population pressure, land scarcity and economic development are now increasing the demand for and hence the value of land. An active informal market in land has arisen to meet that demand. Customary tenure, such as it is, is no longer enough. As a result, all citizens are increasingly demanding access to formal systems to register their rights in land.1
In 2003, Government started a long process of consultation on land tenure. That revealed broad support for land tenure reform and led to the drafting of the National Land Policy (2004) and the enactment of the Organic Land Law (OLL) in 2005. In 2006, the Ministry of Land, Environment, Forestry, Water and Natural Resources (MINITERRE) carried out detailed field consultations in rural, urban and suburban settings. This was followed in 2007 by field trials that tested formal tenure regularisation procedures and processes that would lead to simple registration of land. These procedures were implemented by locally appointed committees and technicians to see how the population would respond to formal systems and what the practical difficulties would be in its implementation. The trials also served to ensure all of the issues were properly tested to inform the legal and institutional development process.2 After the successful trial of land registration, the Government of Rwanda introduced a roll out of land tenure regularisation countrywide and this programme is supposed to be completed within three years (2013). The sections below analyse this programme and how land related legislation is implemented. It also discusses the likely consequences and policy implications of the programme.";http://www.pulp.up.ac.za/pdf/2011_16/2011_16.pdf;2011;English;Rwanda;Pretoria University Law Press;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 17;
Socio Economic Impact of Commercial Exploitation of Rwandan Marshes : A Case Study of Sugar Production in Rural Kigali;Muriel Veldman, Marco Lankhorst;;International Land Coalition (ILC);"In 2005 the Government, aiming to encourage more intensive forms of agriculture to supply new markets, passed a land law which brought all marshes and river valleys under State control. In 1997 the State leased 3,100 hectares of land in the Nyacyonga and Nyabarongo marshes outside the capital Kigali to a Ugandan-based enterprise, the Madhvani Group, which also acquired control over the country’s sole sugar mill. Most of the local people who had previously exploited the marshland experienced its takeover by the company as a dispossession. Around 1,100 farmers remain as outgrowers; most cultivate less than one hectare each. Many local people, especially women, have become labourers, working either for Madhvani or for the outgrowers. A small portion of the local population has benefited, but the majority feel impoverished. This study indicates that if a local population is largely dependent on an incoming investor for securing their livelihoods, but they have few enforceable rights to bargain with, the chances that they will benefit from the investment are reduced.";http://www.rcn-ong.be/IMG/pdf/RCN-ILC_Rwanda.pdf;2011;English;Rwanda;International Land Coalition (ILC);Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 18;
Practical Tools on Land Management - GPS, Mapping and GIS:  Rwanda;;Rwanda Environmental Management Authority;Rwanda Environment Management Authority;"Sustainable land management best practices on integrated approaches to natural resources management covers all the major rural land use systems including agriculture, rangeland, and forestry. Environmental sustainability and sustainable livelihoods can be achieved only through a holistic approach in which different resource users and decision makers come together to agree on common objectives that also maintain the ecological integrity of the resource base.In Rwanda, farmers integrate both crop and livestock operations. Recognizing that the two are highly complementary biologically and economically, promotion of sustainable management of rangelands along with sustainable agriculture are beneficial.
Agricultural activities in the face of the high demographic pressure on limited land resources has resulted into land fragmentation, reduction of farm sizes and continued intensive cultivation of land with no fallow subjecting land to alarming soil erosion. The land policy and land law discourages land fragmentation and minimum allowed farm size is 1 ha. It promotes long-term land security that would promote investment in long-term infrastructure viable commercial ventures in agricultural sector. It also provides opportunities for gradual farm consolidation and increasing farm size and encouraging those who are capable to go into farming business. If the land policy and land law continues to be implemented slowly, its foregoing benefits can not be realized.
The concept of sustainable forest management recognizes the connections among the health of forests, communities, the economy, and the environment. Sustainable forest management
4
implies viewing the forest as an integrated whole rather than as the source of any one economic product or service (for example, timber or climate regulator). Sustainable forest management respects and integrates the full range of forest environmental, social, and economic values. The introduction and strengthening of sustainable forest management schemes, includes meaningful participation and benefit sharing by forest users, clear and respected tenure and use rights, sustainable market chain, development and implementation of forest management plans, and reforestation. Rwandan national policies and strategies provide a framework for increased efforts, including the development and strengthening of institutions and programs for forest management, protection, and sustainable development.
Issues surrounding land-use and planning need to be addressed. In Rwanda, the subject of land ownership and use is surrounded by imprecision, an imprecision reflected in the available cartography and data. Land can be located and registered in both graphical and attribute terms starting from a situation with almost no data is available. Land ownership in both public and private sectors forms the basis for development. Most disputes in general stem from legal claims to parcels of land. Constitutional provisions and new policies on land can help governments implement effective land reform programs.
Application of Global Positioning System (GPS) technology and mapping tools to land related projects is now a widespread phenomenon. The advantages have proven substantial in improving access to information. The use of high, but robust, technology such as GPS technology and mapping tools provides more simplification, increased efficiency, less cost, and sufficient accuracy. For such policies to be effective, it is important to embrace advancement in technology. Technologies such as GPS and mapping models are valuable decision-making tool for land managers. These technologies are advantageous because they are easy to use.";http://www.rema.gov.rw/rema_doc/Environmental%20Managemnent%20Plractical%20Tools/2-%20Practical%20Tools%20on%20Land%20Management%20-%20GPS,%20Mapping%20and%20GIS%20_Final%20Version_%2017-07-2010.pdf;2010;English;Rwanda;Rwanda Environment Management Authority;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 19;
GIS Model for the Land Use and Development Master Plan in Rwanda;Willem Tims;;University of Gävle;This thesis was aimed at the development of a Geographical Information System (GIS) based model to support the Rwanda Land Use and Development Master Plan. Developing sustainable land management is the main task of this master plan. Stakeholder’s involvement was of key importance. Their demands should be analysed and visualised to support discussions and the decision-making process. Spatial Multicriteria Decision Analysis (MCDA) is a proven method for land-use planning purposes. However, most land-use planning applications focus on a specific theme, such as urban development. In addition, land-use planning is often limited to a relatively small area. This thesis focused at the development of a countrywide GIS model, containing all land-uses accommodated in three main land-use categories: urban, agriculture and conservation. The GIS model was largely based on the Land-Use Conflict Identification Strategy (LUCIS) model. Many of the goals, objectives, and subobjectives that described the earlier mentioned land-use categories were adopted from the original model. However, a significant number of them were dropped, and new were created to suit the Rwandan situation. Stakeholder’s involvement was realized by assigning weights to the goals and preference maps. The Analytical Hierarchy Process (AHP) was used as weighting method. ESRI’s ArcGIS ModelBuilder was used to give the model shape in the GIS. Firstly, suitability maps were created of all elements in the model. The suitability maps were then transformed into preference maps by weighting them. In the next step the preference maps were collapsed in three classes: low, medium and high preference. Finally, the preference maps of the three land-use categories were combined, in order to visualize conflict areas. Ortho photos proved to be useful when acting as reference for the suitability and preference maps. Despite a large number of missing datasets, the GIS model was executed to simplify the understanding. However, many of the obtained results were unreliable because of the incompleteness of datasets, and can therefore not be used for decision-making.  Unfortunately, due to the stage of the project it was not possible to obtain weights from the stakeholders, and should therefore be done when the time is right. Right Choice DSS, a very user-friendly decision support application, was proposed to use for calculating weights. To conclude, the developed GIS model integrated countrywide land-use suitability mapping and stakeholders’ wishes that can be used for discussions and decision making.;http://hig.diva-portal.org/smash/get/diva2:227842/FULLTEXT01.pdf;2009/06;English;Rwanda;University of Gävle;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 20;
Strategic Road Map for Land Tenure Reform in Rwanda;;Rwandan Ministry of Environment and Natural Resources;Rwandan Ministry of Environment and Natural Resources;Government of Rwanda has set out its long and medium term objectives for economic development and poverty reduction in its Vision 2020 and its Economic Development and Poverty Reduction Strategy (EDPRS). A wide ranging reform of land tenure and land management forms a central part of Rwanda’s strategy to meet those objectives. To realise these objectives, the Ministry has developed a Strategic Road Map for Land Tenure Reform as a framework for implementation of the National Land Policy and the Organic Law determining the use and the management of land in Rwanda.;http://rnra.rw/index.php?id=47&tx_armfiledownload_file%5Barmfiles%5D=StrategicRoadMapforLandTenure_Reform.pdf&tx_armfiledownload_file%5Baction%5D=download&tx_armfiledownload_file%5Bcontroller%5D=Armfiles&cHash=f88b1ee4ca23211cff503f9c60d37856;2009/04;English;Rwanda;Government of Rwanda;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 21;
Land, Business and Human Rights ;;Institute for Human Rights and Business;Institute for Human Rights and Business;"This is the first of a series of consultations on the human rights challenges and dilemmas involved in the acquisition and use of land – held individually or collectively - for private or state-owned business and economic purposes. The aim of the series of consultations is to develop a framework that leads to an end of human rights abuses at any stage of the process – before acquisition, during acquisition, and after operations have commenced and, if necessary, relocation and rehabilitation arranged, and compensation paid.
This requires strengthening and enforcing the existing legal mechanisms; identifying situations in which the land acquisition should not take place; highlighting gaps in administration of laws, practices, and policies; and recommending a framework that businesses should follow as part of their land acquisition process.
The purpose of this paper is to inform and stimulate discussion for the human rights and land roundtable. Some of the questions being raised are meant to provoke a robust discussion, and there is no pre-determined outcome.
The Institute aims to organise up to three more consultations of this nature, in different cities, over the next 15 months. Possible locations include Bogota, Colombia; Lagos, Nigeria; and London, UK. The Institute would like to keep you engaged in the process over the next 15 months.";http://www.ihrb.org/pdf/Land_Business_and_Human_Rights.pdf;2009/06;English;Global; Institute for Human Rights and Business;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 22;
Land Issues in International Human Rights Law;Elizabeth Wickeri, Anil Kalhan;;Institute for Human Rights and Business;"Up to one quarter of the world’s population is estimated to be landless, including 200 million people living in rural areas,1 and approximately 75% of the world’s population living in extreme poverty (less than $1/day) live in rural areas.2 According to the Food and Agriculture Agency of the United Nations (Food and Agriculture Organization of the United Nations (FAO)), “rural landlessness is often the best predictor of poverty and hunger.”3 “While not the only pathway out of poverty, ample evidence suggests that access to land is effective in helping rural households generate higher incomes” through the sale of crops and the money saved when the family feeds itself from the land.4 Yet, even though “land constitutes the main asset from which the rural poor are able to derive a livelihood . . . . [m]illions of families, though they toil on the land, do not enjoy ownership rights over it and are considered landless.”5
The condition of landlessness threatens the enjoyment of a number of fundamental human rights. Access to land is important for development and poverty reduction, but also often necessary for access to numerous economic, social and cultural rights, and as a gateway for many civil and political rights. However, there is no right to land codified in international human rights law.
Land is a cross-cutting issue, and is not simply a resource for one human right in the international legal framework. And yet, while rights have been established in the international legal framework that relate to land access for particular groups (e.g. indigenous people and, to a more limited extent, women), numerous rights are affected by access to land (e.g., housing, food, water, work), and general principles in international law provide protections that relate to access to land (e.g., equality and nondiscrimination in ownership and inheritance), an explicit consideration of the legal implications of access to land for a broad range of human rights is necessary.";http://www.ihrb.org/pdf/Land_Rights_Issues_in_International_HRL.pdf;2009;English;Global; Institute for Human Rights and Business;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 23;
Land Sub-Sector Strategic Plan (2010-2013);;Rwandan Ministry of Environment and Natural Resources;Rwandan Ministry of Environment and Natural Resources;The finite nature of land makes it a very valuable natural resource and, therefore, its use and management need to be carried out in a sustainable and rational manner. This strategic plan for the Land Sub-sector seeks to provide a framework for medium term implementation of sector specific (Environment and Natural Resources Sector) objectives as well as land–related elements in the broader national policy instruments like EDPRS and Vision 2020. This strategic plan also seeks to integrate and implement the AU/AfDB/ECA Africa Land Policy Framework and Guidelines (ALPFG) endorsed by African Heads of State including Rwanda. The ALPFG suggests standards for best practices for land policy reforms and benchmarks for the performance of land institutions that Rwanda can adopt within the context of this strategic plan.;http://www.minirena.gov.rw/fileadmin/Media_Center/Documents/RNRA_LMD/Land_Subsector_Strategic_Plan.pdf;2010/07;English;Rwanda;Government of Rwanda;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 24;
Regional Differences regarding Land Tenancy in Rural Rwanda, with Special Reference to Sharecropping in a Coffee Production Area;Shinichi Takeuchi, Jean Marie Marara;;Institute of Developing Economies;"This paper examines land tenancy systems and tenant contracts in Rwanda, with respect to socioeconomic contexts. Our research in southern and eastern Rwanda produced data suggesting that land borrowing with xed rents has been generally practiced, and that rent levels have been low in comparison to expected revenues from eld production. In the western areas of coffee production, however, the practice of sharecropping has recently appeared. This system is advantageous to landowners, as they are able to acquire half of the harvests; in addition, the xed rent levels in this region are much higher than those of other regions. In the southern and eastern regions, because land borrowing with xed rents has been the only tenancy pattern and rent levels have remained low, the economic situation should be interpreted in the context of a continuing traditional Rwandan land tenure system. In contrast, in the western coffee production area, the soaring of xed rents and the emergence of sharecropping have been brought about by high pressures for land use, which were caused not only by a population increase but also by the development of cash crop production and the existence of a labor exchange system. The increase in rent levels has therefore been offset by a corresponding increase in agricultural productivity.";http://www.africa.kyoto-u.ac.jp/kiroku/asm_suppl/abstracts/pdf/ASM_s35/5TAKEUCHI.pdf;2007/03;English;Rwanda;Institute of Developing Economies;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 25;
A Case Study on the Implications of the Ongoing Land Reform on Sustainable Rural Development and Poverty Reduction in Rwanda;;International Conference on Agrarian Reform and Rural Development;Food and Agriculture Organization of the United Nations (FAO);The paper is a product of a short term consultancy work offered by Food and Agriculture Organization of the United Nations (FAO) for the Ministry of Lands, Environment Forestry, Water and Mines of Rwanda.  The paper focuses on the relationship between land reform, poverty reduction and sustainable development. It is grounded in the current process of implementing a land law and policy in Rwanda. The thrust of the discussion is pillared on a number of interrelated arguments.;http://www.Food and Agriculture Organization of the United Nations (FAO).org/fileadmin/user_upload/kagera/resource/rwanda_land_reform_and_dialogue.pdf;2006/01;English;Rwanda;Food and Agriculture Organization of the United Nations (FAO);Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 26;
Towards Developing a Comprehensive Implementation Framework of the Rwanda National Land Policy and Land Law;Eddie Nsamba-Gayiiya;;LandNet Rwanda;With the support of DFID, a Rwanda Land Tenure Reform Road Map Team was instituted within MINITERE to spearhead the implementation process. The Road Map Team is to work for two years and its major mandate is to develop the implementation framework of the land policy and law. Land Net Rwanda Chapter sees this Road Map process as a good opportunity to solicit views on behalf of MINITERE on the new Land Tenure Reform implementation strategies from key stakeholders, like LandNet RwandaRwanda Chapter and others, which is a critical contribution for the success of the implementation process. This paper compiles the experiences of LandNet RwandaRwanda members in regards to land tenure and policy reform.;http://mokoro.co.uk/wp-content/uploads/towards_developing_implementation_framework_rwanda_land_policy_law.pdf;2006;English;Rwanda;LandNet;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 27;
Perspective of Land Reform in Rwanda;Eugene Rurangwa;;International Federation of Surveyors (FIG);In Rwanda, land is one of the most important and fundamental natural resources. The land resource is the foundation of the national economy through agriculture which occupies more than 90% of Rwandan in rural area. However, problems related to land in Rwanda are varied. This paper summarizes the history of land tenure in Rwanda, the primary challenges in the land sector today, and recommends actions to further land reform.;https://www.fig.net/resources/proceedings/fig_proceedings/fig_2002/Ts7-7/TS7_7_rurangwa.pdf;2002/04;English;Rwanda;FIG  ;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 28;
Land and Poverty in Rwanda;Herman Musahara;;LandNet Rwanda;"Paper for a LandNet RwandaRwanda workshop. Contains a conceptual framework on land and poverty; land attributes and the seeds of poverty including tenure issues; critical challenges to policy makers. Includes a descriptive summary of land problems from a recent university survey. Argues that land policies are fragile when mechanistically determined from the top, and need to involve the people in arbitration of disputes. Concludes that there can be no answer to poverty that does not take account of land.";http://mokoro.co.uk/land-rights-article/land-and-poverty-in-rwanda/;2001/11;English;Rwanda;National University of Rwanda;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 29;
Report on the Workshop on Land Use and Villagisation in Rwanda;Robin Palmer;;Rwanda Initiative for Sustainable Development ;This paper summarizes the backround, presentations, and outcomes of a workshop organized by Rwanda Initiative for Sustainable Development  in partnership with Oxfam Great Britain on land use and villagisation in Rwanda.;http://mokoro.co.uk/wp-content/uploads/report_workshop_land_use_villagisation_rwanda.pdf;1999/09;English;Rwanda;Oxfam Great Britain;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 30;
The Urgency of Land and Agrarian Reform in Rwanda;Saskia Van Hoyweghen;;Oxford University Press;The challenges which lie ahead for post-genocide Rwanda's economic, social and political development are closely related through the issue of land. The pressure from a high rate of population growth, added to the paucity of economic opportunities outside the agricultural sector, is forcing people off the land and into poverty. Society is under extreme stress. Over the last decade the fabric of Rwandan society has been torn, resulting in ethnic and social divisions which culminpted in the events of 1994. Since then, new groups have entered the competition for land. Decisions concerning land and agrarian reform will unavoidably benefit some groups within this fragmented society while disadvantaging others. This article approaches the land problem from two perspectives: first, by situating its socio-economic dimension in a deeper historical context and second, by considering it as a specifically contemporary socio-political problem. The article discusses the latest proposals for land and agrarian reform. While pressure on land has, over time, weakened social bonds, it remains doubtful whether the government has the political strength—in the present unstable national and regional political climate—to carry out the necessary reinforcement of communal bonds which economic development appears to require.;http://afraf.oxfordjournals.org/content/98/392/353.abstract.%20;1999;English;Rwanda;Oxford University Press;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 31;
Land Use, Soil Loss and Sustainable Agriculture in Rwanda;Dan Clay, Laurence A. Lewis;;Human Ecology;The conservation of scarce land resources is essential to the long-term viability of agriculture in Rwanda. High population density, steep slopes, and abundant rainfall prevail in the highland portions of this African country, making the task of erosion control uncommonly difficult for the peasant farmer. The specific use to which land is put, e.g., cultivation, fallow, pasture, woodlots, and, if it is cultivated, the particular combination of crops grown, can be seen as contributing to both the cause and the solution of the land degradation problem. Based on data from a nationwide survey of over 4800 agricultural fields in Rwanda, this study reviews the extent to which the land use and cropping patterns employed by farmers are appropriately suited, in terms of erosion control, to the topographical and environmental characteristics of their landholdings. Analyses of other aspects of the traditional agricultural system, e.g., variations in relative soil fertility, the use of organic fertilizers, and the location of fields relative to the household, are introduced to help explain why farmers often fail to maximize erosion control through land use and cropping practices. Adjustments to current land use practices that can be expected to reduce soil loss are discussed.;http://link.springer.com/article/10.1007/BF00889179;1990/06;English;Rwanda;Human Ecology;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 32;
Policies on Population, Land Use, and Environment in Rwanda;John. F. May;;Population and Environment;The paper first describes the interactions between population growth, land use, and environment in Rwanda, a small, densely populated landlocked nation in the East-African Great Lakes region. These interactions are modelled using a conceptual framework applied to the neighboring Kivu region in Zaire, but adapted to the Rwandan case study. Second, the paper contends that the emphasis put on increasing agricultural production, mostly through the use of marginal land, as well as the lack of a timely implementation of a family planning program and a national population policy, have led to a worsening of the interactions between population growth, land use, and environment. In an attempt to demonstrate this hypothesis, demography-driven projection scenarios are applied to the agricultural colonization and intensification processes.;http://link.springer.com/article/10.1007%2FBF02208117?LI=true.%20;1995/03;English;Rwanda;Population and Environment;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 33;
Indigenous Land Rights Systems in Sub-Saharan Africa: A Constraint on Productivity?;Shem Migot-Adholla, Peter Hazell, Benoit Blarel, Frank Place;;World Bank Group Economic Review;This article uses cross-sectional evidence from Ghana, Kenya, and Rwanda in 1987–88 to examine the question, Are indigenous land rights systems in Sub-Saharan Africa a constraint on productivity? The evidence supports the hypothesis suggested by historical studies, that African indigenous land rights systems have spontaneously evolved from systems of communal control towards individualized rights in response to increases in commercialization and population pressure. Cross-sectional data on the incidence of land improvements and on land yields provide little support for the view that limitations under indigenous law on the right to transfer land are a constraint on productivity.;http://wber.oxfordjournals.org/content/5/1/155.abstract.%20;1991;English;Sub- Saharan Africa;The International Bank for Reconstruction and Development/THE World Bank Group;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 34;
Natural Resources Management: Issues and Lessons from Rwanda;Siew Tuan Chew;;USAID;"This paper describes how the U.S. Agency for International  Development (USAID)/Rwanda is working with the Government of Rwanda and other donors to identify and resolve key issues re-lated to the management of the country’s renewable natural resources--its forests, soils, and water.  The purpose of the study
is to illustrate how small countries and Agency for International
Development (A.I.D.) Missions with limited resources can incor-
porate natural resources management into development activities
in general and in Sub-Saharan Africa in particular.  More specif-
ically, USAID/Rwanda’s experience provides insights into the re-
quirements of integrating natural resource management objectives
into A.I.D.’s agricultural and rural development programs.";http://pdf.usaid.gov/pdf_docs/PNABC904.pdf;1994/05;English;Rwanda;USAID;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 35;
Farm size, land fragmentation, and economic efficiency in Southern Africa;Bizimana C, Nieuwoudt W.L, Ferrer S.R.D.;;National University of Rwanda;"Butare, where this study was conducted, exhibits one of the highest population densities in Rwanda. As a direct result of population growth, most peasants have small fields and land fragmentation is common. The purpose of this article is to examine the effect of land fragmentation on economic efficiency. Regression analysis shows that area operated is primarily determined by the population-land ratio, non- agricultural employment opportunities, ownership certainty and adequate information through agricultural training. Results from a block-recursive regression analysis indicate that the level of net farm income per hectare, which indirectly reflects greater economic efficiency, is determined by the area operated, use of farm information, field extension staff visits, formal education of a farm operator, and the fragmentation of land holdings. Economies of size are evident in the data. The results obtained using ridge regression support the findings of two-stage least squares. Policies should be implemented to improve the functioning of land rental markets in order to reduce land fragmentation, improve rural education and access to relevant information; and strengthen extension facilities to individual farmers.";http://ageconsearch.umn.edu/bitstream/9489/1/43020244.pdf;2004/06;English;Rwanda;National University of Rwanda;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 36;
Agricultural Intensification in Rwanda. An elusive goal  fertilizer use  and conservation investments ;Kelly, Mpyisi, Shingiro, Nyarwaya;;Rwandan Ministry of Agriculture, Animal Resources, and Forestry;"Prior to the 1994 war, Rwanda had one of the best agricultural data bases on the African continent with a consistent time series on production, area, and yield data spanning the period from 1984 through 1992. This data base, drawn from annual surveys of a nationally representative random sample of approximately 1,240 farm households, was supplemented with a variety of specialized surveys conducted intermittently on topics such as input use, livestock production, natural resource management practices, non-farm income, etc. A key finding of these pre-war studies was that yields of most crops declined from 1984 through1991. 
Objectives. The objectives of this policy brief are to (1) describe the post-war situation concerning production practices, comparing the post-war situation (when possible) to the pre- war situation, and (2) discuss the implications of the findings for the design of programs and policies to promote agricultural intensification through the use of improved inputs and conservation practices.";http://fsg.afre.msu.edu/rwanda/agintensification.pdf;2001/01;English;Rwanda;Rwandan Ministry of Agriculture, Animal Resources, and Forestry;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 37;
Land Use consolidation A  Home grown  solution for food security in Rwanda ;Mbonigaba Muhinda, Leonidas Dusengemungu;;Rwanda Agriculture Board;Rwanda’s economy is largely agrarian. More than 80% of the Rwanda’s projected population of 10.5 million1 depends on farming. The total land area of the country measures 24,700 square kilometers. Although about 79% of the country’s land is classified as agricultural, only 11% of the land represents permanent crop land2. The remaining agricultural lands are covered with forests, marshlands and marginal lands in the hillsides where permanent and routine cultivation of crops are not tenable. Of the total arable land of 2,294,380 ha, 1,735,025 ha is cultivated with food and cash crops3 and the remaining represents pastures and bushes.;http://rpfinkotanyi.org/en/IMG/pdf/Farm_Land_Use_Consolidation_in_Rwanda.pdf;2011;English;Rwanda;Rwanda Agriculture Board;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 38;
Changes in allocation of landholdings ,production and farm size in the Rwandan Small holder sector  over the period ;Edson Mpyisi, Michael Weber, Emmanuel Shingiro, Scott Loveridge;;Rwandan Ministry of Agriculture, Animal Resources, and Forestry;This paper explores changes in land holdings, production and farm sizes in Rwanda between 1984-1990 to 2002.;http://www.fsg.afre.msu.edu/rwanda/ps_6e.pdf;2003/03;English;Rwanda;Government of Rwanda;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 39;
Rwanda State of the environment report : Chap 3 Land use and agriculture;;Rwanda Environmental Management Authority;Rwanda Environmental Management Authority;"The agricultural sector has been given a high priority in the government’s planning for development. The current national thrust is for the sector to move from subsistence to commercial mode of production. This strategy aims to increase household incomes and lead to a 50 per cent reduction in poverty over twenty years (ROR 2008). With its projected contribution to economic growth, modernisation of agriculture is seen as one of the six pillars of Vision 2020 along with sustainable land-use management and basic infrastructure (ROR 2000). Agriculture is also explicitly recognised in the EDPRS as one of the four priority sectors that will both stimulate economic expansion and make the greatest contribution to poverty reduction (ROR 2007). The other sectors are health, education and road maintenance
By 2020, agriculture is envisaged to contribute 33 per cent to GDP whereas industry, including agro-processing, is expected to grow from current levels of 14 per cent to 26 per cent of GDP (ROR 2000).";http://www.rema.gov.rw/soe/chap3.pdf;2009;English;Rwanda;Rwanda Environmental Management Authority;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 40;
The economics of farm fragmentation:  evidence from Ghana and Rwanda;Benoit Blarel, Peter Hazell, Frank Place, John Quiggin ;;World Bank Group Economic Review;Farm fragmentation, in which a household operates more than one separate parcel of land, is a common phenomenon in Sub-Saharan Africa. Concerned by the perceived costs of fragmented as opposed to consolidated holdings, several countries have implemented land consolidation programs. But these interventions overlook the benefits that land fragmentation can offer farmers in managing risk, in overcoming seasonal labor bottlenecks, and in better matching soil types with necessary food crops. This article uses household data from Ghana and Rwanda to discuss the incidence and causes of fragmentation. It then formally tests the relation between fragmentation and land productivity and risk reduction. The conclusion is that consolidation programs are unlikely to lead to significant increases in land productivity and may actually make farmers worse off. Policymakers should focus instead on reducing the root causes of fragmentation: inefficiencies in land, labor, credit, and food markets.;http://oag.sagepub.com/content/30/4/281.full.pdf;1992;English;Ghana, Rwanda;The International Bank for Reconstruction and Development/THE World Bank Group;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 41;
