ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages;Potential List
nust:10628/568;Applying a Problem Based Learning Approach to Land Management Education:The case of Aalborg University, Denmark;;"This paper is work in progress and draws from previous research. The paper supports the lecture on

Problem Based Learning given at the Namibia University of Science and Technology (NUST) on 3 March 2016.";Enemark, Stig;;;Namibia University of Science and Technology;2016-12-31;en;"land management;land administration;land";;Land Use, Management & Investment;;Reports & Research;http://ir.nust.na/handle/10628/568;http://ir.nust.na/rest/bitstreams/1640/retrieve;http://ir.nust.na/rest/bitstreams/1658/retrieve;;;;
nust:10628/585;25 years of land reform;;The Land, Livelihoods and Housing Programme aims at deepening and expanding the focus on these three key issues in Namibia. This thematic approach seeks to reflect the wide-ranging skills exiting at the FNRSS, and was developed to guide ILMI’s activities during the 2014-18 period. The programme is organised in four aspects: institutional, environmental, fiscal and spatial processes.;Wolfgang, Werner;;"Namibia University of Science and Technology;Integrated Land Management Institute";Namibia University of Science and Technology;2015-12-31;en;"land;land reform";;;NAM;Reports & Research;http://ir.nust.na/handle/10628/585;http://ir.nust.na/rest/bitstreams/2216/retrieve;http://ir.nust.na/rest/bitstreams/2219/retrieve;;;;
nust:10628/618;Ancestral land;;"Ancestral land refers to ‘land of ancestors’. That is the land occupied by ones’ forebearers for generations and left something behind of value for current and future generations. There are usually contestations as to which ancestors the land

belongs because of the history of internal migration and of displacements by stronger nations (tribes).";Katjiua, Mutjinde;;"Namibia University of Science and Technology;Integrated Land Management Institute";Namibia University of Science and Technology;2018-12-31;en;"land reform;informal settlements;land;inheritance tax";Urban Tenure;Access to Land & Tenure Security;;;http://ir.nust.na/handle/10628/618;http://ir.nust.na/rest/bitstreams/2303/retrieve;;;;;
nust:10628/85;Optical remote sensing in support of eutrophication monitoring in the southern North Sea.;;"Spring mean and maximum chlorophyll a (chl a) concentrations are main factors to determine the eutrophication status of the Belgian waters as agreed within OSPAR in 2002. Other important assessment parameters to measure the degree of nutrient enrichment - the amounts of inorganic

phosphate and nitrogen in winter - appeared to be above thresholds for most measurements performed in the period 1974-2002. As the standard in situ monitoring programme does not give a clear picture of the temporal and spatial distribution of chl a, it is logical to complement these measurements with optical remote sensing. However, chlorophyll concentrations derived from sensors such as SeaWiFS are unreliable in the Case 2 waters of this region because of high particulate and dissolved yellow substance absorption. Another important limitation of ocean colour sensors is the amount of useful images due to cloud cover. The combination of data from different ocean colour sensors in order to enable a better temporal coverage might be hampered by the different chlorophyll retrieval algorithms used. This study compares different global chl a algorithms (MODIS, SeaWiFS, MERIS) as well as a turbid water algorithm for the Southern North Sea. This is done by running the different algorithms on in situ reflectance spectra collected at 107 stations in the period 2001-2002 over the Southern North Sea and comparing them with in situ chl a concentrations, as well as by running the algorithms on a MERIS image of the 29th of July 2002. Based on this validation the accuracy of these products and their suitability for eutrophication monitoring in

the Southern North Sea are assessed.";"De Cauwer, Vera
Ruddick, Kevin
Park, Young-Je
Nechad, Bouchra
Kyramarios, Michael";;;Namibia University of Science and Technology;2004-12-31;en;"geographical information systems;land registration";;;;Journal Articles & Books;http://ir.nust.na/handle/10628/85;http://ir.nust.na/rest/bitstreams/157/retrieve;http://ir.nust.na/rest/bitstreams/1733/retrieve;;;;
nust:10628/86;Assessing potential to produce final ocean colour maps of Namibia`s marine environment: Final report for BCLME/UNOPS PCU/POLYTECH/05/01 MODIS.;;;De Cauwer, Vera;;;Namibia University of Science and Technology;2006-12-31;en;"environment;land cover;land use mapping;sustainable land management";Land, Climate change & Environment;;NAM;Reports & Research;http://ir.nust.na/handle/10628/86;http://ir.nust.na/rest/bitstreams/159/retrieve;http://ir.nust.na/rest/bitstreams/1780/retrieve;;;;
nust:10628/622;Ecosystem services and small-holder farming practices -between payments, development support and right- an integrated approach (ILMI Working paper 10);;"Small-scale	farmers	in	north-central	Namibia	face	numerous	challenges,	ranging	from	low	crop	yields,	high	rainfall	variability	and	land	degradation	which	is	threatening	the	long-term	productivity	of	the	land,	to	social	changes	that	are	reducing	the	work	force	available	for	farming.	This	paper	aims	to	assess	existing	land	use	practices	(LUPs)	and	to	determine	their	relationship	to	ecosystem	services	(ES).	As	agriculture	(crop	and	livestock	farming)	is	the	dominant	land	use	in	northern	Namibia,	it	is	the	main	driver	influencing	environmental	services	and	will	be	in	the	focus	here.	We	suggest	ways	of	combining	an	improvement	of	provisioning	services	(especially	food	production	and	thus	livelihoods	of	small-scale	farmers)	together	with	regulating	services	(e.g.	climate	regulation	through	carbon	storage	and	soil	fertility	conservation)	to	create	multiple	benefits	at	the	landscape	level.	In	addition	to	identifying	suitable	LUPs,	we	argue	that	any	activity	trying	to	improve	ES	should	count	on	the	already	existing	initiatives	and	interventions	and	look	for	synergies	and	complementarities.";"Bloemertz, Lena
Naanda, Martha
Wingate, Vladimir
Angombe, Simon
Kuhn, Nikolaus";;"Namibia University of Science and Technology;Integrated Land Management Institute";Namibia University of Science and Technology;2018-08-31;en;"environment;development;food security;agriculture";"Land, Climate change & Environment;Land & Food Security";;NAM;Reports & Research;http://ir.nust.na/handle/10628/622;http://ir.nust.na/rest/bitstreams/2311/retrieve;;;;;
nust:10628/586;Leasehold as a Vehicle for Economic Development;;Secure tenure and registered land rights are widely believed to be necessary for access to credit, well functioning land markets and economic development. As a result Namibia introduced long term leasehold rights over communal and commercial land for resettlement purposes in order to address preindependence imbalances in land holdings. The purpose is to bring the resettled beneficiaries into the mainstream of the economy, but this has not happened. The research analysed the institutional framework for resettlement allocations and the transaction costs in order to understand the impact of leaseholds on the beneficiaries ability to access credit and mobilise investments. The findings suggest that the transaction cost were low when compared with similar transaction internationally, but high in comparison with the production value of the parcels of land. The lack of resources available to the beneficiaries and their resultant inability to service loans is a major contributor to the lack of economic development. Poor access to information on the registration requirements for leases, combined with the requirements from financial institutions and the lack of a market for leasehold rights meant that beneficiaries are not able to register their leases in order participate meaningfully in economic development.;"Werner, Wolfgang
Bayer, Charl-Thom H.";;;Namibia University of Science and Technology;2017-03-31;en;"development;land;land reform;leases;sustainable development";;;NAM;;http://ir.nust.na/handle/10628/586;http://ir.nust.na/rest/bitstreams/2222/retrieve;http://ir.nust.na/rest/bitstreams/2225/retrieve;;;;
nust:10628/578;The proposed new Urban and Regional Planning Bill: an appraisal.;;"The Bill aimed at overriding old ordinances that dated back to the 1950s and 60s. The main objective of the Bill is that of decentralisation, and has three main points: the establishment of ""authorized planning authorities"" (APA); the consolidation of Townships Board and the Namibia Planning Advisory Board (NAMPAB) into one Urban and Regional Planning Board; and long term spatial development frameworks by means of a structure plan at all levels: national, regional, and urban.";Genis, Pieter;;"Namibia University of Science and Technology;Integrated Land Management Institute";Namibia University of Science and Technology;2015-10-31;en;"land;sustainable development;land law;urban areas;urbanization";"Socio-Economic & Institutional Context;Urban Tenure";;;;http://ir.nust.na/handle/10628/578;http://ir.nust.na/rest/bitstreams/2184/retrieve;http://ir.nust.na/rest/bitstreams/2193/retrieve;;;;
nust:10628/620;Informal settlements;;Namibia is moving towards an urbanised country. This is illustrated by the fact that at independence Namibia was only 28% urbanized by 2011 urbanization has already grown to 42% and current projections are that by 2020 urbanization would by 66% and more than 70% by 2030.  As the urban population is growing the need for serviced land and housing is also growing.   As Namibia has failed to respond through appropriate strategies to facilitate this change in the human geography of the country it resulted in the growth of poorly serviced informal settlements.  These settlements are often far from jobs, services and social and economic amenities thus further increasing poverty level in the urban areas.;Muller, Anna;;"Namibia University of Science and Technology;Integrated Land Management Institute";Namibia University of Science and Technology;2018-12-31;en;"land reform;informal settlements";Urban Tenure;Access to Land & Tenure Security;;;http://ir.nust.na/handle/10628/620;http://ir.nust.na/rest/bitstreams/2307/retrieve;;;;;
nust:10628/606;The ABC Model;;"How does one build up an analysis? And how does one create the link between the individual partial-analyses

in a problem-oriented project work? These are the two main issues that this booklet gives an overview of.

This document is a presentation of a way in which an analysis, a sub-project and a project can be structured.";Christensen, Åse;;"Namibia University of Science and Technology;Integrated Land Management Institute";Namibia University of Science and Technology;2018-05-31;;"land;sustainable development;capacity building;research";Socio-Economic & Institutional Context;;;;http://ir.nust.na/handle/10628/606;http://ir.nust.na/rest/bitstreams/2277/retrieve;;;;;
nust:10628/605;The role of universities in participatory informal settlement upgrading: experiences from Kenya, Namibia, Uganda, and Zambia.;;"This document is a report on the session that focused on the role of universities in participatory informal settlement upgrading at the workshop titled ""Bottom-up city Wide planning in Gobabis"", which took place on 11-13 May 2017, in Gobabis. The event was convened by the Namibia Housing Action Group (NHAG) and the Shack Dwellers Federation, with support from Shack Dwellers International (SDI). Participants included the Namibia University of Science and TEchnology (NUST), the Municipality of Gobabis, the Ministry of Urban and Rural DEvelopment (MURD), and members from the frederation as well; as represntatives fom homologous institutions from Zambia, Kenya and Uganda.";Guillermo, Delgado;;"Namibia University of Science and Technology;Integrated Land Management Institute";Namibia University of Science and Technology;2017-07-31;en;"land;sustainable development;informal settlements;urbanization;land use planning";Socio-Economic & Institutional Context;;;;http://ir.nust.na/handle/10628/605;http://ir.nust.na/rest/bitstreams/2275/retrieve;;;;;
nust:10628/607;Housing in Namibia: The challenges and prospects for adequate future provision;;"The current paper derives from work conducted in the context of the Revision of the Mass Housing Development

Programme (MHDP) that the Ministry of Urban and Rural Development (MURD) commissioned to the Integrated

Land Management Institute (ILMI) at the Namibia University of Science and Technology (NUST). The paper

contains only publicly-available information and was prepared for public dissemination of issues related to the

work undertaken for the Ministry in the context of this project.";Chiripanhura, Blessing M.;;"Namibia University of Science and Technology;Integrated Land Management Institute";Namibia University of Science and Technology;2018-05-31;en;"land;sustainable development;housing rights;land rights;local community";Socio-Economic & Institutional Context;;;;http://ir.nust.na/handle/10628/607;http://ir.nust.na/rest/bitstreams/2279/retrieve;;;;;
nust:10628/358;The future Okavango project: SP05 - Impacts of altered land use practises on the plant related ESF&S. TFO fieldwork report 2010 - 2012 for task 6 of SP05: Timber provision of Burkea Woodlands;;"This short field work report gives an overview of the forest inventory work done during the first two years of The Future Okavango (TFO) project, a project implemented till 2015 and funded by the

German Ministry of Education and Research. TFO aims to integrate ecosystem functions and services into an ecological and economic approach to sustainable land management at a regional scale.

Forest assessments are part of subproject 5 of TFO, which focuses on the vegetation in the Okavango basin of Angola, Namibia and Botswana. Objectives include : (1) qualitative and quantitative assessment and valuation of the plant based ecosystem functions and services, (2) a functional analysis of important aspects of the multiple interdependence between ecosystem compartments and drivers of change, (3) the study of the projection of current trends with regard to possible scenarios and their

cumulative consequences, (4) the study of the potential for regional improvement given by the spatiotemporal composition and patterns of different land use options with the involved trade-offs and synergies.";De Cauwer, Vera;;;Namibia University of Science and Technology;2013-12-31;en;"land use;land;land use planning";;Land Use, Management & Investment;NAM;;http://ir.nust.na/handle/10628/358;http://ir.nust.na/rest/bitstreams/1001/retrieve;http://ir.nust.na/rest/bitstreams/2019/retrieve;;;;
nust:10628/359;Manual for working with MODIS images in SeaDAS 6.2.;;"This manual was written for the students of the School of Natural Resources and Tourism,

Polytechnic of Namibia during the pilot project “Assessing potential to produce final Ocean Colour maps of Namibia’s marine environment”, which is supported by the BCLME

Programme and the Polytechnic of Namibia.

The manual is written for students working with the SeaDAS software on the Linux computer of the Department of Land Management (operating system is Fedora Core 10) or the version of SeaDAS which can be installed in Windows through a virtual application Vmware player (seadasva). The images used are MODIS Aqua provided by NASA (HDF version 4 format).";De Cauwer, Vera;;;Namibia University of Science and Technology;2013-12-31;en;geographical information systems;;;NAM;;http://ir.nust.na/handle/10628/359;http://ir.nust.na/rest/bitstreams/1003/retrieve;http://ir.nust.na/rest/bitstreams/2007/retrieve;;;;
nust:10628/533;25 years of land reform (ILMI Working paper No. 1).;;This Working Paper, the first in the series to be published by ILMI, will briefly review progress in both land reform sectors and raise a few issues that continue to pose challenges to the programme.;Werner, Wolfgang;;"Namibia University of Science and Technology;Integrated Land Management Institute";Namibia University of Science and Technology;2015-12-31;en;"land;land reform";;;NAM;Reports & Research;http://ir.nust.na/handle/10628/533;http://ir.nust.na/rest/bitstreams/1546/retrieve;http://ir.nust.na/rest/bitstreams/2092/retrieve;;;;
nust:10628/473;Potential, realised, future distribution and environmental suitability for pterocarpus angolensis DC in southern Africa.;;"The deciduous tree species Pterocarpus angolensis occurs in the dry woodlands of southern Africa and grows under a broad range of environmental conditions. It is threatened by overharvesting due to its valuable timber (Blood wood, Kiaat) and by land use changes. Information on the most suitable environmental conditions for the species is often old and anecdotal, while available data on its occurrence refer to range extent and not to distribution.

Species distribution models (SDM) could provide more accurate information on distribution and environmental requirements and thereby assist sustainable management of this tree species. Maxent models were developed to estimate the potential, realised and future distribution of P.

angolensis and to identify detailed environmental requirements. Occurrences data of the species were sourced from herbaria and other published sources; environmental data from global GIS databases. Relevant environmental predictors were selected through a jack-knife test of the first

model runs. The addition of information on competing species, fires and deforestation was tested to determine realised distribution. Model quality was evaluated with an independent presence-absence dataset. The model was projected with two different climate change scenarios to study their effect on the distribution by 2080.

Results show that a potential distribution map can be obtained with good discrimination of the presence of the species (AUC 0.83) and fairly good calibration (correlation coefficient 0.61). Range extent and environmental requirements are more detailed than those described in literature. The distribution of the species is mainly influenced by the amount of summer rainfall,

by the minimum temperature in winter and by temperature seasonality. Potential and realised distributions are very similar, with Madagascar as major exception where the species can grow but does not occur. Adding the fire history of the last 13 years or the distribution maps of potentially competing species as predictor variables did not improve the distribution model. It did illustrate that P.angolensis is mainly found in areas with annual fire frequency below 45%

and that only a few of the tested species show signs of competition. Using a forest cover map improved the realised distribution slightly (Kappa coefficient 0.64). Climate change can decrease the species range considerably, especially in the west, threatening species existence in Namibia and Botswana. On the other hand, the species’ occurrence is predicted to increase in

Zambia.";"De Cauwer, Vera
Muys, Bart
Revermann, Rasmus
Trabucco, Antonio";;ScienceDirect;Namibia University of Science and Technology;2014-12-31;en;"environment;climate change;land distribution";Land, Climate change & Environment;;;Policy Papers & Briefs;http://ir.nust.na/handle/10628/473;http://ir.nust.na/rest/bitstreams/1230/retrieve;http://ir.nust.na/rest/bitstreams/2062/retrieve;;;;
nust:10628/535;Land, livelihoods and housing: Research Programme 2014-2018.;;This document provides the focus for an integrated approach to research in the land, livelihoods and housing sectors in Namibia. Its thematic approach seeks to facilitate multi-disciplinary research projects that will reflect the wide range of skills existing in the School of Natural Resources and Spatial Sciences (SNRSS) at the Polytechnic of Namibia (PoN). It is unique in that it has all land related disciplines in one School and is therefore well placed to become a leading research centre.;"Bayer, Charl-Thom H.
Christensen, Åse
Delgado, Guillermo
Hayford, Samuel A. K.
Katjiua, Mutjinde
Werner, Wolfgang
Lühl, Phillip";;"Namibia University of Science and Technology;Integrated Land Management Institute";Namibia University of Science and Technology;2015-12-31;en;"land;research;housing rights;sustainable development;land rights";;;NAM;;http://ir.nust.na/handle/10628/535;http://ir.nust.na/rest/bitstreams/1544/retrieve;http://ir.nust.na/rest/bitstreams/2076/retrieve;;;;
nust:10628/608;Assessment of Housing Needs in Namibia;;"The current paper derives from work conducted in the context of the Revision of the Mass Housing Development

Programme (MHDP) that the Ministry of Urban and Rural Development (MURD) commissioned to the Integrated

Land Management Institute (ILMI) at the Namibia University of Science and Technology (NUST). The paper contains

only publicly-available information and was prepared for public dissemination of issues related to the work

undertaken for the Ministry in the context of this project. More information about this project can be found on

http://newmasshousing.nust.na/";"Asino, Kristofina
Christensen, Åse";;"Namibia University of Science and Technology;Integrated Land Management Institute";Namibia University of Science and Technology;2018-05-31;en;"land;assessment;sustainable development;housing rights";Socio-Economic & Institutional Context;;;;http://ir.nust.na/handle/10628/608;http://ir.nust.na/rest/bitstreams/2281/retrieve;;;;;
nust:10628/577;Participatory land delivery processes in Gobabis: the case of Freedom Square.;;The project in question refers to the case of 'Freedom Square' in Gobabis, which is a cooperation between the Municipality of Gobabis and the Shack Dwellers Federation of Namibia (SDFN), the Namibia Housing Action Group (NHAG), the Namibia University of Science and Technology (NUST), and other international parties. The project is motivated by an agenda of 'inclusive cities': through close collaboration with existing residents in the area, the process of land delivery is expedited and turned into an exercise of making inhabitants drivers in the improvement of living conditions.;Harris, Braam;;"Namibia University of Science and Technology;Integrated Land Management Institute";Namibia University of Science and Technology;2016-08-31;en;"land delivery;land;sustainable development;capacity building";Socio-Economic & Institutional Context;;;;http://ir.nust.na/handle/10628/577;http://ir.nust.na/rest/bitstreams/2182/retrieve;http://ir.nust.na/rest/bitstreams/2191/retrieve;;;;
nust:10628/315;Balancing the technical and social contexts of Spatial Data Infrastructure (SDI).;;"One special characteristic of spatial data is that they can be shared to be used for many purposes other than the one for which they were initially produced. To facilitate their efficient sharing and reuse, they need to be properly managed in the form of a Spatial Data Infrastructure (SDI). This study

argues that developing a successful SDI must be seen as a socio-technical, rather than a purely technical exercise. It urges that SDI practitioners need to understand the significance of human and societal issues as much as technical issues, all of which contribute to the successful implementation of SDI.";Nangolo, Esther N.;;Namibia University of Science and Technology;Namibia University of Science and Technology;2011-12-31;en;"open data;geographical information systems;capacity building";;;;Journal Articles & Books;http://ir.nust.na/handle/10628/315;http://ir.nust.na/rest/bitstreams/855/retrieve;http://ir.nust.na/rest/bitstreams/1867/retrieve;;;;
nust:10628/217;Mapping of the BCLME shoreline, shallow water & marine habitats: Physical mapping project.;;Project in collaboration with the Benguela Environment Fisheries Interaction & Training Programme (BENEFIT)  for the Benguela current Large MArine Ecosystem (BCLME) Programme.;De Cauwer, Vera;;;Namibia University of Science and Technology;2007-12-31;en;"coastal area;land use mapping;land cover";;;;Reports & Research;http://ir.nust.na/handle/10628/217;http://ir.nust.na/rest/bitstreams/557/retrieve;http://ir.nust.na/rest/bitstreams/1732/retrieve;;;;
