ID;Title;Abstract/Description;Link to the publication;Link to the original website;Publicaton date (YYYY/MM);journal;Publishers;Corporate Authors;Authors;Language;Resource types;Geographical focus;Related Concepts;Themes;Overarching Categories
mokoro:5558;Report of the Conference on Land Tenure and Conflict in Africa: Prevention, Mitigation and Reconstruction, 9-10 December 2004;The conference was part of a series of activities by ACTS seeking to improve knowledge on the links between natural resources and violent conflict. Includes full conference papers on Burundi, Eastern DRC, Rwanda, Kenya, Sudan, Somalia, Zimbabwe, North Kivu, as well as overview papers on a research agenda on land tenure and land reform, human-centred environmental security, Oxfam GB and land in post-conflict situations in Africa, and group discussion reports, conclusions, references.;http://mokoro.co.uk/wp-content/uploads/acts_land_tenure_and_conflict_africa_conf_report.pdf;http://mokoro.co.uk/land-rights-article/report-of-the-conference-on-land-tenure-and-conflict-in-africa-prevention-mitigation-and-reconstruction-9-10-december-2004/;31-03-2005;;African Centre for Technology Studies;African Centre for Technology Studies;;en;Reports & Research;002;"environment;land;research;land reform;land tenure";Land, Climate change & Environment;"Land Policy & Legislation;Access to Land & Tenure Security"
mokoro:5804;Southern Africa and Land: Justice Denied?;Includes increased priority to land reform, development versus redistribution, an economic-oriented land reform, support following land redistribution, gender, securing land tenure, poverty and marginalisation, HIV/AIDS, mineral rights and land rights.;http://mokoro.co.uk/wp-content/uploads/actsa_southern_africa_land_paper.pdf;http://mokoro.co.uk/land-rights-article/southern-africa-and-land-justice-denied/;31-05-2010;;Action for Southern Africa;Action for Southern Africa;;en;Reports & Research;002;"land;land tenure;land rights;poverty;land reform";;"Land Policy & Legislation;Access to Land & Tenure Security"
mokoro:5380;Brainstorming/Planning Kenya Land Alliance Workshop on Land Policy and Land Law Reforms in Kenya;"Contains overview of the land reform process and brief summaries of presentations made on: key elements and guiding principles in formulating land policy; political, economic, social and cultural issues on the land policy and land law reform process; implications of gearing the formulation of land policy and land laws as a stimulus for agricultural productivity; gaps, conflicts, contradictions, overlaps and inconsistencies in the existing land laws and what needs to be done in land legal reform. Concludes with an overview of the issues emanating and those that will be addressed (land policy, land laws, property regime, constitutional land policies).";http://mokoro.co.uk/wp-content/uploads/brainstorming_kla_land_workshop.pdf;http://mokoro.co.uk/land-rights-article/brainstormingplanning-kenya-land-alliance-workshop-on-land-policy-and-land-law-reforms-in-kenya/;28-02-2001;;;Oxfam Great Britain;Ada Mwangola;en;Reports & Research;"002;KEN";"land policies;land;land reform;reforms;land law;property";;Land Policy & Legislation
mokoro:5853;Decentralized vs. local management of land tenure: the Niger case history;"Covers achievements and weaknesses of local land tenure management system; the local land tenure management system in the context of decentralization.";http://www.agter.asso.fr/IMG/pdf/2010_ctf_fiche-pedag_kandine_en.pdf;http://mokoro.co.uk/land-rights-article/decentralized-vs-local-management-of-land-tenure-the-niger-case-history/;31-12-2010;;;;Adam Kandine;en;Reports & Research;"002;NER";"decentralization;land;land tenure";;"Land Policy & Legislation;Access to Land & Tenure Security"
mokoro:5793;Land in Zimbabwe: past mistakes, future prospects;Includes timeline of events, key findings and recommendations, understanding the legacy of Lancaster House, the impact of land reform, recommendations for recovery – land reform goals, Britain’s role in future land reform programmes.;http://mokoro.co.uk/wp-content/uploads/aappg_report_land_in_zimbabwe.pdf;http://mokoro.co.uk/land-rights-article/land-in-zimbabwe-past-mistakes-future-prospects/;31-12-2009;;;;;en;Reports & Research;"002;ZWE";"land;land reform";;
mokoro:6047;Land Grabbing in Africa: Herakles Farms’ Failed Venture in Brewaniase, Ghana;AFJN travelled to Brewaniase, a town in Ghana’s Volta Region, to learn more about a potential land grab deal by Herakles Farms, a New York based agribusiness. Informed that Herakles Farm had acquired a large tract of land in the Volta Region. Less than a year ago the property was sold to a British company, Volta Red. This story is a warning to landowners in Africa and irresponsible African leaders who are carelessly mortgaging future generations’ inheritance during this global rush for land in Africa.;http://mokoro.co.uk/wp-content/uploads/afjn-ghana-land-grab-report-2014.pdf;http://mokoro.co.uk/land-rights-article/land-grabbing-in-africa-herakles-farms-failed-venture-in-brewaniase-ghana/;31-10-2014;;Africa Faith and Justice Network;Africa Faith and Justice Network;;en;Reports & Research;"002;GHA";"property;land;land grabbing;landowners";;
mokoro:7632;Land, Law and Traditional Leadership in South Africa;Summarises papers discussed at an April 2016 symposium on land, law and traditional leadership. Includes land redistribution: tinkering at the edges, tenure insecurity, courting the chiefs, echoes of apartheid, opportunities for enrichment, a way forward;http://www.africaresearchinstitute.org/publications/briefing-notes/land-law-and-traditional-leadership-in-south-africa/;http://mokoro.co.uk/land-rights-article/land-law-traditional-leadership-south-africa/;30-06-2016;;Africa Research Institute;Africa Research Institute;Nick Branson;en;Reports & Research;"ZAF;002";"land;land law;land policies;land governance";;Land Policy & Legislation
mokoro:5791;Fast Track Land Reform Baseline Survey in Zimbabwe: Trends and Tendencies, 2005/06;"Chapters cover access to and distribution of land; land tenure, resource control, and conflicts; non-agricultural production strategies; agrarian labour processes and social relations; social services and reproduction strategies; local ‘grievances’ and social organisation; agrarian structure and class formation; emerging agrarian questions and politics.";http://mokoro.co.uk/wp-content/uploads/aias_fast_track_land_reform_baseline_survey_2009.pdf;http://mokoro.co.uk/land-rights-article/fast-track-land-reform-baseline-survey-in-zimbabwe-trends-and-tendencies-200506/;31-12-2009;;African Institute for Agrarian Studies ;African Institute for Agrarian Studies ;;en;Reports & Research;"002;ZWE";"agrarian structure;land;land tenure;land reform";;"Land Policy & Legislation;Access to Land & Tenure Security"
mokoro:6064;Guiding Principles on Large Scale Land Based Investments in Africa;These Principles were officially launched on 12 November during the Inaugural Land Policy Conference in Africa in Addis Ababa. They aim to facilitate national land policy development and implementation process and to improve the governance of large-scale land based investments. They are articulated as fundamental principles based on human rights of communities, responsible governance of land, social acceptance by affected communities, gender equality and women’s access to land ownership, cost-benefits study and mutual accountability. They are also aligned to national strategies for sustainable agriculture. The challenge is their adoption and operationalization by AU member States. But Joan Kagwanja, Chief of the Land Policy Initiative, believes that African countries are ready to take the challenge. ‘We have already launched a series of training to build capacity of leaders, parliamentarians, jurists and other practitioners specializing in land issues. We hope that within the next three years at least, we will be able to stop land grabs. And that over the next decade, land management will have seen much needed improvement.’;http://mokoro.co.uk/wp-content/uploads/guiding_principles_eng_rev_era_size.pdf;http://mokoro.co.uk/land-rights-article/guiding-principles-on-large-scale-land-based-investments-in-africa/;30-11-2014;;"African Union;African Development Bank;United Nations Economic Commission for Africa";"African Union;African Development Bank;United Nations Economic Commission for Africa";;en;Reports & Research;002;"land;scale;land management;land grabs;agriculture;land ownership;women";Land & Gender;Land Use, Management & Investment
mokoro:5819;Framework and Guidelines on Land Policy in Africa;"A framework to strengthen land rights, enhance productivity and secure livelihoods. Includes background; the context of the land question; land in the national development process; the process of land policy development; land policy implementation; tracking progress in land policy development and implementation; overall conclusion.";http://mokoro.co.uk/wp-content/uploads/au_framework_and_guidelines_on_land_policy_in_africa1.pdf;http://mokoro.co.uk/land-rights-article/framework-and-guidelines-on-land-policy-in-africa/;30-11-2010;;"African Union;African Development Bank;United Nations Economic Commission for Africa";"African Union;African Development Bank;United Nations Economic Commission for Africa";;en;Reports & Research;002;"land;land rights";;Access to Land & Tenure Security
mokoro:8710;Land Policy Report. Policy Trends and Emerging Opportunities for Strengthening Community Land Rights in Africa;"Identifies the drivers of the land use changes that have displaced millions of rural people and continue to threaten millions more – particularly women; it unpacks the key land policy guidelines and why they have so far failed to ‘stick’ on the ground, and it sets out 14 actions to get to grips with the problem and push forward community land rights across Africa.";http://afsafrica.org/land-policy-report-policy-trends-and-emerging-opportunities-for-strengthening-community-land-rights-in-africa/;http://mokoro.co.uk/land-rights-article/land-policy-report-policy-trends-emerging-opportunities-strengthening-community-land-rights-africa/;30-11-2017;;Alliance for Food Sovereignty in Africa;Alliance for Food Sovereignty in Africa;;en;Reports & Research;002;"women;community land rights;land rights;land use;land";"Land & Gender;Indigenous & Community Land Rights";"Land Use, Management & Investment;Access to Land & Tenure Security"
mokoro:6060;Land and Seed Laws under Attack. Who is pushing changes in Africa?;The lobby to industrialise food production in Africa is changing seed and land laws across the continent to serve agribusiness corporations. The end goal is to turn what has long been held as a commons into a marketable commodity that the private sector can control and extract profit from at the expense of smallholder farmers and communities. This survey aims to provide an overview of just who is pushing for which specific changes in these areas – looking not at the plans and projects, but at the actual texts that will define the new rules.;http://mokoro.co.uk/wp-content/uploads/grain-5121-land-and-seed-laws-under-attack-who-is-pushing-changes-in-africa.pdf;http://mokoro.co.uk/land-rights-article/land-and-seed-laws-under-attack-who-is-pushing-changes-in-africa/;31-01-2015;;"Alliance for Food Sovereignty in Africa;GRAIN";"Alliance for Food Sovereignty in Africa;GRAIN";;en;Reports & Research;002;"area;land;land law;commons;farmers";;"Land Policy & Legislation;Land Use, Management & Investment"
mokoro:8799;Land Audit: A Transactions Approach;A land audit responding to the facts that policy formulation around the very sensitive and complex issue of land has been based on perception rather than fact for too long and that no reliable figures on land ownership in South Africa exist. Acknowledges that there are still some gaps in the data, but presents statistics that  shed light on ownership patterns of agricultural land in South Africa. Required a multi-pronged approach. The amount of agricultural land has decreased from approximately 79.3% in 1994 to 76.3% in 2016. Land ownership by Previously Disadvantaged Individuals has increased significantly from 14.9% in 1994 to 29.1% in 2016. The setting of government targets on land reform has created expectations but there was no way to measure whether these targets were being achieved as no comprehensive land audit was done. This audit should provide a foundation.;https://www.agrisa.co.za/wp-content/uploads/2017/11/AgriSA_Land-Audit_November-2017.pdf;http://mokoro.co.uk/land-rights-article/land-audit-transactions-approach/;30-11-2017;;;;;en;Reports & Research;002;"land;land ownership;land reform";;
mokoro:5316;Report on the Addis Ababa Workshop on Land Tenure Networking in sub-Saharan Africa;"Covers workshop organization, the opening session, reports by consultants from East, West and Southern Africa, presentations by resource persons; group sessions, mission statement, closing remarks.";http://mokoro.co.uk/wp-content/uploads/workshop_report_land_tenure_networking.pdf;http://mokoro.co.uk/land-rights-article/report-on-the-addis-ababa-workshop-on-land-tenure-networking-in-sub-saharan-africa/;31-01-2000;;Organisation for Social Science Research in Eastern and Southern Africa;Organisation for Social Science Research in Eastern and Southern Africa;Alemayehu Azeze;en;Reports & Research;002;"land;land tenure";;"Land Policy & Legislation;Access to Land & Tenure Security"
mokoro:5403;A Presentation on Land Issues and Land Reform in Swaziland;Includes historical perspective – native land settlement scheme, Lifa land purchasing programme, Rural Development Areas Programme, some lessons learned, prospects for land reform, Land Policy objectives and principles.;http://mokoro.co.uk/wp-content/uploads/presentation_land_issues_and_reform_swaziland.pdf;http://mokoro.co.uk/land-rights-article/a-presentation-on-land-issues-and-land-reform-in-swaziland/;30-06-2001;;Coordinating Assembly of NGOs - CANGO (Swaziland);Coordinating Assembly of NGOs - CANGO (Swaziland);Alfred Mndzebele;en;Reports & Research;"002;SWZ";"area;land;rural development;land reform";;Land Use, Management & Investment
mokoro:5911;Who Owns the Land? Perspectives from Rural Ugandans and Implications for Land Acquisitions;"Includes key concepts for understanding land rights; land tenure and women’s property rights in Uganda; land acquisition in Uganda; who owns the land? Perspectives from the local level. Analyses how different ways of defining landownership provide very different indications of the gendered patterns of landownership and rights. Although many households report that husbands and wives jointly own the land, women are less likely to be listed on ownership documents, especially titles, and women have fewer land rights. A simplistic focus on title to land misses much of the reality regarding land tenure and could have an adverse impact on women’s land rights.";http://www.ifpri.org/publication/who-owns-land;http://mokoro.co.uk/land-rights-article/who-owns-the-land-perspectives-from-rural-ugandans-and-implications-for-land-acquisitions/;30-11-2011;;International Food Policy Research Institute;International Food Policy Research Institute;"Allan Bomuhangi;Cheryl Doss;Ruth Meinzen-Dick";en;Reports & Research;002;"land;land tenure;land acquisitions;property;land rights;property rights;landowners;women";Land & Gender;"Land Policy & Legislation;Access to Land & Tenure Security"
mokoro:5758;Secure Land Rights for All;Covers the rush to acquire land in Africa by foreign governments and private investors, fuelled by fears for global food security in the face of climate change and volatile food prices on the international market. Warns that the political and economic risks of these land purchases are colossal and outweigh any gains, and argues that African governments must make food security and sufficiency for their own people paramount.;http://mokoro.co.uk/wp-content/uploads/Secure_Land_Rights_BK.pdf;http://mokoro.co.uk/land-rights-article/land-grabs-another-scramble-for-africa/;30-09-2009;;Pambazuka News;;Ama Biney;en;Reports & Research;002;"climate change;land rights;food security;land";"Land, Climate change & Environment;Land & Food Security";Access to Land & Tenure Security
mokoro:6083;Whose Land is it Anyway? The failure of land law reform in Kenya;Contains land and the Constitution of Kenya (2010), the rise and rise of the rule of law, getting technical, a grabbed land, the costs of impunity, interconnected law and justice, a challenge to the constitution, Kenya’s new land laws: timeline. Concludes that new laws have not been redistributive or transformative in a positive way. Longstanding grievances and injustices have not been addressed. Legislation has failed to curtail predatory bureaucracies which in turn have stymied reform through delaying tactics and sabotage. After adopting a progressive National Land Policy and new constitution, Kenya missed a real opportunity to enshrine in law their radical principles for land reform.;http://www.africaresearchinstitute.org/publications/whose-land-is-it-anyway/;http://mokoro.co.uk/land-rights-article/whose-land-is-it-anyway-the-failure-of-land-law-reform-in-kenya/;31-08-2015;;Africa Research Institute;Africa Research Institute;Ambreena Manji;en;Reports & Research;"002;KEN";"land reform;land;land law";;Land Policy & Legislation
mokoro:5375;Land Reform in the Shadow of the State: the Implementation of new Land Laws in sub-Saharan Africa;Focuses on the problems of implementing new land laws in Africa, with particular emphasis on those in Tanzania, Uganda and South Africa. Includes background, the policy environment, implementers, accommodative non-state land reform, and radical non-state land reform.;http://mokoro.co.uk/wp-content/uploads/land_reform_in_shadow_of_state.pdf;http://mokoro.co.uk/land-rights-article/land-reform-in-the-shadow-of-the-state-the-implementation-of-new-land-laws-in-sub-saharan-africa/;30-06-2001;;University of Warwick;University of Warwick;Ambreena Manji;en;Reports & Research;002;"land reform;environment;land;land law";Land, Climate change & Environment;Land Policy & Legislation
mokoro:5477;The World Bank’s Policy Research Report ‘Land Policy for Pro-Poor Development’: A Gender Analysis;"An analysis of the World Bank’s Policy Research Report (PRR) from a gender perspective and a contribution to an e-mail discussion on it. Looks at whether the latest draft has addressed the failings of an earlier version. Focuses on the notion of non-contractable labour; the household as a unit of analysis; motivated family labour; the consequences of default; equity and poverty reduction strategies; bringing women’s rights onto the agenda. Concludes that the changes are largely superficial and that Report’s fundamental assumptions remain intact and threaten to worsen rather than ameliorate women’s position.";http://mokoro.co.uk/wp-content/uploads/manji_gender_analysis_wb_land_prr.pdf;http://mokoro.co.uk/land-rights-article/the-world-banks-policy-research-report-land-policy-for-pro-poor-development-a-gender-analysis/;31-12-2002;;University of Warwick;University of Warwick;Ambreena Manji;en;Reports & Research;002;"women;land;poverty;research";Land & Gender;
mokoro:5480;Mortgaging the Future: The World Bank’s Land Agenda in Africa;Analyses the World Bank’s Policy Research Report (PRR) from a gender perspective and is critical of the consultation process on it thus far. It has important implications for women in Africa. The Bank believes land should be viewed not as a source of subsistence but of capital. It ignores women’s unpaid labour as a factor in agricultural productivity. It treats the household as an undifferentiated unit and ignores that the family often functions as a site of oppression. The Bank stresses ‘motivated’ family labour but ignores that much of women’s labour is far from voluntary. It also ignores the consequences for households of defaulting on loans using land as collateral and the real possibility that rural farmers may find themselves landless as a result. Issues of labour and capital are now of central importance to land relations in Africa.;http://mokoro.co.uk/wp-content/uploads/mortgaging_future_wb_in_africa.pdf;http://mokoro.co.uk/land-rights-article/mortgaging-the-future-the-world-banks-land-agenda-in-africa/;30-11-2002;;University of Warwick;University of Warwick;Ambreena Manji;en;Reports & Research;002;"women;land;farmers;research";Land & Gender;
mokoro:5412;Farm Dwellers: Citizens without Rights, the Unfinished National Question;Includes poverty reduction and land reform, profile of farm dwellers, access to land, the creation of farm dwellers, the National Question and land reform, non-market v. market land reform, the East Asian and Latin American experiences, consequences of reform, South Africa and the land question, can the problems be overcome?, the prospects for South Africa.;http://mokoro.co.uk/wp-content/uploads/farm_dwellers_citizens_without_rights.pdf;http://mokoro.co.uk/land-rights-article/farm-dwellers-citizens-without-rights-the-unfinished-national-question/;30-06-2001;;;;Andile Mngxitama;en;Reports & Research;002;"land;poverty;land reform";;
mokoro:5783;Women’s Access to Land in Kenya;"Includes inheritance: a key way women access land; local mechanisms: ‘custom’, power dynamics and lack of engagement; formal justice system: community pariah status and systemic barriers. The lack of access to land cannot be framed as a failing of formal or informal systems, but rather as issues with both. The key to increasing access to justice at both formal and informal levels is to address power dynamics and understand how they operate to the detriment of women.";http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2010/01/22/000333037_20100122001839/Rendered/PDF/526750revised010as0previous0record1.pdf;http://mokoro.co.uk/land-rights-article/womens-access-to-land-in-kenya/;31-01-2010;Justice for the Poor;The World Bank Group;The World Bank Group;Andrew Harrington;en;Reports & Research;"002;KEN";"land;women;gender equity in access to land";Land & Gender;
mokoro:5805;Arguing Traditions. Denying Kenya’s Women Access to Land Rights;"Includes official land rights in Kenya; refusing inheritance – widows and daughters in the patrilineage, dispute trajectories; institutionalizing women’s exclusion – local control boards, local dispute tribunals, formal courts; shifting the debate; working with constructive values in this context. The problem needs to be tackled using the avenues that currently promote the marginalization of women; the socio-cultural value systems that determine which behaviour, arguments, and actions are legitimate in a community.";http://web.worldbank.org/WBSITE/EXTERNAL/TOPICS/EXTLAWJUSTICE/EXTJUSFORPOOR/0,,contentMDK:22406236~pagePK:148956~piPK:216618~theSitePK:3282787,00.html;http://mokoro.co.uk/land-rights-article/arguing-traditions-denying-kenyas-women-access-to-land-rights/;30-06-2010;Justice for the Poor;The World Bank Group;The World Bank Group;"Andrew Harrington;Tanja Chopra";en;Reports & Research;"002;KEN";"lineage;land;land rights;women";Land & Gender;Access to Land & Tenure Security
mokoro:5632;Commercial Farmers and the State: Interest Group Politics and Land Reform in Zimbabwe;Original new thesis which explores the history and politics of commercial farmers in Zimbabwe, their interactions with the state, and their contests for land and other resources. Using fresh archive and key informant sources, it provides a unique perspective on Zimbabwe’s much publicised land and race debates. Argues that the dismantling of the white farming sector disguised wider political contest and provided a source of land and assets for the ruling ZANU PF with which to placate its elaborate and increasingly militarised patronage system.;http://mokoro.co.uk/wp-content/uploads/commercial_farmers_and_the_state_selby_thesis.pdf;http://mokoro.co.uk/land-rights-article/commercial-farmers-and-the-state-interest-group-politics-and-land-reform-in-zimbabwe/;31-08-2006;;University of Oxford;University of Oxford;Angus Selby;en;Reports & Research;"002;ZWE";"land reform;land;farmers";;
mokoro:5593;Land Reform in South Africa: a 21st Century Perspective;Includes recent political and policy developments, research findings and conclusions, a wider national picture, changing the discourse, a challenge to the private sector, South Africa faces a choice. Argues that South Africa’s current land reform model is largely informed by an outmoded vision of the role of agriculture and the rural areas in South African society, so is overloaded with expectations it cannot fulfil. Land reform is now predominantly an urban challenge.;http://mokoro.co.uk/wp-content/uploads/land_reform_in_sa_c21_perspective.pdf;http://mokoro.co.uk/land-rights-article/land-reform-in-south-africa-a-21st-century-perspective/;30-06-2005;;Centre for Development and Enterprise;Centre for Development and Enterprise;Ann Bernstein;en;Reports & Research;"ZAF;002";"land;rural areas;area;research;land reform;agriculture";;Land Use, Management & Investment
mokoro:5499;Discourses on Women’s Land Rights in Sub-Saharan Africa: The Implications of the Re-turn to the Customary;Examines some contemporary policy discourses on land tenure reform in sub-Saharan Africa and their implications for women’s interests in land. Demonstrates an emerging consensus among a range of influential policy institutions (including the World Bank, IIED and Oxfam GB), lawyers and academics about the potential of so-called customary systems of land tenure to meet the needs of all land users and claimants. African women lawyers are much more equivocal about trusting the customary, preferring to look to the State for laws to protect women’s interests. There are considerable problems with so-called customary systems of land tenure and administration for achieving gender justice with respect to women’s land claims. Insufficient attention is being paid to power relations in the countryside and their implications for social groups, such as women, who are not well positioned and represented in local level power structures. Considerable changes will be needed before African states can begin to deliver gender justice with respect to land.;http://mokoro.co.uk/wp-content/uploads/return_to_the_customary.pdf;http://mokoro.co.uk/land-rights-article/discourses-on-womens-land-rights-in-sub-saharan-africa-the-implications-of-the-re-turn-to-the-customary/;30-06-2003;Journal of Agrarian Change;Journal of Agrarian Change;;"Ann Whitehead;Dzodzi Tsikata";en;Reports & Research;002;"land;land use;land tenure;land rights;trust;women";Land & Gender;"Land Policy & Legislation;Land Use, Management & Investment;Access to Land & Tenure Security"
