ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages;
eldis:A33086;Anglo American: the alternative report;;"This report documents the performance of the world’s second largest mining company with regard to corporate social responsibility (CSR). Despite Anglo American’s participation in various voluntary CSR initiatives, it continues to abuse human rights, fuel conflict and damage the local environment and livelihoods. The report documents a number of Anglo American’s activities which highlight that there is still a long way to go as far as the company's commitment to CSR, including: 

    trade unionists who have protested against AngloGold Ashanti mining operations in Colombia have been murdered by military units assigned to protect the company 
    AngloGold Ashanti has links with armed groups responsible for human rights abuses in the Democratic Republic of Congo 
    in the Philippines and South Africa, local communities threatened with Anglo American mines have faced severe repression in their fight to stay on their land 
    in Ghana, mining operations have devastated the environment and polluted vital water resources 

The UK government’s opposition to a binding framework for corporate accountability enables companies such as Anglo American to continue to acquire vast wealth at the expense of the security and human rights of the communities in which it operates. The report insists that the UK government must state its support for international, legally binding regulation so that companies like Anglo American can be made accountable for their actions around the world.  ";;;War on Want;eldis;01/08/2007;en;"mining;extractive industries";;;"009;150;202;PHL;ZAF;419;COD;030;COL;GHA";;http://www.eldis.org/document/A33086;http://www.waronwant.org/download.php?id=583;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.waronwant.org%2Fdownload.php%3Fid%3D583;;;;"Human rights;Mining;Corporate Social Responsibility;Extractive industries;corporate social responsibility;Business and human rights;extractive industries;Extractive industries mining;conflict"
eldis:A65403;Nationally appropriate mitigation actions for grassland and livestock management in Mongolia;;"This policy brief by the Asian Development Bank argues that, given the negative impact of climate change on Mongolia, it is crucial to select mitigation actions that reduce vulnerability to climate change, support the achievement of national development goals, and are feasible given local constraints.

Key messages from the brief include:

• Mongolia’s total emissions are low, but its emissions per capita are relatively high and rising and are produced primarily by the energy and agriculture sectors.

• Nationally appropriate mitigation actions (NAMAs) can help provide access to international financing.

• Mongolia’s NAMA for the management of its grassland and livestock sectors should be based on its National Livestock Program.

• Implementation of Mongolia’s NAMAs should be phased, with three categories of activities — quick wins, fast-tracked actions, and key medium-term actions.

• Mongolia needs to develop a credible measurement, reporting, and verification system, and strengthen institutional capacity.
 ";"D. Dagvadorj
A. Wilkes
T. Tennigkeit";;Asian Development Bank ;eldis;01/05/2013;en;"climate change;land";Land, Climate change & Environment;;"030;009;MNG";;http://www.eldis.org/document/A65403;http://www.adb.org/sites/default/files/pub/2013/nationally-appropriate-mitigation-actions-mongolia.pdf;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.adb.org%2Fsites%2Fdefault%2Ffiles%2Fpub%2F2013%2Fnationally-appropriate-mitigation-actions-mongolia.pdf;;;;"NAMA;livestock;Climate change;Land issues;Climate change agriculture and food security;Livelihoods food security;CDKN;Agriculture and food;Source;Climate change mitigation;Climate and Development Knowledge Network;Livelihoods;grassland;Livelihoods natural resource management;Funder;Bookmarklet"
eldis:A59614;Policy-making in the face of climate change, water conflicts and human security;;The second policy brief from the EU funded Climate Change, Hydro?conflicts and Human Security (CLICO) project presents insights on emerging policies at the interface of climate change, water and human security at national and international level. Ten case studies were conducted in variouscountries in the he Mediterranean, the Middle East and the Saheland at UN and EU level. These investigate whether the link between climate change and human security/conflict is being addressed through targeted policies. The studies show that so far there are few specific policies addressing this interface. However, policies such as a Turkish agricultural insurance scheme and the creation of water user associations in Egypt highlight that even policies not explicitly aimed at preventing conflicts or risks to human security may have beneficial impacts to this end. ;C Gerstetter;;Clico;eldis;01/01/2011;en;"climate change;research";Land, Climate change & Environment;;;;http://www.eldis.org/document/A59614;http://www.clico.org/component/docman/doc_download/19-2nd-policy-brief-june-2011;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.clico.org%2Fcomponent%2Fdocman%2Fdoc_download%2F19-2nd-policy-brief-june-2011;;;;"theme:cc conflict;Water in climate change;Climate change;research;Climate change mitigation;Climate Change Adaptation;tfmimport"
eldis:A27019;The concept of rangeland carrying capacity in sub-saharan Africa: Myth or reality?;;"Ever since colonial administrators and western trained scientists became involved in sub-Saharan Africa in the early 20th century and were faced with the task of governing countries where livestock production was a major economic enterprise, the proper utilisation of rangelands became a major concern. While during most of the colonial era devastating epidemics (like rinderpest and pleuropneumonia) kept the growth of livestock populations in check, during the 1950s and 1960s regional campaigns of eradicating these major cattle diseases created a continuous increase in livestock numbers. It is estimated that between 1963 and 1970 annual growth of cattle populations averaged 2.8%, but slowed down to 1.25% per annum during 1970 to 1980 (Antenneh 1984).While up to the 1950s constraints of feed shortages for livestock were outweighed by those of disease, concern over looming imbalances between supply and demand of grazing resources led to large investments in projects of water development, many of which were financed by foreign aid. This provision of water to hitherto underutilised grazing lands further stimulated herd growth, but at the same time encouraged more settled modes of production and reduced mobility. While watering rights of man-made traditional wells were tightly enforced and served as a control on over-exploitation, water sources that were publicly financed were open to all, breaking the age-old equilibrium between water and rangeland use (Sandford 1983, Swift 1984).The need for establishing criteria and ways for determining the carrying capacity of African rangelands became more strongly felt when in the 1960s and 1970s several regions were hit by droughts (1960 to 1961, 1973 to 1976 in East Africa; 1969 to 1973, 1979 in West Africa) causing enormous stock losses.This paper investigates common approaches to determine carrying capacity, elucidates the problems associated with applying the concept in sub-Saharan Africa, and suggests ways of broadening the concept to improve its applicability in this continent. ";"P. N. de Leeuw
J. C. Tothill";;Pastoral Development Network, ODI;eldis;01/01/1990;en;"land;grazing";Rangelands, Drylands & Pastoralism;Land Use, Management & Investment;202;;http://www.eldis.org/document/A27019;http://www.odi.org.uk/pdn/papers/29b.pdf;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.odi.org.uk%2Fpdn%2Fpapers%2F29b.pdf;;;;"environmental degradation;Fodder;Animal feeds;Africa South of Sahara;livestock;EADI;Animal production and health;Africa;Pastoralism land use conflict;Agriculture and food;pastoralism grazing and pasture;pastoralism;Range management;Grazing;Pastoralism"
eldis:A74413;Climate change and water resources planning, development and management in Zimbabwe;;"Water is central to the Zimbabwean economy, people's livelihoods and their social well-being; its availability and reliability is a function of highly variable climatic conditions. Irrigated agriculture is the major water using sector while rain fed agriculture depends on reliable rainfall.
Agriculture not only has links to other economic sectors such as industry, but it is also important at household level because it employs the majority of the population. Power production which underpins most other production sectors depends to a large part on the flow of the Zambezi River either for hydropower generation or for the cooling of thermal power stations.
Even mining, a growth sector, ultimately relies on water for both processing and electricity production. The government of Zimbabwe has long recognized the threat from climate change and joined the United Nations Framework Convention on Climate Change (UNFCCC) in 1992 and acceded to the Kyoto Protocol in 2009.
It is currently preparing a National Climate Change Response Strategy (NCCRS) that is intended to mainstream climate change thinking into all key economic sectors and to bring about an integrated response across all economic sectors.
Zimbabwe strategy will largely be based around adapting to the threats from climate change so that detrimental economic and social impacts are minimized and opportunities are seized. Given the implications of climate change for the hydrological cycle and the centrality of water to the economy and to social well-being, water needs to be at the core of the NCCRS. This Issues Paper, requested by the former Ministry of Water Resources Development and Management as a recommendation of the NWP, will contribute to the NCCRS by examining opportunities for adaptation to climate change in the water resources sector, using both structural and non-structural measures. It uses models to provide preliminary estimates of the possible impacts of climate change in 2050 and 2080 on these water resources.
A number of opportunities to adapt to these impacts are discussed. Many of these adaptation opportunities constitute no-regrets actions, in that they are actions that are worth undertaking in their own right, irrespective of the severity of impacts from climate change.
[Author abstract] ";R. Davis;;World Bank;eldis;01/01/2014;en;"development;climate change";Land, Climate change & Environment;;ZWE;;http://www.eldis.org/document/A74413;http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2015/01/20/000470435_20150120133440/Rendered/PDF/937310WP0Box380babwe000Issues0Paper.pdf;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww-wds.worldbank.org%2Fexternal%2Fdefault%2FWDSContentServer%2FWDSP%2FIB%2F2015%2F01%2F20%2F000470435_20150120133440%2FRendered%2FPDF%2F937310WP0Box380babwe000Issues0Paper.pdf;;;;"Water in climate change;irrigated agriculture;sustainable livelihoods;international development;Climate change governance;CDKN;Source;global climate;adaptation;Climate and Development Knowledge Network;Climate change;Funder;Bookmarklet"
eldis:A33776;China in Burma: the increasing investment of Chinese multinational corporations in Burma’s hydropower, oil and gas, and mining sectors;;"While increasing attention has been paid to Chinese attempts to secure natural resources overseas, the case of Burma has often been overlooked. This background provides a summary of the operations of Chinese multinational corporations (MNCs) in Burma in the hydro, oil & gas, and mining sectors. The research finds that more than 26 Chinese multinational corporations (MNCs) are involved in more than 62 hydropower, oil & gas, and mining projects in Burma. The report describes the activities of Chinese MNCs in Burma which include the following:

    14 Chinese companies are involved in approximately 40 hydropower projects
    the largest hydro project involving China is the Tasang Dam on the on the Salween River, which is
    China currently has at least 17 onshore and offshore oil and gas projects in Burma, with investment from at least seven companies, including the three major Chinese oil and gas companies
    Chinese MNCs have announced the construction of an oil – and a parallel natural gas – pipeline, which would stretch for 2,380 km from Burma’s Arakan coast to China’s southwestern cities of Kunming and/or Chongqing
    at least five Chinese MNCs have been involved in five major mining projects over the past three years
    the largest mining project is the Tagaung Taung nickel deposit which represents an investment of US$ 600 million. 

The paper concludes that as China increases its position and influence in the world, the country has an opportunity to create a different model of natural resource extraction and investment. The report argues that the Government of China should keep a close control and regulate its own corporations operating overseas by ensuring that MNCs: 

    abide by domestic Chinese standards
    increase transparency about operations 
    undertake environmental and social impact assessment
    mandate public participation
    do not contribute to abuses by ending partnerships with the Burmese government. 
 ";;;EarthRights International ;eldis;01/01/2007;en;"mining;extractive industries";;;"030;009;CHN;MMR";;http://www.eldis.org/document/A33776;http://www.earthrights.org/files/Reports/BACKGROUNDER%20China%20in%20Burma.pdf;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.earthrights.org%2Ffiles%2FReports%2FBACKGROUNDER%2520China%2520in%2520Burma.pdf;;;;"Burma;Mining;oil;Conflict and security;foreign direct investment (FDI);Myanmar;gas;hydropower;Business and conflict;Corporate Social Responsibility;China;Extractive industries;extractive industries;Stakeholders in conflict;Business;Resource curse"
eldis:A33773;Oil and mining in violent places: why voluntary codes for companies don’t guarantee human rights;;"This paper investigates the extent to which private companies operating in conflict zones can contribute to Human Rights abuses. In addressing this issue, it focuses on four voluntary frameworks – the UN Global Compact, the OECD Guidelines for Multinational Enterprises, the Global Reporting Initiative and, most relevantly, the Voluntary Principles on Security and Human Rights.The research finds that:

    it is clear from the numerous cases where extractive companies have been blamed for complicity in human rights abuses, there are grounds for serious concern about the human rights implications of companies’ operations
    in response to this, many major extractive companies have signed up to voluntary human rights frameworks of the kind described in this briefing paper
    as an attempt to offer a comprehensive and credible answer, they have so far failed as no voluntary framework deals adequately with the vital issue of material support by companies to armed groups. 

The authors conclude that there needs to be an enforceable international standard which ensures that a company discloses any material support to state security forces or other armed groups and shows that such support has been provided to meet an explicit legal requirement. ";;;Global Witness;eldis;01/01/2007;en;"mining;extractive industries";;;"IDN;COG";;http://www.eldis.org/document/A33773;http://www.globalwitness.org/media_library_get.php/509/oil_and_mining_in_violent_places.pdf;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.globalwitness.org%2Fmedia_library_get.php%2F509%2Foil_and_mining_in_violent_places.pdf;;;;"voluntary frameworks;Conflict and security;human rights abuses;guidelines.;Extractive industries oil;Indonesia;Extractive industries mining;Business and conflict;OECD;Corporate Social Responsibility;voluntary codes;extractive companies;Stakeholders in conflict;DRC;Business;Democratic Republic of Congo;investment;conflict;Extractive industries"
eldis:A35175;Access to water - the impact of climate change on small municipalities;;"Although there are many uncertainties around quantitative assessments of climate change impact and water resource management, what is certain is that the climate is changing and this will have an effect on water resources. 
This case study considers the economic consequences of water resource scarcity, particularly as it relates to the poor and small municipalities. The author is concerned that, in the case of water, economic principles where price adjustments to an increasingly scarce resource will balance demand, do not apply. 
Currently, most countries adopt free or subsidised water for the poor which is accommodated through a cross subsidy within the municipal tariff structure. However, the likely rate of increase in tariff due to water scarcity resulting from (projected) reduced rainfall will be too much of a burden for the small number of high-end users in small municipalities. Coupled with inflationary increases, the majority middle- and low-end users are also unlikely to be able to meet the dramatic increases. The methodology outlined in this paper will assist municipal planners to evaluate these financial impacts due to climate change and develop appropriate strategies to ensure the sustainability and affordability of long term water supplies. In addition, policy intervention at a national level may be needed in order to sustain small communities’ ability to provide affordable water to their poorer members.  ";P. Mukheibir;;Energy Research Centre, University of Cape Town (UCT);eldis;01/10/2007;en;"environment;climate change";Land, Climate change & Environment;;"ZAF;202";;http://www.eldis.org/document/A35175;http://www.erc.uct.ac.za/Research/publications/07-Mukheibir-Access%20to%20water.pdf;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.erc.uct.ac.za%2FResearch%2Fpublications%2F07-Mukheibir-Access%2520to%2520water.pdf;;;;"Public sector & service delivery;Water in climate change;Governance manuals;Environment and natural resource management;climate change;affordability;Governance;Environment;water supply;Public sector & service delivery water and sanitation;Tariffs;Environment and water;small municipalities;Climate change;water planning;access to water;Africa;natural resource management water;long term sustainability;Service delivery;Manuals"
eldis:A18513;Getting the private sector involved in water: what to do in the poorest of countries (WB);; ;;;Private Sector Development Department, World Bank;eldis;01/01/1999;en;environment;Land, Climate change & Environment;;;;http://www.eldis.org/document/A18513;http://documents.worldbank.org/curated/en/1997/01/695042/getting-private-sector-involved-water-poorest-countries;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fdocuments.worldbank.org%2Fcurated%2Fen%2F1997%2F01%2F695042%2Fgetting-private-sector-involved-water-poorest-countries;;;;"Privatisation of infrastructure;Finance policy;water governance;WaterTrade;Governance;Private sector;Environment;water privatisation;Private sector public-private links;Environment and water"
eldis:A40627;From risk to resilience: Understanding the costs and benefits of disaster risk reduction under changing climatic conditions;;"This paper evaluates the costs and benefits of disaster risk reduction in the context of climate change through an analysis of case studies in India, Nepal and Pakistan. The paper focuses on water related disasters and the manner in which they may change as a consequence of climate change. The paper highlights that the evidence presenting the economic impacts of climate change and disasters is accumulating rapidly. It is now widely recognized that recurrent disasters represent a major factor in undermining the ability of regions, nations and the global community to meet basic development goals. As a result, there is both a need and a demand for analytical frameworks such as cost benefit analysis that can support decision-making with regard to investments in climate and other disaster risk reduction investments.The methodological approach of the paper has the following key elements:

    scoping: an intensive scoping process to identify locations and risks that can form a representative basis for detailed cases
    vulnerability and capacity analysis: a systematic process within case study areas, including development of semi-quantitative vulnerability indices, to identify vulnerable groups and the different dimensions of vulnerability
    shared learning dialogues within identified case areas: continuous meetings with communities and key actors that allow the movement from the analysis of vulnerability to clear identification of the alternative strategies for disaster risk reduction 
    systematic qualitative approaches for evaluating trade-offs (broad costs and benefits) between alternative strategies for risk reduction: who benefits, who loses and why?
    Cost Benefit Analysis (CBA) using quantitative probabilistic techniques for evaluating the costs and benefits of different approaches to disaster risk reduction. A core economic and hazard-modeling element and includes techniques for evaluating the impacts of climate change in data limited context.

The paper concludes that, the benefits of investing in disaster risk management substantially exceed the costs. In most cases investigated, benefit/cost ratios are positive and in some instances may be well above those achieved through other common development investments. This finding holds true for an array of interventions that range across a spectrum from insurance to early warning and from distributed responses at the village level to large-scale infrastructure. Investing in lower cost forms of risk reduction that are designed to increase the resiliency of livelihoods, housing and other infrastructure at the household and community level may be among the most economically effective avenues for reducing risks and thereby supporting adaptation to climate change. ";M. Moench;;Institute For Social And Environmental Transition ;eldis;01/09/2008;en;climate change;Land, Climate change & Environment;;"IND;NPL;PAK";;http://www.eldis.org/document/A40627;http://www.proventionconsortium.org/themes/default/pdfs/CBA/ISET_wp09_resilience.pdf;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.proventionconsortium.org%2Fthemes%2Fdefault%2Fpdfs%2FCBA%2FISET_wp09_resilience.pdf;;;;"cba;climate change;Nepal;Climate Change Adaptation;Livelihoods;Drivers of conflict;Livelihoods conflict and disasters;climate change as driver of conflict;Livelihoods climate change adaptation;Water in climate change;Conflict and security;disaster risk reduction;Climate change poverty and vulnerability;water;Strenghtening Climate Resilience;Disaster risk reduction;costs and benefits;Pakistan;Climate change;Climate Change Key Issues Guide 2010;India;Cost benefit analysis;Livelihoods water and sanitation"
eldis:A69777;Land valuation and perceptions of land sales prohibition in Ethiopia;;"This study investigates attitudes towards legalizing land sales and Willingness to Accept (WTA) sales prices and compensation prices for land among smallholder households in four different areas in the Oromia and SNNP Regions in the southern highlands of Ethiopia.

Household panel data from 2007 and 2012 are used. The large majority of the sample prefers land sales to remain illegal, and the resistance to legalizing land sales increased from 2007 to 2012. In the same period, perceived median real land values increased sharply but also exhibit substantial local variation.

Land loss aversion is associated with higher land values and less willingness to sell land if land sales were to become legal. The substantial increase in perceived land values, high economic growth and outmigration of youth have yet to persuade the rural population in southern Ethiopia to open the land sales market.
 
 ";"S.T. Holden
S. Bezu";;Norwegian University of Life Sciences;eldis;01/01/2014;en;"land valuation;land";;Land Use, Management & Investment;ETH;;http://www.eldis.org/document/A69777;http://www.nmbu.no/sites/default/files/pdfattachments/clts_wp_12_14_0.pdf;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.nmbu.no%2Fsites%2Fdefault%2Ffiles%2Fpdfattachments%2Fclts_wp_12_14_0.pdf;;;;"Agriculture Norway;Norway;Agriculture and food;Source;Land issues;Bookmarklet"
eldis:A72959;Irresponsible investment: AGRICA's broken development model in Tanzania;;"Kilombero Plantations Ltd (KPL) is a 5,818 hectare (ha) rice plantation located in the heart of the fertile Kilombero Valley, Tanzania. In addition to developing a large-scale rice farm, KPL works with local smallholder farmers through an outgrower model based on System of Rice Intensification (SRI) technologies. The investment project receives considerable financial and technical support from various development institutions including the UK Department for International Development (DfID) and USAID.  This report presents the findings of an investigation carried out in Tanzania between 2011 and 2015 of KPL’s investment venture, focusing on the impacts experienced by surrounding communities.
The major findings of the report are as follows: First, while KPL is often portrayed as a truly responsible investment venture, villagers in the surrounding communities complain of adverse impacts on their livelihoods resulting from KPL’s acquisition of land. Despite the adoption of World Bank guidelines on involuntary resettlement which promises to improve, or at least restore, livelihoods of project-affected people, KPL has, in many cases, allegedly failed to safeguard the interests of local communities who instead report losses. Compensation offered for the loss of land and houses appears to have been largely underestimated, not allowing those displaced by the project to get access to adequate alternative land for their livelihoods.
Second, KPL’s SRI outgrower scheme was introduced as a way of complementing production on nucleus farms and to provide opportunities to local farmers. With the implementation of new technologies, farmers report improved yields and have even been found to outperform the KPL nucleus farm in terms of productivity per hectare. Despite an improvement in yields, local farmers allege that the outgrower scheme has left many in despair. Struggling with debt repayments, farmers report being forced into distress sales of their belongings. These problems are seemingly related to the outgrower contracts that smallholders entered into with KPL. In addition, according to previous employees, plantation employment has failed to generate tangible benefits for the local community due to low salaries and limited opportunities for recruitment to full-time positions.
Third, this report raises concerns about the environmental impact of the project in an area of high ecological and biodiversity value. The prolonged use of agro-chemicals raises concerns about the presence of their compounds in soil and water and the pollution of nearby rivers, streams, and wetland areas used by the local communities. Villagers surrounding the plantation allege having experienced several negative effects from KPL’s agro-chemical application regime due to drifting and surface run-off. Moreover, KPL’s future plans to utilize the nearby Mngeta River for irrigation are worrisome in a context where there is limited reliable information of both water availability and the water requirements of the complex floodplain ecosystem and downstream users. Experts claim that the Mngeta River is already experiencing effects of climate change.
In conclusion, this report illustrates the difficulties in creating beneficial synergies and balance between the interests of smallholder farmers and those of large-scale agribusinesses. It critically questions the role of large-scale farms in agricultural development as they tend to create more problems than they solve, even when they attempt to include small-scale farmers in their strategy. The findings presented in this report cast serious doubt on the substantial aid money directed towards supporting corporate-led agricultural development. This is especially relevant in the broader Tanzanian development context where large-scale agribusinesses are envisioned greater roles.
 ";M. Bergius;;The Oakland Institute;eldis;01/01/2015;en;"environment;development;compensation";Land, Climate change & Environment;;TZA;;http://www.eldis.org/document/A72959;http://oaklandinstitute.org/sites/oaklandinstitute.org/files/OI_Report_Irresponsible_Investment.pdf;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Foaklandinstitute.org%2Fsites%2Foaklandinstitute.org%2Ffiles%2FOI_Report_Irresponsible_Investment.pdf;;;;"Agriculture Norway;sustainable livelihoods;local communities;Norway;natural resources as driver of conflict;Environment;Source;compensation;Livelihoods Agriculture;Livelihoods;Agriculture and food;Conflict and security;rice;Bookmarklet;Drivers of conflict;crop yields"
eldis:A68099;Rapid desk based evidence search and gap analysis on environmental degradation and pollution in developing countries;;"This study has collated information on the role that pollution (air, water and soil pollution) has played in environmental degradation and the consequences of such degradation for human well-being, poverty. The report has primarily collated information from investigative studies that have been conducted in DFID priority countries of sub-Saharan Africa; additional information from key studies is also provided for South and
South East Asia DFID countries.

The information has primarily been gathered from the peer reviewed literature, but also from reports of accredited organisations such as WHO, UNEP, World Bank). The report uses literature published over the last 5 to 8 years.

The report is not intended to be a comprehensive, systematic review of the literature but rather a review that identifies a number of particular pathways that represent the variety in the biophysical, socio-economic and political constructs by which pollution and environmental degradation influence human-wellbeing and poverty.
 ";L. Emberson;;Evidence on Demand;eldis;01/01/2013;en;"environment;climate change;poverty";Land, Climate change & Environment;;;;http://www.eldis.org/document/A68099;http://www.evidenceondemand.info/Core/DownloadDoc.aspx?documentID=783&contentID=3597%20;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.evidenceondemand.info%2FCore%2FDownloadDoc.aspx%3FdocumentID%3D783%26contentID%3D3597%2520;;;;"Climate change poverty and vulnerability;Environment and water;Evidence on Demand;Service;Climate change;Environment;Source;Poverty;Bookmarklet;Poverty analysis"
eldis:A11346;Shifting sands: oil exploration in the Rift Valley and the Congo conflict;;"This paper addresses the impact of the oil exploration in the Rift Valley (East Congo) on the crisis in the country.  It demonstrates that major new conflict has broken out in the Congolese area concerned, endangering the whole peace process for the Democratic Republic of Congo and making a renewed cross-border conflict involving Uganda and Rwanda at least a possibility.The paper further demonstrates that more general problems known from oil exploration elsewhere in Africa are not only unresolved but might never be resolved. The sharing of costs and benefits of oil development is a key issue in all oil producing countries. In Uganda and the Congo, this is not even close to being addressed. In Uganda the ongoing inconclusive debate on the political future of the country makes it impossible to determine who in the future will be responsible for the minutiae of oil development or who in the long term is set to benefit. In the Democratic Republic of Congo it is not even settled who runs the area concerned, and even if it was, the determination of local interests and their expression in any form of political process would remain completely open.The paper recommends that economic reconstruction in the Great Lakes can only take place in a beneficial manner if it comes from the bottom up, deriving from local economic activities and interests. This does not preclude the exploitation of the region’s natural resources; it means that the local population should be enabled to take decisions about such exploitation and should enjoy its fruits. What is clear that if oil exploration is ever to proceed, there must be another way than armed conflict to include the expression of local interests. ";D. Johnson;;Pole Institute;eldis;01/01/2003;en;extractive industries;;;"202;COG";;http://www.eldis.org/document/A11346;http://www.pole-institute.org/documents/heritage05.pdf;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.pole-institute.org%2Fdocuments%2Fheritage05.pdf;;;;"oil;Conflict and security;natural resources;Extractive industries oil;Africa;the congo;Corporate Social Responsibility;Extractive industries;conflict"
eldis:A101128;South Africa’s drought preparedness in the water sector: too little too late? ;;South Africa experiences droughts on a regular basis, often associated with significant negative impacts on society and the economy. Droughts can be forecast, and South African climate scientists have been developing computer-generated models to forecast El Niño-induced droughts. Even so, there is a tendency to implement remedial interventions when droughts occur, rather than implementing proactive and preventative strategies. Being reactive seems to be a defining feature of South African water-resource management. This has also been the case with the 2015/2016 drought. What is more, the forecasting capability of South Africa seems to be under strain as more and more weather monitoring stations and river gauges are stolen or vandalised and not replaced. This makes it difficult to gather data for extreme weather event forecasting. One way of increasing this capability is through collaboration with citizens to build a citizen-science data repository. This can enhance scientists’ and the government’s capacity to forecast droughts.Recommendations:South Africa should adopt a long-term, national drought policy and strategy to improve the country’s response to future droughtsthe computer-generated models that determine operating rules, which influence water restrictions for various users, need regular updating and improvementthe drought response unit of the DWS needs to become more proactive in its preparedness for droughtsa formalised knowledge exchange platform should be established that consolidates scientific and modelling forecasting capability in support of drought preparedness ;"R. Meissner
I. Jacobs-Mata";;South African Institute of International Affairs;eldis;01/01/2016;en;"environment;climate change";Land, Climate change & Environment;;;;http://www.eldis.org/document/A101128;http://www.saiia.org.za/policy-briefings/1127-south-africa-s-drought-preparedness-in-the-water-sector-too-little-too-late/file;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.saiia.org.za%2Fpolicy-briefings%2F1127-south-africa-s-drought-preparedness-in-the-water-sector-too-little-too-late%2Ffile;;;;"Environment;Climate change;Water in climate change;Environment and water;Climate and Development Knowledge Network"
eldis:A41531;Integrating women into mining operations: the examples of Newmont Ghana and Lonmin South Africa;;"Mining has not always had good press in the development arena, due to a history of inadequate environmental and social governance. This short paper argues that there is enormous opportunity to be had in including women in mining operations. The author looks at how International Finance Corporations’ (IFC) Gender Program was able to implement strategies to help two IFC mining clients better integrate women into their operations. The author highlights how in so doing, IFC has contributed to the clients’ sustainability objectives and to improved performance through greater gender diversity. The document also shows how important it is to be flexible when dealing with clients who have different impulses and requirements, and how to leverage colleagues for greater mainstreaming.The paper considers how to identify the drivers and market realities and lists 3 lessons learnt in the process: 

    for quick wins, start by implementing feasible objectives derived from client priorities 
    partner with other IFC colleagues to amplify actions and ensure greater gender mainstreaming 
    listen, stay open to understand differing compulsions and strategies, and adjust and work in an incremental fashion, where required.
 ";N. Africa;;International Finance Corporation ;eldis;01/11/2008;en;"mining;extractive industries;women";Land & Gender;;;;http://www.eldis.org/document/A41531;http://www.ifc.org/ifcext/sustainability.nsf/AttachmentsByTitle/p_Gender_SmartLesson_NewmontLonmin/$FILE/Smart+Lesson_Natalie_Women+in+Mining.pdf;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.ifc.org%2Fifcext%2Fsustainability.nsf%2FAttachmentsByTitle%2Fp_Gender_SmartLesson_NewmontLonmin%2F%24FILE%2FSmart%2BLesson_Natalie_Women%2Bin%2BMining.pdf;;;;"mainstreaming gender;Mining;Corporate Social Responsibility;extractive industires;corporate responsibility;gender;ethical business;International Finance Corporation;gender programes sustainability;Gender;Gender work and employment;Extractive industries;ifc;CR;CSR;Extractive industries mining;women"
eldis:A71029;The Chinese Environmental Policy Research Working Paper vol. 1. no. 1;;"Notwithstanding China highlighted ecological compensation systems and policies, it hasn't issued a specialised and guiding ecological compensation law since commencement of pilot work of watershed eco-compensation policies in 2007.

This is a feature report on legislation for watershed eco-compensation and designed for analysing problems existing in the practice of watershed eco- ompensation, aiming to provide suggestions for the legislation for watershed eco-compensation under Regulations on Ecological Compensation.

Contents of this paper:

Practice of Watershed Eco-compensation both at Home and Abroad:


	practice and Experience of Watershed Eco-compensation in Foreign Countries
	practice of Watershed Eco-compensation in China
	contrasts between Ecological Compensation Means both at Home and Abroad


Case Study of Watershed Eco-compensation in China:


	Case Study of Xin'anjiang River Watershed Eco-compensation
	Case Study of Huaihe River Watershed Eco-compensation


Suggestions on Consummating Legislation on Watershed Eco-compensation:


	defining Compensation Body and Compensation Object
	establishing Compensation Standards
	Compensation Means
	source and Use of Compensation Fund
	compensation Implementation Mechanisms
 ";;;Chinese Academy for Environmental Planning;eldis;01/01/2014;en;"environment;research";Land, Climate change & Environment;;CHN;;http://www.eldis.org/document/A71029;http://www.caep.org.cn/english/paper/The-Chinese-Environmental-Policy-Research-Working-Paper-NO.1.pdf;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.caep.org.cn%2Fenglish%2Fpaper%2FThe-Chinese-Environmental-Policy-Research-Working-Paper-NO.1.pdf;;;;"Environment and natural resource management;Chinese Academy for Environmental Planning;Environment and water;Chinese Academy for Environmental Planning (CAEP);Environment;Source;Livelihoods;Livelihoods natural resource management;Bookmarklet;Content partner summary"
