ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages
"bridge:A52123";"Indigenous People";"";"In the DFID White Paper, the government's commitment to addressing gender inequality highlights the frequent 'double disadvantage' of poor women. Poor women from minority groups, however, may experience additional discrimination. There is abundant evidence to show that many ethnic minorities and indigenous people are subject to economic, social and political disadvantage. The complex relationships between gender and ethnicity need to be addressed in order to understand the social processes leading to poverty of particular groups. To date, however, the international development community has paid relatively little attention to the specific disadvantage of women from ethnic minorities. This paper outlines the international policy framework as it stands, which shapes donor interventions in this area, highlighting the limitations in relation to gender. It goes on to detail DFID's position on ethnic minorities and indigenous people and the treatment of gender within it. Gender and ethnicity within the project cycle is subsequently addressed through a review of existing projects designed around the rights and needs of women from minorities. Issues raised overall include the rights of ethnic minorities versus the state's nation-building agenda, indigenous rights to land and natural resources, gender specific knowledge, and gender-related deficiencies in participatory methods. ";"";"";"BRIDGE";"BRIDGE";"1999-06-01";"en";"land rights";"Land & Gender";"Access to Land & Tenure Security";"";"Policy Papers & Briefs";"https://www.bridge.ids.ac.uk/ids-document/A52123";"http://www.bridge.ids.ac.uk/docs_gem/index_people/ip_coretext.htm";"";"";"";"";"Cultural diversity;Land rights;Diversity and difference;Indigenous societies;Human rights and social movements"
"bridge:A53037";"Rural Women's Access to Land and Property in Selected Countries: Progress Towards Achieving the Aims of Articles 14, 15 and 16 of the Convention on the Elimination of All Forms of Discrimination against Women (CEDAW)";"";"Women's access to land is a fundamental factor in food security. Yet women all over the world suffer under discriminatory property and inheritance laws and customary practices which restrict their rights over the land on which they live and work. Articles 15 and 16 of CEDAW state the rights of women to property and inheritance. This report is a tool to help non-governmental organisations and multilateral agencies in advocacy and policy dialogue using CEDAW and the Optional Protocol (which allows individuals and groups to make complaints directly to the CEDAW committee). It reviews a number of reports from low income countries relating to: legislation on equal access to land, property, inheritance and legal rights; statistics on the rural labour force; and gender focal points in technical ministries. Recommendations on how to use the country reporting procedures include the need for: identification of the gaps between formal laws and customary practices; better statistical information on rural women and rural institutions; and better information on CEDAW and its processes. ";"M. Hartl";"";"International Land Coalition";"BRIDGE";"2004-06-01";"en";"land;food security;CEDAW;land rights;property;women";"Land & Gender;Land & Food Security";"Land Policy & Legislation;Access to Land & Tenure Security";"001";"Training Resources & Tools";"https://www.bridge.ids.ac.uk/ids-document/A53037";"http://www.landcoalition.org/pdf/cedawrpt.pdf";"";"";"";"";"Cultural diversity;Food security;Sustainable livelihoods;Gender mainstreaming tools and approaches;Poverty and quality of life;Human rights and social movements;Land rights;Advocacy and advocacy tools;Diversity and difference;Natural resources and the environment"
"bridge:A52088";"Gender Responsive Land Tenure Development";"";"What can development cooperation do to improve gender-responsiveness of land tenure development' Central to this objective is the mainstreaming of gender considerations into all areas (macro, meso and micro levels) of development cooperation which influence access to, control over, and benefits from land. This paper outlines the situation of women with regard to land tenure worldwide, and the challenge for development cooperation in addressing the gap between gender imbalances in land tenure and internationally declared aims for gender equality. It explores starting points for staff in development cooperation, and decision makers in partner countries, to address the issue of gender responsive land tenure development, and focuses both on improving the gender- effectivity of land tenure policy and law, and the gender balance in land tenure through programs and projects. Specific attention is paid to the following main areas: legislation; institutional development; education and training; access to information; access to capital; organisational structures and capacity building; technology; and marketing. ";"N. G?ler von Ravensburg
I. Jacobsen";"";"BRIDGE";"BRIDGE";"1999-12-01";"en";"development;land;land rights;land tenure";"Land & Gender";"Land Policy & Legislation;Access to Land & Tenure Security";"";"Training Resources & Tools";"https://www.bridge.ids.ac.uk/ids-document/A52088";"http://www.bridge.ids.ac.uk/docs_genie/gtz/Land_Tenure.pdf";"";"";"";"";"Human rights and social movements;Sustainable livelihoods;Gender mainstreaming tools and approaches;Land rights;Poverty and quality of life"
"bridge:A71428";"Mujer, agricultura y seguridad alimentaria: una mirada para el fortalecimiento de las políticas públicas en América Latina";"";"En el presente documento se analiza el carácter estratégico que tiene la mujer rural en relación a la agricultura y la seguridad alimentaria y la forma cómo han ido respondiendo las políticas públicas a este respecto. Esta vinculación se procesa desde varios ámbitos: como procesadora y conservadora de alimentos y, por tanto, como responsables de la alimentación de su familia. No obstante esto, su trabajo es “invisibilizado”. Tiene limitado acceso y control sobre recursos y servicios, acceso a la tierra, al crédito, a los servicios de extensión y capacitación, todo lo cual configura un esquema de complejas brechas que le afectan. La formulación y fortalecimiento de políticas públicas y la instalación de estructuras formales en las instituciones que trabajan lo rural, se plantea como solución para resolver las brechas mencionadas, de modo que hombres y mujeres tengan un tratamiento equitativo, en la implementación de proyectos y programas sociales sustentables. Tradición y cultura ocupan un lugar importante cuando se trata de analizar las barreras que afectan a la mujer rural frente a la equidad. Se debe considerar la instalación de una política pública con perspectiva de género en el sector rural, todo lo cual implica acciones nacionales y sectoriales.
 ";"M Ballara
N Damianovic
R Valenzuela";"";"UN Women";"BRIDGE";"2012-10-01";"es";"land rights;food security;agriculture";"Land & Gender;Land & Food Security";"Access to Land & Tenure Security";"";"";"https://www.bridge.ids.ac.uk/ids-document/A71428";"http://www.marcelaballara.cl/genydes/2012%20Mujer,%20agricultura%20y%20seguridad%20alimentaria%20Ballara%20Damianovic%20Valenzuel.pdf";"";"";"";"";"Agriculture;Food security;Natural resources and the environment;Land rights;Human rights and social movements"
"bridge:A52307";"Rural Livelihoods: Contacts";"";"Details of numerous Sustainable Rural Livelihoods websites. ";"";"";"BRIDGE";"BRIDGE";"1999-06-01";"en";"property rights;sustainable development;land tenure;forestry;fisheries;land rights;agriculture";"Land & Gender;Socio-Economic & Institutional Context;Forest Tenure";"Land Policy & Legislation;Land Use, Management & Investment;Access to Land & Tenure Security";"";"Policy Papers & Briefs";"https://www.bridge.ids.ac.uk/ids-document/A52307";"http://www.bridge.ids.ac.uk/docs_gem/index_sectors/natural/nr_resource3.htm";"";"";"";"";"Sustainable livelihoods;Natural resources and the environment;Human rights and social movements;Forestry;Fisheries;Land rights;Poverty and quality of life;Agriculture"
"bridge:A52306";"Rural Livelihoods: Bibliographies";"";"This section is divided into Key Documents, and References and Bibliographies for each of the following areas:  General; Biodiversity and Environment; Land Tenure and Property Rights; Crops; Livestock; Fisheries; Forestry; and Water. ";"";"";"BRIDGE";"BRIDGE";"1999-06-01";"en";"property rights;sustainable development;land tenure;forestry;fisheries;land rights;agriculture";"Land & Gender;Socio-Economic & Institutional Context;Forest Tenure";"Land Policy & Legislation;Land Use, Management & Investment;Access to Land & Tenure Security";"";"Policy Papers & Briefs";"https://www.bridge.ids.ac.uk/ids-document/A52306";"http://www.bridge.ids.ac.uk/docs_gem/index_sectors/natural/nr_resource2.htm";"";"";"";"";"Sustainable livelihoods;Natural resources and the environment;Human rights and social movements;Forestry;Fisheries;Land rights;Poverty and quality of life;Agriculture"
"bridge:A26430";"Toolkit on gender in agriculture";"";"Why is it important to incorporate gender into the agriculture-related work of the World Bank and borrower countries, and how can this be achieved' Women are integral to farming systems, yet their productivity remains low compared to their potential. Gender-neutral programming which does not take into account the differences in the needs and constraints of men and women farmers can bypass and even be detrimental to women. Aimed specifically at World Bank task managers, this toolkit provides a range of tools for gender analysis, including checklists and sample strategies specific to agricultural subsectors collected from program and project experience around the world. Emphasis is placed on: removing barriers in women's access to information, inputs, credit and services; drawing on women's knowledge base in research and extension; and increasing the participation of men and women farmers in the design and implementation of agricultural policies, projects and programs. ";"";"";"Gendernet, World Bank";"BRIDGE";"1999-01-01";"en";"forestry;land rights;agriculture";"Land & Gender;Forest Tenure";"Access to Land & Tenure Security";"";"Training Resources & Tools";"https://www.bridge.ids.ac.uk/ids-document/A26430";"http://documents.worldbank.org/curated/en/1996/08/438712/toolkit-gender-agriculture";"";"";"";"";"Cultural diversity;Diversity and difference;Sustainable livelihoods;Gender mainstreaming tools and approaches;Natural resources and the environment;Human rights and social movements;Forestry;Land rights;Poverty and quality of life;Agriculture"
"bridge:A52160";"Rural Livelihoods: Land Tenure Policy in Relation to Gender and Farm Management in Kenya";"";"Case study of the gender aspects of small-scale farming in   the Vihiga District of Kenya, focusing on gender differences in access, control and ownership of land, and gender relations and attitudes to land tenure. ";"B. Mutoro";"";"BRIDGE";"BRIDGE";"1997-06-01";"en";"land;land tenure;land rights;land allocation;land tenure systems";"Land & Gender";"Land Policy & Legislation;Access to Land & Tenure Security";"018;KEN;014";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A52160";"http://www.bridge.ids.ac.uk/docs_gem/index_sectors/natural/nr_case7.htm";"";"";"";"";"Gender relations and power;Human rights and social movements;Sustainable livelihoods;Land rights;Poverty and quality of life"
"bridge:A52162";"Rural Livelihoods: Gender Implications of Changing Patterns of Land Tenure, Mali";"";"An investigation of the potential gender implications of the shift from communal to more individualised forms of land tenure in the Bambara area of Mali. ";"W. Grigsby";"";"BRIDGE";"BRIDGE";"1996-06-01";"en";"land;land tenure;land rights;land allocation;land tenure systems";"Land & Gender";"Land Policy & Legislation;Access to Land & Tenure Security";"011;MLI";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A52162";"http://www.bridge.ids.ac.uk/docs_gem/index_sectors/natural/nr_case10.htm";"";"";"";"";"Human rights and social movements;Sustainable livelihoods;Land rights;Poverty and quality of life"
"bridge:A68915";"Securing land rights in rural communities of Nigeria: policy approach to the problem of gender inequality";"";"In Africa, the pursuit of gender equality in inheritance rights remains one of the most difficult challenges due to its entrenched patriarchal characteristics. This is also the case in the rural communities of South-Eastern Nigeria. This article investigates gender discrimination in the region, among the Igbo ethnic group, with regard to land property rights; and makes policy recommendations to overcome the failures of past intervention efforts, many of which considered this problem as too culturally sensitive.

Laws protecting women’s rights are often ignored at the village level. For example, Section 43 of the Nigerian Constitution guarantees every Nigerian (man or woman) the right to acquire and own immovable property, and the Nigerian Land Use Act of 1978 also confers general powers upon men and women to own real property. However, customary law in Nigeria’s rural communities restricts women’s inheritance rights, thereby perpetuating female poverty and subordination. Furthermore, violating the land rights of women generates competition and social conflicts between men and women, which have implications for peace, social cohesion and development.

The following are among the conclusions of this study:


	Access to natural resources in rural communities of South-Eastern Nigeria has remained a major form of economic domination by men, which has left women, particularly widows, highly vulnerable.
	Moving away from long-held beliefs and customs toward respecting gender equity requires dialogue involving all stakeholders.
	Change must also affect structures that generate conflict through deprivation, exclusion and other forms of injustice.
	Peaceful conflict transformation that involves the development of perspectives through dialogue with all parties (at many levels) changes the way men and women think about womanhood or widowhood, and helps them move toward positive peace.
	An inclusive and better gender-sensitive approach in policy making would improve the effectiveness of, and compliance with, legal and socio-economic reforms.
	The equal rights of men and women to land are essential for ensuring sustainable rural development, social equity, economic growth and any effort to address gender inequalities.
	Policy reform to ensure the effective, equitable and sustainable use of land in Nigeria will bring about poverty reduction and development.

 ";"J. Chukwuemeka Madu";"";"";"BRIDGE";"2013-01-01";"en";"land rights;agriculture;land";"Land & Gender";"Access to Land & Tenure Security";"NGA";"";"https://www.bridge.ids.ac.uk/ids-document/A68915";"http://www.ldd.org.za/images/stories/Ready_for_publication/madulandrights.pdf";"";"";"";"";"Participation and exclusion;Inheritance rights;Workers rights;Natural resources and the environment;Governance and decision-making structures;Agricultural workers;Land rights;Human rights instruments;Human rights and social movements;Paid work and care work;Agriculture"
