id,Title,Subtitle,Abstract/Description,Link to the publication,Link to the original website,Publication date,Authors,Corporate authors,Publishers,Data provider,Languages,Resource types,Geographical focus,Related Concepts,Themes,Thumbnail,potential_list
,Incrementally securing tenure,An approach to informal settlement upgrading in South Africa,"These documents summarise Urban LandMark's approach to incrementally securing tenure in informal settlements. This approach emphasises practical mechanisms that allow land rights to be upgraded over time. It has been developed from a range of activities, including input from research papers, a considerable number of interviews, and the testing of different processes with municipalities. The second report focuses on the notion of local land offices and their potential for promoting tenure security and incremental tenure processes. ",https://www.ukesa.info/download/kcpIarUsqjLnbAYV9C1h3dl0tX4DBWgF/ULM_2010_local-land-offices.pdf,https://www.ukesa.info/library/view/incrementally-securing-tenure2,2010-04-01,"Dan Smit
Gemey Abrahams",,Urban LandMark,Urban Knowledge Exchange,en,Conference Papers & Reports,South Africa,land;informal settlements;security of tenure (land);land rights;slums;land governance,Urban Tenure,https://www.ukesa.info/images/GWIwnj1RdBJZOqzSvpbkD7umlN456ThM_details/ULM_2010_incr_securing_tenure_cover.JPG,Built environment;Human settlements;Land
,Informal land registration in urban areas,A case study,"This case study examines specific examples of localised and informal land registration practices in South Africa. Such informal land registration often arises where people do not have access to the formal state system of land registration. But as the desire and need to gain access to urban land, to secure rights in relation to that land and also to trade land, a localised registration system that meets these needs tends to emerge.",https://www.ukesa.info/download/cZMGqtz2NIDeo4SbYXya73gHvjlFx915/ULM_2010_informal_land_registration_in_urban_areas.pdf,https://www.ukesa.info/library/view/informal-land-registration,2010-01-01,"Alistair Clacherty
Lauren Royston
Margot Rubin",,,Urban Knowledge Exchange,en,Training Resources & Tools,South Africa,area;land;land registration;urban areas;customary land rights;informal property;land access;land administration;land markets,Urban Tenure;Land & Investments,https://www.ukesa.info/images/4JaEzfkTl2sV6pQAcM3rhntFjwyPS89L_details/ULM_2010_informal_land_registrtion_cover.png,Human settlements;Land
,Informal urban land markets and the poor,,"This case study draws on research that investigated how people access, trade and hold land in poorer and less formal parts of three metropolitan areas. It is based on a research study undertaken by the Isandla Institute, Stephen Berrisford Consulting and Progressus Research and Development, commissioned by Urban LandMark. Learning and reflection activities based on the case study are provided, and activities can be done individually or in groups. The document presents some of the experiences of people accessing land in informal settlements, low income housing projects and backyard rental accommodation. The final component of this document includes a summary of the key findings of the study and some of the recommendations arising from it. Note, particularly, the reference to Smit (2008a) that gives a more complete picture of land market processes in the study areas.",https://www.ukesa.info/download/ZamOKPpVvzCEGwQX6IxflkLqMRdW18Ny/ULM_2010_informal_urban_land_markets.pdf,https://www.ukesa.info/library/view/informal-urban-land-markets,2010-01-01,"Colin Marx
Isandla Institute and Stephen Berrisford Consulting
with Progressus Research and Development
Lauren Royston
Ros Gordon
Warren Smit",,,Urban Knowledge Exchange,en,Training Resources & Tools,South Africa,land;land markets;urban areas,Land & Investments;Urban Tenure,https://www.ukesa.info/images/AQD9PkztK1YrL4o7yOIX86fgGNJvTujW_details/ULM_2010_informal_urban_land_markets.png,Human settlements;Land
,Investigation into the delays in issuing title deeds to beneficiaries of housing projects funded by the capital subsidy,,"The Department of Human Settlements reports that between 1994 and 2009, 2.94-million housing units and serviced sites have either been built or were under construction. By September 2010, 1.44-million of these properties were formally registered on the Deeds Registry. This means that about 50% of subsidy beneficiaries had not yet received formal title for their housing. Moreover, since 2005, the percentage of subsidy properties that have been formally registered per year has plummeted.",https://www.ukesa.info/download/GHxiVscKXhN2yMoIuPeg10Zf9mQbkYDB/title_deed_delays_report_2011.pdf,https://www.ukesa.info/library/view/investigation-into-the-delays-in-issuing-title-deeds-to-beneficiaries-of-housing-projects-funded-by-the-capital-subsidy,2011-11-01,Shisaka Development Management Services,,,Urban Knowledge Exchange,en,Conference Papers & Reports,South Africa,deed;land;title deed;statutory tenure;housing rights;customary land rights;informal property,Urban Tenure,https://www.ukesa.info/images/J2gIzaVdAswlZnuHKXtiBUe8bcyFGRoT_details/TitleDeedsCover.JPG,Built environment;Energy;Human settlements;ICT;Land
,Land governance and its influence on access to urban land,,This case study is based on research undertaken into the experiences of a poor community in accessing land through formal channels in peri-urban South Africa. The research was conducted by a team of researchers pulled together by the World Bank. The work was the result of a request by Mogale City Municipality for technical assistance on the design and implementation of integrated housing and agriculture projects.  The document presents the story of Ethembalethu. The final component of this document includes a summary of key issues that were covered in the case study and recommendations arising from it.,https://www.ukesa.info/download/ctligUrup6IDvKsoPSzk0JqFhGWjafY8/ULM_2010_land_governance.pdf,https://www.ukesa.info/library/view/land-governance,2010-01-01,"Dave  DeGroot
Michael Kihato
Ntombini Marrengane
R van den Brink
Stephen Berrisford
Z Mhlanga",,,Urban Knowledge Exchange,en,Training Resources & Tools,South Africa,land;land governance;urban areas;land access;research;housing rights,Urban Tenure,https://www.ukesa.info/images/dRiqAg5HnohScDBKTs64xtMJpaXzOYI0_details/ULM_2010_land_governance_cover.png,Human settlements;Land
,Land governance in South Africa,Implementing the land governance assessment framework,"The World Bank in 2010/11 undertook an in-depth review of land governance and land policy in South Africa, with Urban LandMark managing the process and implementing a Land Governance Assessment Framework (LGAF) for South Africa.",https://www.ukesa.info/download/7c4N8KTP06dU5XSjJveCRmYLVpbsgxEz/ULM_LGAF_SA_2012.pdf,https://www.ukesa.info/library/view/land-governance-in-south-africa,2013-01-01,"Felicity Kitchin
Wendy Ovens",,Urban LandMark,Urban Knowledge Exchange,en,Conference Papers & Reports,South Africa,land;land governance;assessment;research,,https://www.ukesa.info/images/LgRZQOHcIPUyvF4V5zEGWTStDwn9kdsa_details/ULM_LGAF_SA_2012_cover_sq.jpg,Built environment;Human settlements;Land;Natural environment
,Managing urban land,A guide for municipal practitioners,"Urban land markets have a profound effect on how well poor households are able to access the jobs, amenities and services offered in the city. But often the way in which this market works frustrates attempts to open up better located living and business opportunities for poorer urban households and communities, despite government policies and programmes intended to address these challenges. The challenge in South Africa is even larger because of worsening poverty and inequality, and the continuing growth of cities through urbanisation.",https://www.ukesa.info/download/06kEQeOpRVI9nZltsfdygq4a7uHhKJMW/ULM_Managing_Urban_Land_2012.pdf,https://www.ukesa.info/library/view/managing-urban-land3,2012-01-01,"Alison Hickey Tshangana
Isandla Institute
Mirjam van Donk
Tristan Görgens",,Urban LandMark,Urban Knowledge Exchange,en,Conference Papers & Reports,South Africa,land;land markets;urban areas;urban population;poverty;housing rights;sustainable development;urbanization,Land & Investments;Socio-Economic & Institutional Context;Urban Tenure,https://www.ukesa.info/images/1OjZQzsl5TPhvxWaq7HJw9A4o6LpKegX_details/ULM_Managing_Urban_Land_cover_sq.jpg,Built environment;Human settlements;Land;Social facilities;Solid waste;Transport;Water and sanitation
,Maputo and informal land tenure arrangements,,"This case study draws on research that investigated the extensive informal land market in Maputo, Mozambique; specifically, how urban land is transacted and the mechanisms by which it is secured. The case study is based on a research study managed by Caroline Wanjiku Kihato and Lauren Royston, and undertaken by José Alberto Raimundo (Universidade Pedagógica, Maputo) and Inês Macamo Raimundo (Universidade Eduardo Modlane, Maputo). The work received technical and financial support from Urban LandMark. The case study presents an outline of land markets in Maputo, and various barriers to participation in the formal land market. It describes the informal system that has emerged in spite of the fact that the sale of land is technically illegal in Mozambique. ",https://www.ukesa.info/download/IC8gBRdYPZKE9Q2r5oL6WebkwxAafyvz/ULM_Maputo_and_informal_land_tenure_arrangements.pdf,https://www.ukesa.info/library/view/maputo-and-informal-land-tenure-arrangements,2013-01-01,"CW Kihato
IM Raimundo
JA Raimundo
L Royston",,,Urban Knowledge Exchange,en,Training Resources & Tools,Mozambique,land;land economics;land tenure;informal property;customary land rights;land transactions;land markets,Land & Investments,https://www.ukesa.info/images/tLM3QZ9Ca0GhweuJiWFbpXrEYKm7xV6H_details/ULM_Maputo_and_informal_land_tenure_arrangements_cover.png,Human settlements;Land
,Meta-language for land use classification systems,,"This was a presentation at a Workshop on Development of an Interim Framework for the National Land Use Classification Standard, Methodology and Symbology for South Africa.  It shows why land use and land cover are not the same, why land use often cannot be determined from imagery alone, and why land use, zoning and planning are not the same.",https://www.ukesa.info/download/imr2Rn5lpgxwdb9stXqBFWNYDfZa1V87/Cooper_2014.pdf,https://www.ukesa.info/library/view/meta-language-for-land-use-classification-systems,2014-04-15,Antony Cooper,,,Urban Knowledge Exchange,en,Conference Papers & Reports,South Africa,agricultural land management;land;land use;rural areas;urban areas;urban planning;land cover;land use planning,Urban Tenure,,Built environment;ICT;Land;Natural environment
,Property Development Process Model for Cape Town,,"The Urban Real Estate Research Unit and industry members representing the Western Cape Property Development Forum (WCPDF) have jointly produced a Property Development Process Model for Cape Town. The model was created to assist in highlighting the exceptionally long development timeframes (and resultant costs) for all stakeholders in the property development industry, including developers, consultants and government, with the objective of identifying opportunities to reduce time and costs by consensus.",http://www.ureru.uct.ac.za/PLDRP,https://www.ukesa.info/library/view/property-development-process-model-for-cape-town,2019-05-10,"Alwyn Laubscher & Associates
Chris Steffen
Deon Zan Vyl
Jedd Grimbeek
Johan Slabber
Lewin Rolls
Mida Kirova
Nigel Burls & Associates
Rob McGaffin",,,Urban Knowledge Exchange,en,Policy Papers & Briefs,South Africa,development;land;property,,https://www.ukesa.info/images/ijAQ7oWngTsperRlHdmJw6XOxIKbE5Cu_details/Cape_Town_-_Le_Cap_-_Kaapstad_-_iKapa_-_-_-_photo7.jpg,Built environment;Construction;Land
,Red Book,The Neighbourhood Planning and Design Guide,"The Neighbourhood Planning and Design Guide is a comprehensively updated and revised version of its predecessor, the Guidelines for Human Settlement Planning and Design, commonly known as the Red Book. The Red Book, published in 2000, was preceded by a series of guideline documents aimed at improving the quality of settlement planning and design.",https://www.dhs.redbook.gov.za/,https://www.ukesa.info/library/view/red-book,2019-07-12,,,CSIR,Urban Knowledge Exchange,en,Manuals & Guidelines,South Africa,land;capacity building;land use planning;urban areas;urban population,Urban Tenure,https://www.ukesa.info/images/BS7wcKyNR2OlaICqgkeFxtTsPo5p6fW0_details/www.dhs.redbook.gov.za-2019.07.12-09-50-14.jpg,Built environment;Construction;Human settlements;Land;Natural environment;Social facilities;Solid waste;Transport;Water and sanitation
,Reforming Urban Laws in Africa,A Practical Guide,"Reforming Urban Laws in Africa, A Practical Guide, was written by Stephen Berrisford and the late Patrick McAuslan. It provides hands-on guidance to officials, practitioners and researchers working on the urgent task of improving, modernising and rationalising urban legislation in the Sub-Saharan region. ",https://www.africancentreforcities.net/reforming-urban-laws-africa-practical-guide/,https://www.ukesa.info/library/view/reforming-urban-laws-in-africa,2017-01-01,"Patrick McAuslan
Stephen Berrisford",,African Centre for Cities,Urban Knowledge Exchange,en,Manuals & Guidelines,South Africa,land;land law;urban areas;capacity building,Urban Tenure,https://www.ukesa.info/images/1Wn4PGHI6tMkwcDNBgsiduAKflF83Qy5_details/ULAPG_cover_eng2.JPG,Built environment;Human settlements;Land
,Retail centres and township development,,"This case study is based on an existing booklet, Retail Centres and Township Developments: A Case Study (SACN, 2010) published by the South African Cities Network (SACN), the Training for Township Renewal Initiative (TTRI) and National Treasury. The booklet draws on prior research on ",https://www.ukesa.info/download/ohjKgvy6BWqzbrwsSAOZNGtQuHInDCpM/ULM_2013_Retail_centres_and_township_development.pdf,https://www.ukesa.info/library/view/retail-centres,2013-01-01,"Rachel Adatia
Clacherty & Associates",,Urban LandMark,Urban Knowledge Exchange,en,Training Resources & Tools,South Africa,development;land;urban areas,Urban Tenure,https://www.ukesa.info/images/FrmezyEVxsfanbR1oIqB2l0iv56TpUjH_details/ULM_2013_Retail_centres_and_township_development_cover.png,Finance;Human settlements;Land;Transport
,Rethinking communal land administration,Unlocking human settlements development in communal land areas,"This report, a summary of the substantial challenges that continue to plague South Africa’s efforts to reform land administration system, proposes that key decision-makers and informers involved in communal land administration undergo a mindshift in thinking. This shift should be from focusing exclusively on transferring communal land to traditional leaders, Common Property Institutions and private individuals, to recognising and accommodating existing forms of social tenure. This can be achieved by introducing a nationally constituted and locally administered land records system that sits alongside and complements the existing land registration system (that involves the Surveyor General’s office and the deeds registration system). The proposed alternatives are based on both practical experience and theoretical insights.",https://www.ukesa.info/download/JFyNGhvMrxib9ecWKf13smDQXtgwAIVT/Rethinking-communal-land-administration.pdf,https://www.ukesa.info/library/view/unlocking-human-settlements-development-in-communal-land-areas,2016-12-01,,,,Urban Knowledge Exchange,en,Conference Papers & Reports,South Africa,land;land administration;rural areas;community land rights;land administration;common lands;customary land rights;legal pluralism,Indigenous & Community Land Rights,https://www.ukesa.info/images/7Uehar64dZKDmMO1pn2GJEs5YA0gXkRq_details/HDA_2016_Rethinking-communcal-land.PNG,Human settlements;Land
,SA Urban Conference 2017,Report,"The 2017 South African Urban Conference took place at the Moses Mabhida Stadium, Durban on 30 October 2017. It was hosted by the South African Cities Network (SACN) in collaboration with the Departments of Human Settlements (DHS) and Cooperative Governance (DCOG), the National Treasury, the South African Local Government Association (SALGA), South African Council for Planners (SACPLAN), and the Ethekwini Municipality. The Integrated Urban Development Framework (IUDF) vision of building “liveable, safe, integrated, economically inclusive, and globally competitive cities” informed the 2017 conference. This vision is closely aligned to the global Sustainable Development Goal (SDG) 11 “Making Cities and Human Settlements inclusive, safe, resilient and sustainable”. ",http://www.sacities.net/wp-content/uploads/2018/03/Urban Conference 2017 REPORT.pdf,https://www.ukesa.info/library/view/sa-urban-conference-2017,2018-06-05,,,,Urban Knowledge Exchange,en,Conference Papers & Reports,South Africa,land;research;urban areas;poverty;sustainable development;land use planning;development agencies,Urban Tenure;Socio-Economic & Institutional Context;Land Stakeholders & Institutions,https://www.ukesa.info/images/oXqPIGQait4dKmZpFeV3WLh0xRbTHN5j_details/Screen-Shot-2019-06-11-at-13.27.14.png,Built environment;Construction;Human settlements;Land
,SA Urban Conference 2018,Report,"The second national Urban Conference took place on 30 and 31 October 2018 in Johannesburg, South Africa. It was convened by the South African Cities Network (SACN) in partnership with the national departments of cooperative governance (COGTA), human settlements (DHS) and finance (National Treasury); the South Africa Local Government Association (SALGA), SA Council for Planners (SACPLAN), ICLEI – Local Governments for Sustainability, and the Gauteng Provincial Government. Under the theme of “Activating an All-of-Society Approach to Implementing the Urban Agenda” (#IUDF #allofsociety), the conference continued the discussions raised in 2017 at the first Urban Conference. In 2017, officials from South Africa’s major metros and various targeted stakeholders came together to build awareness and knowledge about the Integrated Urban Development Framework (IUDF), in order to inform their strategies and plans for urban development. The IUDF is South Africa’s national urban policy for advancing the Sustainable Development Goals (particularly Goal 11: Making cities inclusive, safe, resilient and sustainable) and the global New Urban Agenda (UN-Habitat). The 2018 Urban Conference’s aim was to engage and mobilise other urban actors who play a role in the development of towns and cities, as the IUDF recognises that successful implementation requires for an all-of-society approach. It starts from the premise that reaping the urban dividend requires the involvement of all urban role-players. In the spirit of the IUDF, the conference was organised and hosted in partnership with a range of key urban stakeholders. The partnership is a fitness and requires constant dedication to working together. Through the partnership process, the conference was able to bring together and include in the programme a range of diverse voices and a spectrum of issues. Without the dedicated teams of the partner organisations, this event would not have been possible.",http://www.sacities.net/wp-content/uploads/2019/06/Urban Conference 2018 Report_FINAL[FV].pdf,https://www.ukesa.info/library/view/sa-urban-conference-2018,2019-06-10,,,,Urban Knowledge Exchange,en,Conference Papers & Reports,South Africa,land;urban planning;urban areas;development agencies;sustainable development;advocacy,Urban Tenure;Land Stakeholders & Institutions;Socio-Economic & Institutional Context,https://www.ukesa.info/images/BD27WbOCaEYdAHnZojxe63Lgf05FP4Nz_details/Screen-Shot-2019-06-11-at-12.30.31.png,Built environment;Construction;Human settlements;Land
,Small-scale private rental in South Africa,,This case study draws on research that aimed to provide greater understanding of the small-scale private rental market in South Africa. The ,https://www.ukesa.info/download/GRgrLw6tOZMxHKNBpyX3V8nb9WJT5E0F/ULM_2011_Small-scale_private_rental.pdf,https://www.ukesa.info/library/view/small-scale-private-rental2,2011-01-01,"Alistair Clacherty
David Gardner",,Urban LandMark,Urban Knowledge Exchange,en,Training Resources & Tools,South Africa,land;scale;land markets;land rent,Land & Investments,https://www.ukesa.info/images/fbs3miK5g8Mc7BNvTQHAokF0pPIxuJUR_details/ULM_2011_Small-scale_private_rental_cover.png,Human settlements;Land
,South African township economies and commercial property markets,A conceptualisation and overview,"Despite numerous studies on townships, research into township economies and related commercial real estate markets is limited. The majority of studies refer to the economy only as part of a broader discussion about other themes such as housing. And, while the information in these studies is useful, it is not captured and discussed within an overarching conceptual framework, which would allow the relationships and causal factors that shape and drive such economies to be understood. ",https://www.ukesa.info/download/TJE1rIhxlBKX0taqpYfNZbMCS2DV4s68/SA_Township_Economies_2015.pdf,https://www.ukesa.info/library/view/south-african-township-economies-and-commercial-property-markets4,2015-03-01,,,,Urban Knowledge Exchange,en,Conference Papers & Reports,South Africa,land;property;slums;housing rights;urban areas;,Urban Tenure,https://www.ukesa.info/images/paSMrl4Bx6KYzvu3iby5DsOVtTQwUInJ_details/SA_Township_Economies_2015_cover.jpg,Built environment;Human settlements;Land;Transport
,State of South African Cities Report,The 2016 Report,"Over the years, the State of Cities reports have presented a five-year perspective on the performance and conditions of South Africa's largest cities, with a focus on the member cities of the South African Cities Network (SACN). Specifically the report has evolved into:",http://www.sacities.net/state-of-cities-reporting/socr-2016,https://www.ukesa.info/library/view/state-of-south-african-cities-report,2016-09-01,"Angel Bolosha
Dr. Ann McLennan
Dr. Felicity Kitchin
Dr. Geci Karuri-Sebina
Frank Meintjies
Geoffrey Bickford
Gillian Maree
Nisa Mammon
Peter Magni
Pundy Pillay
Sandiswa Tshaka
Sharon Lewis
Shirley Robinson
Stacey-Leigh Joseph
Wendy Ovens
William Gumede",,,Urban Knowledge Exchange,en,Conference Papers & Reports,South Africa,land;urban areas;research,Urban Tenure,https://www.ukesa.info/images/AvuxEQcT6wbBFr7joXZik0Cqf3L9Wapd_details/Screen-Shot-2019-06-07-at-09.50.41.png,Built environment;Construction;Education;Energy;Finance;Health;Human settlements;ICT;Land;Natural environment;Social facilities;Solid waste;Transport;Water and sanitation
