ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages
10.3390/land4020454;Revealing Regional Deforestation Dynamics in North-Eastern Madagascar—Insights from Multi-Temporal Land Cover Change Analysis;;The north-eastern escarpment of Madagascar harbours the island’s last remaining large-scale humid forest massifs surrounded by a small-scale agricultural mosaic. There is high deforestation, commonly thought to be caused by shifting cultivation practiced by local land users to produce upland rice. However, little is known about the dynamics between forest and shifting cultivation systems at a regional level. Our study presents a first attempt to quantify changes in the extent of forest and different agricultural land cover classes, and to identify the main dynamics of land cover change for two intervals, 1995–2005 and 2005–2011. Over the 16-year study period, the speed of forest loss increased, the total area of upland rice production remained almost stable, and the area of irrigated rice fields slightly increased. While our findings seem to confirm a general trend of land use intensification, deforestation through shifting cultivation is still on the rise. Deforestation mostly affects the small forest fragments interspersed in the agricultural mosaic and is slowly leading to a homogenization of the landscape. These findings have important implications for future interventions to slow forest loss in the region, as the processes of agricultural expansion through shifting cultivation versus intensified land use cannot per se be considered mutually exclusive.;"Zaehringer, G. Julie
Eckert, Sandra
Messerli, Peter";;Land Journal;Land Journal;2015-06-31;en;"deforestation;land cover;land use planning";"Land, Climate change & Environment;Forest Tenure";Land Use, Management & Investment;;Peer-reviewed publication;http://www.mdpi.com/2073-445X/4/2/454/;http://www.mdpi.com/2073-445X/4/2/454/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2015 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
10.3390/land3030850;Comparing Path Dependence and Spatial Targeting of Land Use in Implementing Climate Change Responses;;Land use patterns are the consequence of dynamic processes that often include important legacy issues. Evaluation of past trends can be used to investigate the role of path dependence in influencing future land use through a reference “business as usual” (BAU) scenario. These issues are explored with regard to objectives for woodland expansion in Scotland as a major pillar of climate change policy. Land use changes based upon recent trends and future transient scenarios to 2050 are used to assess viability of targets for reducing greenhouse gas emissions using analysis based on net emission change factors. The BAU scenario is compared with alternative future scenarios incorporating policy targets and stronger spatial targeting of land use change. Analysis highlights recent trends in new woodland planting on lower quality agricultural land due to socioeconomic and cultural factors. This land is mainly in the wetter uplands and often on carbon-rich soils. Woodland planting following this path dependence can therefore result in net carbon emissions for many years into the future due to soil disturbance during establishment.  In contrast, alternative scenarios with more lowland woodland planting have net sequestration potential, with greatest benefits when carbon-rich soils are excluded from afforestation. Spatial targeting can also enhance other co-benefits such as habitat networks and climate change adaptation.;"Brown, Iain
Castellazzi, Marie
Feliciano, Diana";;Land Journal;Land Journal;2014-09-31;en;"land use;climate change;land environment;sustainable land management;research";Land, Climate change & Environment;Land Use, Management & Investment;;Peer-reviewed publication;http://www.mdpi.com/2073-445X/3/3/850/;http://www.mdpi.com/2073-445X/3/3/850/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2014 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
10.3390/land3020414;Agrosilvopastoral Systems in Northern Thailand and Northern Laos: Minority Peoples’ Knowledge versus Government Policy;;Traditional agrosilvopastoral systems have been an important component of the farming systems and livelihoods of thousands of ethnic minority people in the uplands of Mainland Southeast Asia. Drawing on a combination of qualitative and participatory inquiries in nine ethnic minority communities, this study emphasizes the complex articulation of local farmers’ knowledge which has been so far excluded from governmental development and conservation policies in the northern uplands of Thailand and Laos. Qualitative analysis of local knowledge systems is performed using the Agroecological Knowledge Toolkit (AKT5) software. Results show that ethnic minorities in the two countries perceive large ruminants to be a highly positive component of local forest agro-ecosystems due to their contribution to nutrient cycling, forest fire control, water retention, and leaf-litter dispersal. The knowledge and perceptions of agrosilvopastoral farmers are then contrasted with the remarkably different forestry policy frameworks of the two countries. We find that the knowledge and diversity of practices exercised by ethnic minority groups contrasts with the current simplified and negative image that government officials tend to construct of agrosilvopastoral systems. We conclude that local knowledge of forest-livestock systems can offer alternative or complementary explanations on ecological cause-and-effect relationships which may need further scientific investigation and validation.;"Choocharoen, Chalathon
Neef, Andreas
Preechapanya, Pornchai
Hoffmann, Volker";;Land Journal;Land Journal;2014-06-31;en;"agropastoral systems;agricultural land management;land policies;land governance;local community;farmers";"Rangelands, Drylands & Pastoralism;Land Stakeholders & Institutions";"Land Policy & Legislation;Land Use, Management & Investment;Access to Land & Tenure Security";35;Peer-reviewed publication;http://www.mdpi.com/2073-445X/3/2/414/;http://www.mdpi.com/2073-445X/3/2/414/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2014 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
10.3390/land3010300;Historical Landscape Perspectives on Grasslands in Sweden  and the Baltic Region;;A landscape perspective is generally recognized as essential for conservation biology. The main underlying reason is that species respond to features of the landscape at various spatial scales, for example habitat area, connectivity, and matrix habitats. However, there is also an “historical” component of a landscape perspective, which has not received similar attention. The underlying reasons for historical effects are that humans have influenced landscapes during several millennia and that species and communities may respond slowly to land use change. An historical perspective on landscapes also relates to how we perceive “natural” vs. “cultural” landscapes, and thus how conservation actions are motivated and valuated. We review studies from Sweden and the Baltic region in the context of an historical landscape perspective, focusing on semi-natural grasslands, i.e., grasslands formed by long-term human management for grazing and hay-making. Semi-natural grasslands are today a high concern for conservation. Historical effects are ubiquitous on species distributions and patterns of species richness, and have important implications for developing informed conservation programs in semi-natural grasslands, particularly with regard to assumptions of historical baselines, the choice of conservation targets, and insights on time-lags in the response of species to current landscape change.;"Eriksson, Ove
Cousins, A. Sara";;Land Journal;Land Journal;2014-03-31;en;"land cover;boundaries;research;land ownership";;"Land Use, Management & Investment;Access to Land & Tenure Security";;Peer-reviewed publication;http://www.mdpi.com/2073-445X/3/1/300/;http://www.mdpi.com/2073-445X/3/1/300/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2014 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
10.3390/land2040756;Uncovering Dominant Land-Cover Patterns of Quebec: Representative Landscapes, Spatial Clusters, and Fences;;Mapping large areas for planning and conservation is a challenge undergoing rapid transformation. For centuries, the creation of broad-extent maps was the near-exclusive domain of expert specialist cartographers, who painstakingly delineated regions of relative homogeneity with respect to a given set of criteria. In the satellite era, it has become possible to rapidly create and update categorizations of Earth’s surface with improved speed and flexibility. Land cover datasets and landscape metrics offer a vast set of information for viewing and quantifying land cover across large areas. Comprehending the patterns revealed by hundreds of possibly relevant landscape metric values, however, remains a daunting task. We studied the information content of a large set of landscape pattern metrics across Quebec, Canada, asking whether they were capable of making consistent, spatially cohesive distinctions among patterns in landscapes. We evaluated the possibility of metrics to identify representative landscapes for efficient sampling or conservation, and determined areas where differences in nearby landscape patterns were the most and least pronounced. This approach can serve as a template for a landscape perspective on the challenges that will be faced in the near future by planners and conservationists working across large areas.;"Partington, Kevin
Cardille, A. Jeffrey";;Land Journal;Land Journal;2013-12-31;en;"land cover;boundaries;research";;"Land Use, Management & Investment;Access to Land & Tenure Security";;Peer-reviewed publication;http://www.mdpi.com/2073-445X/2/4/756/;http://www.mdpi.com/2073-445X/2/4/756/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2013 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
10.3390/land4020355;“Bring Back the Land”—A Call to Refocus on the Spatial Dimension of Zimbabwe’s Land Reform;;In this article, we argue that research on land reform in the nation of Zimbabwe has overlooked possibilities of integrating geospatial methods into analyses and, at the same time, geographers have not adequately developed techniques for this application. Scholars have generally been captured within the debate focused on the success or failure of the Zimbabwean land reform program, and have neglected to analyze what has occurred where during the process of “fast-track land reform”. To date, no extensive national dataset of land ownership change, and the effect of this change on land use planning strategies, has been developed within the scientific community. As a result, most publications, even very detailed and thorough ones, have been based on regional case studies, broad estimates, or on outdated, cross-referenced statistics. To overcome the lack of spatio-temporal data, we propose an analytic framework to map Zimbabwe’s fast-track land reform and its country-wide effects. It emphasizes the potential of geographic information systems and satellite remote sensing to provide an objective basis for future studies of the subject.;"Hentze, Konrad
Menz, Gunter";;Land Journal;Land Journal;2015-06-31;en;"land reform;land ownership;land area;land cover;geomatics";;"Land Policy & Legislation;Land Use, Management & Investment";ZWE;Peer-reviewed publication;http://www.mdpi.com/2073-445X/4/2/355/;http://www.mdpi.com/2073-445X/4/2/355/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2015 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
10.3390/land4041030;“Nothing Is Like It Was Before”: The Dynamics between  Land-Use and Land-Cover, and Livelihood Strategies in the Northern Vietnam Borderlands;;"Land uses are changing rapidly in Vietnam’s upland northern borderlands. Regional development platforms such as the Greater Mekong Subregion, state-propelled market integration and reforestation programs, and lowland entrepreneurs and migrants are all impacting this frontier landscape. Drawing on a mixed methods approach using remote sensing data from 2000 to 2009 and ethnographic fieldwork, we examine how land-use and land-cover change (LULCC) has occurred across three borderland provinces—Lai Châu, Lào Cai and Hà Giang—with high proportions of ethnic minority semi-subsistence farmers. After a broad examination of regional land-use changes, we select three case studies to further analyze the underlying relationships between specific LULCC and local livelihood diversification strategies. These include specific patterns of urban growth due to a range of political decisions in Lai Châu and Lào Cai Provinces; reforestation due to non-timber forest (NTFP) product cultivation in the west of Lào Cai Province; and a stable landscape that restricts government attempts at refashioning upland livelihoods in the east of Hà Giang. Our findings point to the difficulties of completing LULCC maps for this highly heterogeneous region and the complexity of LULCC and livelihood interactions and relationships examined on the ground.";"Turner, Sarah
Pham, Thi-Thanh-Hiên";;Land Journal;Land Journal;2015-12-31;en;"land use;land cover;boundaries;local community;land policies;land governance;urbanization";"Urban Tenure;Land Stakeholders & Institutions";"Land Policy & Legislation;Land Use, Management & Investment;Access to Land & Tenure Security";;Peer-reviewed publication;http://www.mdpi.com/2073-445X/4/4/1030/;http://www.mdpi.com/2073-445X/4/4/1030/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2015 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
10.3390/land6010019;Characterizing Spatial Neighborhoods of Refugia Following Large Fires in Northern New Mexico USA;;The spatial patterns resulting from large fires include refugial habitats that support surviving legacies and promote ecosystem recovery. To better understand the diverse ecological functions of refugia on burn mosaics, we used remotely sensed data to quantify neighborhood patterns of areas relatively unchanged following the 2011 Las Conchas fire. Spatial patterns of refugia measured within 10-ha moving windows varied across a gradient from areas of high density, clustered in space, to sparsely populated neighborhoods that occurred in the background matrix. The scaling of these patterns was related to the underlying structure of topography measured by slope, aspect and potential soil wetness, and spatially varying climate. Using a nonmetric multidimensional scaling analysis of species cover data collected post-Las Conchas, we found that trees and forest associates were present across the refugial gradient, but communities also exhibited a range of species compositions and potential functions. Spatial patterns of refugia quantified for three previous burns (La Mesa 1977, Dome 1996, Cerro Grande 2000) were dynamic between fire events, but most refugia persisted through at least two fires. Efforts to maintain burn heterogeneity and its ecological functions can begin with identifying where refugia are likely to occur, using terrain-based microclimate models, burn severity models and available field data.;"Haire, L. Sandra
Coop, D. Jonathan
Miller, Carol";;Land Journal;Land Journal;2017-03-31;en;displacement;Land Conflicts;Access to Land & Tenure Security;;Peer-reviewed publication;http://www.mdpi.com/2073-445X/6/1/19/;http://www.mdpi.com/2073-445X/6/1/19/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2017 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
10.3390/land4030888;Disentangling Values in the Interrelations between Cultural Ecosystem Services and Landscape Conservation—A Case Study of the Ifugao Rice Terraces in the Philippines;;In the past few years, there has been a growing amount of research on economic quantifications and valuations of ecosystem services (ES) in agricultural systems. However, little attention has been given to cultural ESs (CES) in general and their link to the landscape in particular. This paper tries to tackle this gap with a case study on the Ifugao Rice Terraces of the Philippines. The study aims to understand the interrelations between the different CESs and their relationships with the landscape. Besides contributing to knowledge about the degradation of the rice terraces, this study was conducted in order to discuss at a theoretical level how CESs and their relationship with the landscape must be addressed in ES management and policy decisions. The methodological approach includes a combination of semi-structured interviews (n = 60) and a perception survey (n = 66). The results reveal that CESs, apart from being interrelated, are also responsible for and affected by the degradation of the rice terraces, which is why they are important factors to consider in ecosystem conservation. This paper finally provides policy recommendations for the empirical case and demonstrates the importance of connecting CES analysis with landscape studies looking at agricultural systems.;"Tilliger, Bianca
Rodríguez-Labajos, Beatriz
Bustamante, V. Jesus
Settele, Josef";;Land Journal;Land Journal;2015-09-31;en;"land improvement;land environment;research;agricultural land management;agriculture";;Land Use, Management & Investment;PHL;Peer-reviewed publication;http://www.mdpi.com/2073-445X/4/3/888/;http://www.mdpi.com/2073-445X/4/3/888/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2015 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
10.3390/land3041284;Patterns of Tree Distribution within Small Communities of the Sudanian Savanna-Sahel;;Crown diameter and tree density were measured in 52 communities in the Sudan-Sahel using satellite imagery to determine the relationships between rainfall and distance from community center to crown size diameter and tree density. As distance from the community center increased, tree density and crown diameter decreased. As rainfall increased, tree density decreased while crown diameter increased. Distance from the community center is a proxy for age since urbanization and our results indicate that older parts of communities show longer and more consistent tree management. The trends in patterns of tree distribution and size in communities are different from those in natural woodlands.;"Sterling, J. Sarah
Orr, Blair";;Land Journal;Land Journal;2014-12-31;en;"local community;research;urban forestry";"Urban Tenure;Land Stakeholders & Institutions;Forest Tenure";"Land Use, Management & Investment;Access to Land & Tenure Security";"DZA;SDN;BFA;NGA;MRT;TCD;MLI;CMR;002;SEN;CAF;SSD;ETH;NER;ERI";Peer-reviewed publication;http://www.mdpi.com/2073-445X/3/4/1284/;http://www.mdpi.com/2073-445X/3/4/1284/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2014 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
