id,title,description,acronym,start_date,end_date,funding,project_url,countries,donor,related_overarching_categories,related_themes,related_concepts
,Conflict Management and Mitigation in Rwanda,"<p>The project worked to prevent, manage, and help resolve ongoing land conflicts and conflicts created through the land registration project, thereby maintaining micro- and macro-level peace and security and promoting reconciliation during the potentially destabilizing activities resulting from the implementation of the land law; to provide training for land conflict resolution; and to help the GoR implement land rights registration under its land reform program through participatory processes.</p>",,2007,2008,USD 649552,https://www.land-links.org/project/conflict-management-and-mitigation-in-rwanda/,RWA,USAID,,Land Conflicts,land conflicts;land governance
,Caribbean Open Trade Support: Dominica,"<p>The <b>Caribbean Open Trade Support (COTS)</b> program was a component of the Caribbean Regional Program of USAID/Jamaica, designed to facilitate the transition of the region – in particular, Antigua, Barbuda and Dominica – to open trade, and to enable the countries to compete more successfully and sustainably in the global economy. Among other business enabling activities, the program supported the streamlining of land registration and administration procedures and capacity strengthening of land administration staff.</p>",,2006,2010,USD 50000,https://www.land-links.org/project/caribbean-open-trade-support-dominica/,JAM,USAID,,Socio-Economic & Institutional Context,development;sustainable development
,Burundi Policy Reform Program,"<p><b>USAID/Burundi’s Policy Reform Program</b> aimed to strengthen relations between the government, civil society, and the media in order to promote dialogue and foster a transparent and participatory land policy formulation process. Through its trainings in conflict management, anti-corruption and advocacy, the project built the capacity of government, civil society, and media to understand and discuss policy matters in an informed and inclusive manner.</p>",,2007,2011,USD 1800000,https://www.land-links.org/project/burundi-policy-reform-program/,BDI,USAID,,Land Conflicts,land conflicts;land governance
,Economic Prosperity Initiative: Georgia,"<p>USAID’s <b>Economic Prosperity Initiative (EPI)</b> supported a working group to develop the Land Registration Strategy and Action Plan. The draft strategy addresses the need to establish policies that deal effectively with all types of owners who received land as part of the original land privatization process. The action plan defines the program governance structure, sets the implementation timeline and phases, identifies necessary human and technical resources and outlines the overall budget (about $34 million) to complete the land reform/registration. The leadership of the Ministry of Agriculture has already reviewed the drafts. As a next step, the Minister of Agriculture plans to make a presentation of the action plan to the Minister of Economy and Sustainable Development and Minister of Justice in late September, and then to the Prime Minister for final approval. During the upcoming quarter, EPI will conduct additional outreach with the donor community, where EPI already identified preliminary resources by the World Bank and the EU to contribute toward the land reform initiative. EPI will also support the Ministry of Agriculture to conduct outreach with NGOs.</p>",,2013,2014,USD 990000,https://www.land-links.org/project/economic-prosperity-initiative-georgia/,GEO,USAID,,Land Conflicts;Socio-Economic & Institutional Context,land conflicts;development;land governance;sustainable development
,"Economic Growth Hubs, Infrastructure and Competitiveness: Philippines","<p>The <b>Economic Growth Hubs Project</b> is a Cooperative Agreement with the Asia Foundation. The project has three objectives: Better Provision of Infrastructure, Better Performing Economic Growth Hubs, and Promoting a political economy approach to economic policy reform process. One of the activities under Better Performing Economic Growth Hubs was the provision of technical support for the passage and effective implementation of the Residential Free Patent law in the Philippines. The Residential Free Patent Act (RA 10023), passed in March 2010, creates a low-cost, administrative procedure to more efficiently title the estimated 8,000,000 untitled residential parcels in the country and unlock “dead capital” to drive economic development.</p>
<h2>Objectives</h2>
<ul>
<li>Better Provision of Infrastructure:
<ul>
<li>a) Through improved public-private partnerships (PPP) – This activity will seek to establish an enduring policy and institutional environment that promotes competitively bid and properly implemented PPP infrastructure projects;</li>
<li>b) Through increasing transparency and accountability in budget and spending – The goal is to broaden participation in the allocation and implementation of infrastructure investments. The project will provide technical assistance to civil society, business associations and/or government institutions to increase understanding and participation in the decision-making and implementation processes of infrastructure projects in the Philippines;</li>
<li>c) To expand Philippine Roll On, Roll Off (RoRo) network both domestically and regionally</li>
</ul>
</li>
<li>Better improving growth hubs:
<ul>
<li>a) Improve the institutional capacity of the Philippine Economic Zone Authority (PEZA);</li>
<li>b) Develop the Subic-Clark as a major tourism and logistics hub;</li>
<li>c) Assist in the effective implementation of the Residential Free Patent law</li>
</ul>
</li>
<li>Promoting a political economy approach to economic policy reform process – to develop material to increase understanding of the political economy of reform, to develop policy entrepreneurs, inform the design of donor project activities, and support new reform initiatives (with AusAID and World Bank)</li>
</ul>
<h2>Outcomes</h2>
<ul>
<li>To improve the security of property rights in the Philippines, USAID supported the implementation of the Residential Free Patent Act (RA 10023), passed in March 2010, that creates a low-cost, administrative procedure to more efficiently title the estimated eight million untitled residential parcels in the country and unlock “dead capital” to drive economic development.</li>
<li>To further institutionalize reform, the project help established robust partnerships between national Department of Environment and Resources (DENR) and local governments. These partnerships leverage the authority of DENR to issue titles and the resources and interests of LGUs in land titling.</li>
<li>Since the pilot was launched in Cebu in January 2011, over 100 local governments have established “land offices”.</li>
<li>Based on lessons from the field and working with the DENR’s Land Management Bureau, the project also developed a manual to guide DENR and LGU personnel on establishing and operating land offices.</li>
</ul>",,2009,2013,USD 6600000,https://www.land-links.org/project/economic-growth-hubs-infrastructure-and-competitiveness-philippines/,PHL,USAID,,Socio-Economic & Institutional Context,development;sustainable development
,Ecuador Sustainable Forests and Coasts,"<p>The <b>Ecuador Sustainable Forests and Coasts</b> project aims to improve income for local communities, the project helps increase their productivity and the sale of products that depend on conservation (such as organic cocoa, vegetable ivory nuts, and crabmeat). For example: helping communities meet requirements for accessing financial incentives for conservation, such as the Forest Partner Program of the Ministry of the Environment of Ecuador (MAE), which provides cash payments over 20 years for the conservation of natural forests. To access the Forest Partner Program, assistance is given for conservation area zoning and measurement, the participatory development of an investment plan for incentives, and land titling.</p>",,2009,2014,,https://www.land-links.org/project/ecuador-sustainable-forests-and-coasts/,ECU,USAID,,Socio-Economic & Institutional Context,development;sustainable development
,Cooperative Agreement with the International Real Property Foundation,"<p>This cooperative agreement with the International Real Property Foundation aims to develop the capacity of local real estate associations through technical training and the creation of market information systems, thereby facilitating access to credit by enabling the use of real estate as collateral.</p>",,2004,2010,USD 3850000,https://www.land-links.org/project/cooperative-agreement-with-the-international-real-property-foundation/,,USAID,,Socio-Economic & Institutional Context,development;sustainable development
,Egypt Financial Services Project,"<p>The <b>Egypt Financial Services Project (FSP)</b> supported legal and procedural reforms that allowed banks and non-bank financial institutions in Egypt to effectively use the most important types of ‘secured lending’. The project facilitated the registration of urban real estate so as to increase the pool of properties that may be subject to mortgage financing. At present, less than ten percent of urban properties are registered. In the absence of registration, properties cannot be mortgaged and lenders have no guarantee of the priority or the efficacy of their liens.</p>",,2004,2009,USD 5200000,https://www.land-links.org/project/egypt-financial-services-project/,EGY,USAID,,Socio-Economic & Institutional Context,development;sustainable development
,Food Security Research Program: Zambia,"<p>Agricultural productivity of most staple crops has been stagnant, in part due to Government of the Republic of Zambia’s (GRZ) agriculture policies that exacerbate the challenges and focus on maize-centric subsides to the exclusion and detriment of other crops. The <strong>Food Security Research Project (FSRP)</strong> focuses on sustainable agricultural policy reform and capacity building. FSRP builds capacity among agricultural sector planners to achieve improved policy making through applied agricultural economic research, policy analysis, outreach, and dialogue. The current emphasis is to indigenize the capacity by supporting and strengthening local Zambian institutions, recently helping establish the Zambia Indaba Agricultural Policy Research Institute (IAPRI). FSRP has supported and built capacity with the Zambia Government to develop and implement the CAADP Compact to collect and analyze agricultural data, including information on incomes, yields, diversification, land tenure, use of natural resources, household decision making, and other information. They provide outreach and communication to stakeholders for discussion and input.</p>",,2010,2015,USD 11500000,https://www.land-links.org/project/food-security-research-program-zambia/,ZMB,USAID,,Land & Food Security,food security
,Ghana Commercial Agriculture Project,"<p>The <b>Ghana Commercial Agriculture Project (GCAP)</b>, which is supported by USAID and the World Bank, has four components: (1) Strengthening investment promotion infrastructure, facilitating secure access to land. This component promotes a secure investment climate that clarifies and strengthens the rights and obligations of investors, government and affected communities, and support an improved mechanism for facilitating access to land by reducing the search costs to potential investors through an expansion of a database of land suitable and available for investors and by building on nascent mechanisms for actively matching potential investors with suitable land owners. (2) Securing Public-Private Partnerships (PPPs) and small-holder linkages in the Accra Plains. This component will conclude one or two transactions for PPPs in an irrigation investment in the Accra Plains. (3) Securing PPPs and small-holder linkages in the SADA Zone. This component involves support to the identification and realization of private investments in inclusive commercial agricultural arrangements in the agricultural value chain through PPPs, complementary public investments, and technical assistance concentrated in the SADA zone. (4) Project management, monitoring and evaluation. This component finances the operations of the project implementing agencies.</p>
<h3>Objectives</h3>
<ul>
<li>Increased access to land, private sector finance, input and output markets by smallholder farms from private public partnerships in commercial agriculture in Accra Plains and Savannah Accelerated Development Authority (SADA) zone.</li>
</ul>",,2012,2017,USD 3000000,https://www.land-links.org/project/ghana-commercial-agriculture-project/,GHA,USAID,,Socio-Economic & Institutional Context,development;sustainable development
,Enhancing Customary Justice Systems in the Mau Forest: Kenya,"<p>The <strong>Enhancing Customary Justice Systems in the Mau Forest</strong> (Justice) Project piloted an approach for improving women’s access to customary justice, particularly related to women’s land rights, by enhancing the customary justice system in one target area. The work also resulted in a clearer understanding of the relationships between customary and statutory institutions and laws, and the development of a model to promote the integration of informal and formal justice systems. The pilot activity complemented other USAID programs in Kenya focused on addressing land/resource tenure, access to justice, and governance challenges, in the upper Mara River catchment area within the Mau Forest Complex, Kenya (“Mau”). By design, this project has relied extensively on assessments and other information, for and under the ProMara project, gathered since February 2010.</p>
<p>The pilot project lasted from 2010 – 2012 and a follow-on project began in 2013. The follow-on project seeks to share the Kenya Justice Project approach as well as results and lessons learned from the Project evaluation to explore opportunities and support for broader sustainable application throughout Kenya, particularly focused on formalizing and institutionalizing linkages and processes between the formal and informal justice sectors, consistent with Article 159 of Kenya’s Constitution.</p>
<h2>Objectives</h2>
<ul>
<li>Develop basic justice modules to train traditional leaders on provisions of the Kenyan Constitution and National Land Policy.</li>
<li>Build capacity within the customary justice system to more effectively perform duties.</li>
<li>Build women’s capacity to govern and to know, understand, and exercise their rights.</li>
<li>Support justice learning related to the Kenyan Constitution and the National Land Policy within schools and families.</li>
<li>Raise community’s legal awareness.</li>
</ul>
<h2>Outcomes</h2>
<ul>
<li>Chiefs publicly issued a new Katiba (local constitution) to guide their decision making and legal responsibilities to the community.</li>
<li>Significant increases in women’s access to land and control over household level decision-making around land and other family assets. In addition, several women in the community now have their names on land titles, including widows.</li>
<li>Two of the Ol Pusimoru sub-locations elected 14 women elders out of 50 total in 2012. This election of women as elders is the first within the Maasai and Kalenjin communities. The number of women elders grew to 22 in 2013 and 33 out of 50 elders total in 2014.</li>
<li>Chiefs and elders now require spousal consent (with witnesses) for all land transactions, including leases.</li>
<li>In the Ol Mariko sub-location, women who received training made the request that elders no longer hear rape cases. The elder council agreed with the request and is now referring all such cases to formal legal systems.</li>
<li>Trained 34 women in environmental and forest management and alternative dispute resolution. These women then conducted over 20 peer sessions, reaching more than 268 women.</li>
</ul>",,2010,2014,USD 490000,https://www.land-links.org/project/enhancing-customary-justice-systems-in-the-mau-forest-kenya/,KEN,USAID,Access to Land & Tenure Security,Land & Gender;Indigenous & Community Land Rights,customary tenure;gender equity in access to land;customary land rights;local community;community land rights;women
,Ethiopia Land Administration Program,"<p><b>Ethiopia Land Administration Program (ELAP)</b> worked to strengthen Ethiopia’s land administration system, promote tenure security, increase public awareness of land rights, and strengthen the capacity of federal and regional land administration agencies.</p>
<h2>Objectives</h2>
<ul>
<li>Improve the legal framework related to land use rights at the national and regional levels.</li>
<li>Advance public awareness of land use rights.</li>
<li>Promote investments by smallholders, medium and larger-scale investors in productivity enhancing technologies and activities.</li>
<li>Strengthening the capacity of federal and regional land administration agencies to deliver secure land use rights and land administration services.</li>
</ul>
<h2>Outcomes</h2>
<ul>
<li>Helped regional governments in Amhara, Oromia, SNNP, and Tigray select high-potential areas for certifying land use rights of families, individuals and legal entities to facilitate beneficial land transactions. A total of 52,300 parcels of land belonging to 40,880 households were surveyed and registered with PIMs produced and high resolution satellite imagery for cadastral surveying field tested.</li>
<li>Supported Somali and Afar regional governments with drafting their Land Use and Administration Policy/Proclamations, with submission to regional cabinet for approval, thereby expanding the legal work under a previous USAID project in Ethiopia’s pastoral regions.</li>
<li>Participated in national consultative meetings including:
<ul>
<li>the Ethiopia Strategic Investment Framework for Sustainable Land Management; and</li>
<li>Enhancing Rural Land Use Rights Transactions and Facilitating Access to Rural Land for Commercial Investment.</li>
</ul>
</li>
<li>Provided technical assistance to the Ethiopian Ministry of Agriculture in drafting white papers: Review of Land Administration and Land Use Planning Policy and Programs in Ethiopia; Ethiopia Strategic Investment Framework for Sustainable Land Management; and a concept note on Ethiopia Land Administration and Land Use Planning Project.</li>
</ul>",,2008,2013,USD 5000000,https://www.land-links.org/project/ethiopia-land-administration-program/,ETH,USAID,,,
,Ethiopia Strengthening Land Tenure and Administration Program,"<p>This project contributed to: a) familiarization of the GOE to similar experiences in other countries in land leasing arrangements; b) harmonization of regional land policies on issues such as women’s inheritance and leasing arrangements; c) expansion of cadastral work; and d) education of farmers of their land use rights. The project formulated the “Action Plan for Land Tenure”, which was adopted by the government as its framework.</p>",,2005,2008,USD 5747422,https://www.land-links.org/project/ethiopia-strengthening-land-tenure-and-administration-program/,ETH,USAID,,,
,Evaluation Research and Communication: Global,"<p>The purpose of the <b>Evaluation, Research and Communication (ERC) </b> project is to create, expand, and communicate the results of evidence-based knowledge around best land tenure and property rights practices in order to enhance internal USAID and external USG learning, guide program design and implementation, and make the most effective use of limited development resources to accomplish key USG development objectives. Activities will support achievement of intermediate result 1.2 under Strategic Objective 1 of the Climate Change and Development Strategy, which notes USAID support for “ensuring the rights and engagement of local and indigenous communities” in conjunction with a focus on improving tools and capacity for land-use planning to reduce deforestation. ERC will also support biodiversity conservation through collection and dissemination of evidence-based knowledge on how secure land tenure and property rights can incentivize sustainable land use and protection of valuable ecosystems including the forest, water and wildlife within them. Work conducted under ERC should adopt a multidisciplinary approach to learning that aligns with USAID’s Evaluation and Gender Equality and Female Empowerment Policies and that communicates results of evaluation and research using innovative, creative methods that target key audiences. This work will also contribute to USAID Forward.</p>
<h2>Objectives</h2>
<ul>
<li><strong>Impact Evaluations:</strong> evaluate different modalities for land certification applied across Ethiopia</li>
<li><strong>Research:</strong> build on the existing body of USAID land tenure and property rights work and extend this base of knowledge; encourage debate around innovative models and competing hypotheses related to land tenure and property rights interventions and expected outcomes – challenge existing assumptions</li>
<li><strong>Communications:</strong> implement strategies to ensure that new knowledge and learning is incorporated into communications efforts, that new knowledge and learning feeds effectively into Land Tenure Division program design efforts, that this knowledge and learning is accessible to users of the Land Tenure Division’s communication products, and that communication efforts and knowledge management take advantage of creative and innovative approaches to conveying information to key target audiences including policy makers, development experts, Mission staff, civil society organizations, women and other vulnerable groups.</li>
</ul>",,2013,2018,USD 18800000,https://www.land-links.org/project/evaluation-research-and-communication-global/,001,USAID,"Land Use, Management & Investment;Access to Land & Tenure Security","Land & Gender;Land, Climate change & Environment",sustainable land management;climate change;environment;gender equity in access to land;natural resources management;women
,Ethno-Environment Corridors in the Brazilian Amazon,"<p>This project aimed to promote and improve biodiversity conservation and sustainable natural resources management in public lands, through the development of “ethno-environmental corridors”, i.e. conservation regions comprised of a mosaic of officially recognized protected areas and indigenous lands, integrating the safeguard of cultural and environmental assets with active participation of indigenous peoples. Through capacity building activities, the project sought to transform indigenous peoples and their institutions into full participants in an integrated corridor conservation strategy as well as incorporate ethnographic information in the corridor rationale and management.</p>
<h2>Objectives</h2>
<ul>
<li>Ensure the integrity of indigenous lands in the Brazilian Amazon biome,</li>
<li>Maintain ecologically healthy, biodiversity rich and culturally diverse forests within a framework of social equity,</li>
<li>Strength indigenous organizations through capacity building activities in ethno-environmental diagnosis and management planning, and eco-tourism income generating practices</li>
<li>Increase carbon sequestration by creating biological conservation corridors and integrating indigenous group in corridor rationale and management</li>
</ul>
<h2>Outcomes</h2>
<ul>
<li>Over 1,400 indigenous people directly benefited in 470 hectares of 2 indigenous lands</li>
<li>Capacity building activities indirectly benefited additional 13 indigenous peoples and traditional populations across an 8 million hectares corridor</li>
</ul>",,2009,2012,USD 5188000,https://www.land-links.org/project/ethno-environment-corridors-in-the-brazilian-amazon/,BRA,USAID,"Land Use, Management & Investment","Land, Climate change & Environment",environment;climate change;sustainable land management;natural resources management
,Feed the Future Tanzania Land Tenure Assistance Activity,"<p>The objectives of the Feed the Future Tanzania Land Tenure Assistance activity (LTA), are to reduce land tenure-related risks and lay the groundwork for sustainable agricultural investment for both small holders and commercial investors throughout the Southern Agricultural Growth Corridor of Tanzania (SAGCOT) and in the value chains of focus for Tanzania’s Feed the Future program.</p>
<p>Awarded in December 2015, initial LTA efforts will support approximately 41 communities and local government authorities in the Iringa and Mbeya Districts of Tanzania to clarify, document and certify land ownership. Efforts will also increase local understanding of land use and land rights. Activities will increase individual property rights and land tenure security and will help to lay the groundwork for sustainable investment for both small holders and commercial investors in the region while better protecting the interests of both the private sector and local communities.</p>
<h2>Objectives</h2>
<ul>
<li>Assist villages and district administrations in completing the land-use planning process and delivering Certificates of Customary Rights of Occupancy (CCROs) in selected villages within two districts (Iringa and Mbeya)</li>
<li>Build capacity of village land governance institutions (Iringa and Mbeya)</li>
<li>Build capacity for district-level land governance (Iringa and Mbeya)</li>
<li>Build capacity to use USAID’s Mobile Application to Secure Tenure (MAST) throughout SAGCOT and nationally.</li>
</ul>
<p>LTA will build upon the progress achieved through USAID’s <a href=""/project/mobile-application-secure-tenure-tanzania"" target=""_blank"">MAST pilot</a> to develop a low-cost, participatory land registration process, with a strong focus on strengthening women’s land rights.</p>",,2015,2019,USD 5900000,https://www.land-links.org/project/feed-the-future-tanzania-land-tenure-assistance-activity/,TZA,USAID,,Land & Food Security,food security
