Artikel;Issue;ID;Title;Abstract/Description;Authors;Corporate authors;Publishers;Data Provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License
11;Family Farming;Rural21-Vol:48-Nr:2/2014-Article:11;Integrated Watershed Management – an approach with a number of stumbling-blocks;Integrated Watershed Management represents an option for the management of water catchment areas. However, what may sound good in theory often proves to be very difficult when it comes to practical implementation, as an example from the Lower Mekong Region shows.;;Centre for Rural Development;DLG-Verlag;Rural21;2014/06;English;"land management; water management; water rights; sustainable land management";;Land Use, Management & Investment;"Vietnam; Cambodia; Lao; Thailand; Myanmar";Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/integrated-watershed-management-an-approach-with-a-number-of-stumbling-blocks-00001146/;http://www.rural21.com/uploads/media/rural2014_02-S32-34.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2014-02/Seite33.jpg;All rights reserved
12;Family Farming;Rural21-Vol:48-Nr:2/2014-Article:12;FlexiBiogas – a climate change adaptation and mitigation technology;Access to modern renewable energy services are a key input to poverty eradication and in ensuring food security. Biogas is a renewable energy option suited to provide clean, modern and decentralised sources of energy. Portable systems, such as FlexiBiogas, offer a lot of advantages over traditional fixed dome systems.;"Antonio Rota; Karan Sehgal";International Fund for Agricultural Development (IFAD);DLG-Verlag;Rural21;2014/06;English;"poverty; food security; agricultural land management; farming systems";Land & Food Security;Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/flexibiogas-a-climate-change-adaptation-and-mitigation-technology-00001145/;http://www.rural21.com/uploads/media/rural2014_02-S35-37.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2014-02/Seite37.jpg;All rights reserved
13;Family Farming;Rural21-Vol:48-Nr:2/2014-Article:13;Rebuilding soil natural capital;Throughout the world, demands on finite soil resources are ever increasing, and can lead to irreversible soil degradation, as the soil is used beyond its “bio-capacity”. A quarter of the inhabitated land area has already been affected by human-induced soil degradation. Against this background, soil remediaton is becoming more and more important. Focusing on the rehabilitation of oil-contaminated soil in Kuwait, the following article shows how it works, and where the problems lie;Bedanga Bordoloi ;;DLG-Verlag;Rural21;2014/06;English;"farming systems; natural resources management; sustainable land management; land area; land degradation";Land, Climate change & Environment;Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/rebuilding-soil-natural-capital-00001144/;http://www.rural21.com/uploads/media/rural2014_02-S38-39.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2014-02/Seite38.jpg;All rights reserved
14;Family Farming;Rural21-Vol:48-Nr:2/2014-Article:14;"Boosting commercial sorghum production and marketing with the ""aggregator model""";How can the private sector contribute to the fight against hunger, poverty and malnutrition in the remote areas of sub-Saharan Africa? This article looks at a model that has been applied in Kenya and Tanzania, addressing the right tools, skills and knowledge to make smallholder production a success.;"Daniel Kamanga; Doreen Marangu; Nehemiah Mburu; Florence Wambugu";Africa Harvest;DLG-Verlag;Rural21;2014/06;English;"poverty; food security; development agencies; farming systems; sustainable development";"Land Stakeholders & Institutions; Land & Food Security";;"Kenya; Tanzania";Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/boosting-commercial-sorghum-production-and-marketing-with-the-aggregator-model-00001143/;http://www.rural21.com/uploads/media/rural2014_02-S40-42.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2014-02/Seite40.jpg;All rights reserved
1;Livestock;Rural21-Vol:48-Nr:4/2014-Article:1;Livestock matter;Livestock are critical to building sustainability in food and agriculture. Current and future livestock sector development needs to produce more, from less, and in ways that benefit all. Solving the sector’s challenges requires stakeholders to find common ground and to join forces towards continuous practice change. The Global Agenda for Sustainable Livestock is one example of these new ways of working.;"Henning Steinfeld; Jeroen Dijkman";Food and Agriculture Organization of the United Nations (FAO);DLG-Verlag;Rural21;2014/11;English;"food security; agriculture; agricultural land management";;Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/livestock-matter-00001324/;http://www.rural21.com/uploads/media/rural2014_04-S06-08.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2014-04/Seite07.jpg;All rights reserved
2;Livestock;Rural21-Vol:48-Nr:4/2014-Article:2;Livestock: recyclers that promote the sustainability of smallholder farms;Livestock are kept for a wide range of purposes in Africa, and there is considerable diversity in animal husbandry. Among the most important advantages in keeping animals is their contribution to maintaining and even improving soil fertility. Furthermore, animal husbandry offers economic, social and cultural benefits. However, the authors also look at the constraints that smallholders face in livestock husbandry.;"Pierre Hiernaux; Mamadou Oumar Diawara";;DLG-Verlag;Rural21;2014/11;English;"animal husbandry; land management; sustainable land management; agriculture; farming systems";Rangelands, Drylands & Pastoralism;Land Use, Management & Investment;Africa;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/livestock-recyclers-that-promote-the-sustainability-of-smallholder-farms-00001323/;http://www.rural21.com/uploads/media/rural2014_04-S09-11.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2014-04/Seite10.jpg;All rights reserved
3;Livestock;Rural21-Vol:48-Nr:4/2014-Article:3;Tropical forage-based systems for climate-smart livestock production in Latin America;Tropical forage grasses and legumes as key components of sustainable crop-livestock systems in Latin America and the Caribbean have major implications for improving food security, alleviating poverty, restoring degraded lands and mitigating climate change. Climate-smart tropical forage crops can improve the livestock productivity of smallholder farming systems and break the cycle of poverty and resource degradation. Sustainable intensification of forage-based systems contributes to better human nutrition, increases farm incomes, raises soil carbon accumulation and reduces greenhouse gas emissions.;"Idupulapati Rao; Michael Peters; Rein van der Hoek; Aracely Castro";;DLG-Verlag;Rural21;2014/11;English;"farming systems; food security; poverty; land degradation; climate change; sustainable land management; natural resources management";"Land, Climate change & Environment; Land & Food Security";Land Use, Management & Investment;Latin America & the Caribbean;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/tropical-forage-based-systems-for-climate-smart-livestock-production-in-latin-america-00001322/;http://www.rural21.com/uploads/media/rural2014_04-S12-15.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2014-04/Seite13.jpg;All rights reserved
4;Livestock;Rural21-Vol:48-Nr:4/2014-Article:4;Pasture management in Central Asia – regional learning for reform;The former Soviet Central Asian republics have undergone de-intensification of their livestock sectors, resulting in an increased reliance on natural pastures. Property rights systems are key to the sustainable management of this resource. However, as the authors demonstrate, it is not easy to implement the respective reform processes.;"Sarah Robinson; André Fabian";;DLG-Verlag;Rural21;2014/11;English;"pastoralists; agriculture; property rights; sustainable land management; natural resources management; land governance; pastoral land rights";Rangelands, Drylands & Pastoralism;"Access to Land & Tenure Security; Land Policy & Legislation";Central Asia;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/pasture-management-in-central-asia-regional-learning-for-reform-00001321/;http://www.rural21.com/uploads/media/rural2014_04-S16-18.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2014-04/Seite16.jpg;All rights reserved
5;Livestock;Rural21-Vol:48-Nr:4/2014-Article:5;Pastoralism and conflict – two sides of a coin?;Pastoralism – the predominant form of livestock keeping in the Horn of Africa – has always been a source of disputes and tensions in the region. So it is maybe no coincidence that precisely those countries with the largest cattle and camel herds should be the ones that have been suffering from prolonged armed conflict for years. This article takes a look at the closely interwoven aspects influencing conflicts in the Horn of Africa in general and South Sudan more specifically.;"Cornelia Heine; Elisabeth Hartwig";;DLG-Verlag;Rural21;2014/11;English;"pastoralists; pastoral land rights; land dispute; land conflicts";"Rangelands, Drylands & Pastoralism; Land Conflicts";Access to Land & Tenure Security;"Africa; South Africa";Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/pastoralism-and-conflict-two-sides-of-a-coin-00001320/;http://www.rural21.com/uploads/media/rural2014_04-S19-21.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2014-04/Seite19.jpg;All rights reserved
6;Livestock;Rural21-Vol:48-Nr:4/2014-Article:6;Linking poor livestock keepers to markets;The growing global demand for animal products also offers poor livestock keepers the opportunity to switch from the subsistence to the market economy. Our author gives an account of three approaches in the meat and dairy sector in Africa and Asia with their respective potentials and limitations – and also warns against possible negative effects.;Isabelle Baltenweck;International Livestock Research Institute;DLG-Verlag;Rural21;2014/11;English;"farmers; farming systems; agricultural land management";Rangelands, Drylands & Pastoralism;Land Use, Management & Investment;"Africa; Asia";Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/linking-poor-livestock-keepers-to-markets-00001319/;http://www.rural21.com/uploads/media/rural2014_04-S22-24.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2014-04/Seite22.jpg;All rights reserved
7;Livestock;Rural21-Vol:48-Nr:4/2014-Article:7;Milk production pays off! – Experiences of a DPPP approach in Northern Sri Lanka;Initiated by an international packaging company and a local retailer enterprise a project was set up in the Jaffna district in 2013 supported by the GIZ “development partnerships with the private sector” (develoPPP) initiative. The project aims at an increased quality and quantity of milk production and medium-term coverage of the regional demand. Within a couple of months, the monthly collected amount of milk has increased from 3,100 litres to 35,610 litres, and the number of participating farmers has increased tenfold.;Carola von Morstein;GIZ;DLG-Verlag;Rural21;2014/11;English;"farming systems; agricultural land management; land governance";;Land Use, Management & Investment;Sri Lanka;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/milk-production-pays-off-experiences-of-a-dppp-approach-in-northern-sri-lanka-00001318/;http://www.rural21.com/uploads/media/rural2014_04-S25-25.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2014-04/Seite25.jpg;All rights reserved
8;Livestock;Rural21-Vol:48-Nr:4/2014-Article:8;Food security and poverty mitigation through smallholder dairy – the Zambian case;Supporting smallholder farmers is one of the best ways to fight poverty and ensure food security. Such support involving the active participation of smallholder farmers in Zambia has demonstrated a significant increase in farmers’ engagement in general and an improvement in milk production, resulting in nutritional food security both at household and national level and income for the poor farmers.;Girja S. Pandey;;DLG-Verlag;Rural21;2014/11;English;"food security; poverty; farming systems; farmers; sustainable development";Land & Food Security;;Zambia;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/food-security-and-poverty-mitigation-through-smallholder-dairy-the-zambian-case-00001317/;http://www.rural21.com/uploads/media/rural2014_04-S26-27.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2014-04/Seite26.jpg;All rights reserved
9;Livestock;Rural21-Vol:48-Nr:4/2014-Article:9;Animal husbandry in cities – using potentials, reducing risks;Not only rabbits and guinea-pigs but sheep, goats, cattle and pigs also play a crucial role in the food and income situation of countless city-dwellers world-wide. However, when people and animals live in such close proximity, health risks are inevitable. But instead of banning urban animal husbandry, as was, for example, considered in the course of the swine influenza epidemic, framework conditions ought to be created that enable people to make use of this business branch to earn a profit without running risks.;Carola von Morstein;GIZ;DLG-Verlag;Rural21;2014/11;English;"animal husbandry; farming systems; suburban agriculture; urban population";Urban Tenure;Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/animal-husbandry-in-cities-using-potentials-reducing-risks-00001316/;http://www.rural21.com/uploads/media/rural2014_04-S28-30.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2014-04/Seite28.jpg;All rights reserved
10;Livestock;Rural21-Vol:48-Nr:4/2014-Article:10;The insatiable hunger for cheap meat;If the current trend in global meat demand persists, meat production will need to rise from 300 million tons today to 470 million tons by 2050. Climate and our natural resources would lose out, our author warns.;Christine Chemnitz;Heinrich Böll Foundation;DLG-Verlag;Rural21;2014/11;English;"food security; farming systems; natural resources management; sustainable land management; environment";"Land, Climate change & Environment; Land & Food Security";Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/the-insatiable-hunger-for-cheap-meat-00001314/;http://www.rural21.com/uploads/media/rural2014_04-S34-35.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2014-04/Chemnitz.jpg;All rights reserved
11;Livestock;Rural21-Vol:48-Nr:4/2014-Article:11;Mindsets for sustainability – let’s start with feed!;Nowadays it is hard to imagine European livestock production without soya-based feed. But this trend has had a massive impact on rural areas in the global South – the bulk of the soya fed to livestock in Europe is imported from Argentina and Brazil. That is not sustainable, says WWF’s Birgit Wilhelm, who advocates a change in mindset. ;Birgit Wilhelm;World Wildlife Fund;DLG-Verlag;Rural21;2014/11;English;"farming systems; sustainable land management";;Land Use, Management & Investment;"Argentina; Brazil; Europe";Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/mindsets-for-sustainability-lets-start-with-feed-00001313/;http://www.rural21.com/uploads/media/rural2014_04-S36-37.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2014-04/Wilhelm.jpg;All rights reserved
12;Livestock;Rural21-Vol:48-Nr:4/2014-Article:12;China’s biomass energy development – a perception change from waste to resource;China has a longstanding tradition of using biogas for decentralised energy supply. Already, there are nearly 42 million household digesters in the rural areas, a figure set to double by 2020. But the country has even more ambitious plans. In order to achieve its own climate targets and raise the share of renewables in overall energy supply to 15 per cent by 2020, it wants to set up 16,000 middle- and large-scale biogas plants. However, implementation isn’t quite so easy.;"Michael Oos; Friederike Martin";GIZ;DLG-Verlag;Rural21;2014/11;English;"climate change; environment; sustainable land management; rural development; agriculture; agricultural land management";Land, Climate change & Environment;Land Use, Management & Investment;China;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/chinas-biomass-energy-development-a-perception-change-from-waste-to-resource-00001312/;http://www.rural21.com/uploads/media/rural2014_04-S38-40.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2014-04/Seite38.jpg;All rights reserved
13;Livestock;Rural21-Vol:48-Nr:4/2014-Article:13;Unleashing the potential of family farming;Converting from subsistence to market-oriented farming can increase income. Thanks to the ’Enabling Rural Innovation’ approach, family farmers in Uganda and Tanzania have succeeded in improving production and fetching better prices for their produce while safeguarding food security and sustainable management of natural resources. The recipe for success is that farmers take the development process in their own hands.;"Thomas Pircher; Amos Owamani";;DLG-Verlag;Rural21;2014/11;English;"farming systems; rural development; farmers; agricultural land management; food security; natural resources management; sustainable land management";Land & Food Security;Land Use, Management & Investment;"Uganda; Tanzania";Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/unleashing-the-potential-of-family-farming-00001311/;http://www.rural21.com/uploads/media/rural2014_04-S41-43.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2014-04/Seite41.jpg;All rights reserved
1;Rural Markets;Rural21-Vol:47-Nr:2/2013-Article:1;Why markets matter;Rural markets are important traditional institutional frameworks which perform a number of key functions in rural societies. Our author presents the major ones in Nigeria.;Adegboyega Eyitayo Oguntade;;DLG-Verlag;Rural21;2013/06;English;"rural population; land markets";;Land Use, Management & Investment;Nigeria;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/why-markets-matter-0000736/;http://www.rural21.com/uploads/media/rural2013_02-S06-07.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-02/focus13_02_why-marketts.jpg;All rights reserved
2;Rural Markets;Rural21-Vol:47-Nr:2/2013-Article:2;New marketing structures: new chances, new risks;Market liberalisation in the 1980/90s brought about fundamental changes to marketing structures in Africa, creating new opportunities but also, often, making it more difficult for smallholders to access markets.;Dr G. E. Onumah;;DLG-Verlag;Rural21;2013/06;English;"land markets; land access; land governance";;"Land Use, Management & Investment; Land Policy & Legislation";Africa;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/new-marketing-structures-new-chances-new-risks-0000748/;http://www.rural21.com/uploads/media/rural2013_02-S08-08.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-02/focus13_02_new-marketing.jpg;All rights reserved
3;Rural Markets;Rural21-Vol:47-Nr:2/2013-Article:3;A boost for inclusive farmer-trader relationships;Representing 30 per cent of Ghana’s formal trade in maize, the Techiman market serves as the main cereals trade platform within the country and the sub-region. However, its role in the region’s economic development is threatened by several shortcomings. The Municipal Assembly and the Techiman traders have therefore launched an innovative public-private initiative to upgrade the maize market infrastructure.;"Margret Will; Matthias Plewa";;DLG-Verlag;Rural21;2013/06;English;"land markets; land governance; rural development";;Land Use, Management & Investment;Ghana;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/a-boost-for-inclusive-farmer-trader-relationships-0000747/;http://www.rural21.com/uploads/media/rural2013_02-S09-11.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-02/focus13_02_a-boost.jpg;All rights reserved
4;Rural Markets;Rural21-Vol:47-Nr:2/2013-Article:4;Better grain marketing with warehouse receipt systems;Grain markets in Africa suffer from a range of constraints. Smallholder farmers are particularly affected owing to their vulnerability to price fluctuations and their weak bargaining position. Many African governments as well as donors reckon with improvements through warehouse receipt systems. The article illustrates the theoretical potential of the WRS and some of the obstacles in setting them up in African countries.;Dr G. E. Onumah;;DLG-Verlag;Rural21;2013/06;English;"land markets; farming systems; land governance; land management";Land Stakeholders & Institutions;Land Use, Management & Investment;Africa;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/better-grain-marketing-with-warehouse-receipt-systems-0000746/;http://www.rural21.com/uploads/media/rural2013_02-S12-15.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-02/focus13_02_better-grain.jpg;All rights reserved
5;Rural Markets;Rural21-Vol:47-Nr:2/2013-Article:5;Advocacy for free trade;Regional trade bears a great potential to improve food security in West Africa. Again and again, however, efforts made in this field by organisations such as ECOWAS and UEMOA are frustrated by the policies of individual countries.;Suzanne Ngo-Eyok;;DLG-Verlag;Rural21;2013/06;English;"land markets; food security; development agencies; advocacy";"Land & Food Security; Land Stakeholders & Institutions";Land Use, Management & Investment;Western Africa;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/advocacy-for-free-trade-0000745/;http://www.rural21.com/uploads/media/rural2013_02-S16-17.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-02/focus13_02_advocacy.jpg;All rights reserved
6;Rural Markets;Rural21-Vol:47-Nr:2/2013-Article:6;Where is food logistics going?;Logistics costs play a decisive role in food price development, especially when looking at local agricultural supply chains, e.g. for fruit and vegetables. The logistics cost burden on groceries varies greatly, depending on the prevalent supply chain setup. This article discusses the pros and cons of a traditional supply of agricultural produce into cities versus a modernised logistics setup, involving organised retail chains. This comparison is illustrated using the example of India, a country where the Government has recently decided to legalise foreign direct investment (FDI) in the retail sector.;Bernhard Herzog;GIZ;DLG-Verlag;Rural21;2013/06;English;"land markets; food security; agriculture; agricultural land management; land investments";"Land & Food Security; Land & Investments";Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/where-is-food-logistics-going-0000744/;http://www.rural21.com/uploads/media/rural2013_02-S18-21.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-02/focus13_02_food-logistic.jpg;All rights reserved
7;Rural Markets;Rural21-Vol:47-Nr:2/2013-Article:7;BioTrade – development opportunities for small farmers in Peru;Not only is biodiversity a valuable asset, but it also represents a possible source of income for rural communities. The article shows how Peru is making use of this potential in the context of the BioTrade concept to sustain both, rural livelihood and conservation of native biodiversity. It further analyses the challenges farmers face and how targeted support for supply chains can help to overcome these challenges.;"Katharina Wortmann; Silke Spohn; Luis Rosa Pérez";GIZ;DLG-Verlag;Rural21;2013/06;English;"land markets; agricultural land management; rural population; land environment; sustainable land management; environment; farmers; farming systems";Land, Climate change & Environment;Land Use, Management & Investment;Peru;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/biotrade-development-opportunities-for-small-farmers-in-peru-0000743/;http://www.rural21.com/uploads/media/rural2013_02-S22-24.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-02/focus13_02_biotrade.jpg;All rights reserved
