Artikel;Issue;ID;Title;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Overarching Categories;Themes;Resource types;Geographical focus;Link to the original website;Link to the publication;Thumbnail;License;ISSN
11;Développement rural, Assurances agricoles, Énergie et changement climatique;Rural21-Vol:18-Nr:1/2011-Article:11;L'ILRI redonne espoir aux éleveurs kényans avec l'assurance bétail indexée;"Alors qu'ils sont tributaires de l'élevage, de nombreux ménages vivant dans les régions arides et semi-arides du Kenya sont régulièrement confrontés à des pertes de bétail importantes en raison des sécheresses chroniques qui affectent la région. 

Aidé de ses partenaires techniques, l'Institut international de recherche sur le bétail (International Livestock Research Institute ? ILRI) a conçu une assurance bétail indexée - une assurance d'un type nouveau basée sur l'imagerie satellite qui indemnise les éleveurs ayant subi des pertes à la suite d'une sécheresse. Conjointement avec ses partenaires, la compagnie d'assurances UAP et Equity Insurance Agency, l'ILRI a, en janvier 2010, lancé un projet pilote dans le district de Marsabit, dans le nord du Kenya. Près de 2 000 contrats d'assurance ont déjà été signés dans le cadre de ce projet pilote.";"Brenda Wandera; Andrew Mude";International Livestock Research Institute;DLG-Verlag;Rural21;2011/01;Français;"development agencies; land management; land use; farmers; compensation";Land Use, Management & Investment;"Land, Climate change & Environment; Land Stakeholders & Institutions";Journal Articles & Books;Kenya;http://www.rural21.com/francais/archive-2005-2011/archive2011-01fr/theme-phare-assurances-agricoles/lilri-redonne-espoir-aux-eleveurs-kenyans-avec-lassurance-betail-indexee/;http://www.rural21.com/fileadmin/_migrated/content_uploads/LILRI_redonne_espoir_auxeleveurs_02.pdf;private://feeds/Rural21_2011-01_fr.jpg;All rights reserved;1866-0002
12;Développement rural, Assurances agricoles, Énergie et changement climatique;Rural21-Vol:18-Nr:1/2011-Article:12;Le soutien au développement d'une énergie à faibles émissions de carbone en Afrique;Le développement économique, social et environnemental ne peut être obtenu sans un accès suffisant aux sources d'énergie et aux services modernes. Le degré actuel de pauvreté en énergie du continent constitue une barrière à un tel développement. Avec son objectif de voir le continent africain libéré de la pauvreté, la Banque africaine de développement (BAD) s'emploie à soulager cette pauvreté en énergie avec le concours des pays membres de la région (PMR). ;"Anthony Nyong; Nogoye Thiam; Kurt Lonsway";African Development Bank;DLG-Verlag;Rural21;2011/01;Français;"environment; sustainable development; land management; sustainable land management; development agencies";Land Use, Management & Investment;"Land, Climate change & Environment; Land Stakeholders & Institutions";Journal Articles & Books;Africa;http://www.rural21.com/francais/archive-2005-2011/archive2011-01fr/theme-phare-energie-et-changement-climatique/le-soutien-au-developpement-dune-energie-a-faibles-emissions-de-carbone-en-afrique/;http://www.rural21.com/fileadmin/_migrated/content_uploads/Le_soutien_au_developpement-d_une_energie_02.pdf;private://feeds/Rural21_2011-01_fr.jpg;All rights reserved;1866-0002
13;Développement rural, Assurances agricoles, Énergie et changement climatique;Rural21-Vol:18-Nr:1/2011-Article:13;Partenariats énergétiques ? Travailler en équipe, mais dans quel but?;La sécurité énergétique est un enjeu majeur pour tous les pays importateurs d'énergie (très majoritaires dans le monde): 160 pays importateurs d'énergie dépendent de 40 pays exportateurs. Lorsqu'on pense énergie, on pense généralement aux combustibles fossiles tels que le charbon, le pétrole et le gaz et ces marchés sont fortement faussés par les monopoles d'États et le manque de concurrence. ;Jürgen Maier;;DLG-Verlag;Rural21;2011/01;Français;"environment; development agencies; sustainable land management";Land Use, Management & Investment;"Land, Climate change & Environment; Land Stakeholders & Institutions";Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2011-01fr/theme-phare-energie-et-changement-climatique/partenariats-energetiques-travailler-en-equipe-mais-dans-quel-but/;http://www.rural21.com/fileadmin/_migrated/content_uploads/Le_soutien_au_developpement-Travailler_02.pdf;private://feeds/Rural21_2011-01_fr.jpg;All rights reserved;1866-0002
14;Développement rural, Assurances agricoles, Énergie et changement climatique;Rural21-Vol:18-Nr:1/2011-Article:14;Nouvelles pistes pour les biocarburants en Afrique;"En Afrique subsaharienne, la production de biocarburants pourrait avoir un rôle positif sur le développement rural. Mais cette production comporte également de nombreux risques qui doivent être étudiés et gérés avec soin. La réussite dépend dans une large mesure des conditions locales et de l'organisation des chaînes de valeur ajoutée. 

Le modèle du groupement de petits planteurs semble être la forme d'organisation la mieux adaptée pour faire accepter les risques à la population et permettre aux petits exploitants comme aux grands producteurs d'en tirer profit. Les capacités en termes de réglementation, de recherche et de conseils devront être renforcées dans les pays et les régions concernées. Les acteurs privés et les groupes concernés, particulièrement les plus désavantagés, devront également bénéficier d'un soutien afin que le potentiel de la production de biocarburants soit véritablement orienté vers le développement rural.";"Dr Michael Brüntrup; Raoul Herrmann; Dieter Anders; Jutta Schmitz; Felix Kaup




";;DLG-Verlag;Rural21;2011/01;Français;"rural development; environment; sustainable land management; rural population";Land Use, Management & Investment;Land, Climate change & Environment;Journal Articles & Books;Sub Saharan Africa;http://www.rural21.com/francais/archive-2005-2011/archive2011-01fr/theme-phare-energie-et-changement-climatique/nouvelles-pistes-pour-les-biocarburants-en-afrique/;http://www.rural21.com/fileadmin/_migrated/content_uploads/Nouvelles_pistes_pour_les_biocarburants_02.pdf;private://feeds/Rural21_2011-01_fr.jpg;All rights reserved;1866-0002
15;Développement rural, Assurances agricoles, Énergie et changement climatique;Rural21-Vol:18-Nr:1/2011-Article:15;Revue sur le Sommet des OMD: «les affaires continuent!» ne peut plus être le mot d?ordre;"Le bilan des Objectifs du Millénaire pour le développement
(OMD) après dix ans est plus que mitigé. Dans l’ensemble, on n’enregistre que quelques progrès au niveau régional, par exemple en ce qui concerne l’éducation pour tous (OMD 2), la réduction de la mortalité infantile (OMD 4), et aussi la lutte contre la pauvreté (OMD 1a). L’échec fatal, c’est de n’être pas parvenu à réaliser l’objectif de réduction de la faim (OMD 1c) : la tendance initiale positive vers une réduction de moitié de la proportion de personnes souffrant de la faim s’est inversée dans le monde entier. Or,
les Nations unies s’étaient donné un quart de siècle (1990–2015) pour atteindre cet objectif. Selon l’Organisation des Nations unies pour l’alimentation et l’agriculture (FAO), le nombre des personnes souffrant de la faim a commencé par baisser de 845 millions en 1990 à 825 millions en 1995, mais a ensuite regrimpé pour atteindre près d’un milliard de personnes.";Dr. Rafaël Schneider;Welthungerhilfe;DLG-Verlag;Rural21;2011/01;Français;"development agencies; sustainable development; agriculture; food security";;"Land & Food Security; Land Stakeholders & Institutions";Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2011-01fr/opinions/revue-sur-le-sommet-des-omd-les-affaires-continuent-ne-peut-plus-etre-le-mot-dordre/;http://www.rural21.com/fileadmin/_migrated/content_uploads/Revue_sur_le_Sommet_des_OMD_02.pdf;private://feeds/Rural21_2011-01_fr.jpg;All rights reserved;1866-0002
16;Développement rural, Assurances agricoles, Énergie et changement climatique;Rural21-Vol:18-Nr:1/2011-Article:16;L'heure d'un approvisionnement énergétique moderne a sonné;"L’électricité est un besoin de base et une condition préalable
au développement. Il y a pléthore de solutions techniques et de l’argent en quantité. Alors, pourquoi 1,6 milliard de personnes vivent-elles encore sans électricité ? Voici cinq hypothèses et trois solutions à ce problème.";"
Wolfgang Hofstätter";;DLG-Verlag;Rural21;2011/01;Français;sustainable development;;;Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2011-01fr/opinions/lheure-dun-approvisionnement-energetique-moderne-a-sonne/;http://www.rural21.com/fileadmin/_migrated/content_uploads/L_heure_d_un_approvisionnement_02.pdf;private://feeds/Rural21_2011-01_fr.jpg;All rights reserved;1866-0002
17;Développement rural, Assurances agricoles, Énergie et changement climatique;Rural21-Vol:18-Nr:1/2011-Article:17;Quel rôle les échanges régionaux peuvent-ils jouer pour améliorer la sécurité alimentaire?;Les pays du sud et de l’est de l’Afrique sont confrontés à des pénuries alimentaires récurrentes. Pour lutter contre l’urgence alimentaire et éviter que les produits alimentaires ne quittent le pays, les gouvernements imposent des restrictions commerciales et interviennent sur les marchés. Dans ce contexte, les échanges transfrontaliers entre les zones défi citaires et excédentaires sont susceptibles de contribuer à la sécurité alimentaire régionale. Cet article est basé sur les résultats d’une étude menée dans la région frontalière entre la Tanzanie et la Zambie.;"Alfred Gerken; Daniela Bese; Andrea Düchting; Henri Gebauer; Christian Rupschus";;DLG-Verlag;Rural21;2011/01;Français;"food security; rural development; land governance; sustainable land management; agricultural land management";Land Use, Management & Investment;Land & Food Security;Journal Articles & Books;"Southern Africa; Eastern Africa; Tanzania; Zambia";http://www.rural21.com/francais/archive-2005-2011/archive2011-01fr/plate-forme-internationale/quel-role-les-echanges-regionaux-peuvent-ils-jouer-pour-ameliorer-la-securite-alimentaire/;http://www.rural21.com/fileadmin/_migrated/content_uploads/Quel_role_les_echanges_regionaux_02.pdf;private://feeds/Rural21_2011-01_fr.jpg;All rights reserved;1866-0002
18;Développement rural, Assurances agricoles, Énergie et changement climatique;Rural21-Vol:18-Nr:1/2011-Article:18;Aide alimentaire d'urgence: enseignements tirés d'une opération post-séisme en Haïti;Juste après le tremblement de terre, en janvier 2010, la GTZ a lancé en Haïti un projet d'aide alimentaire d'urgence avec plusieurs partenaires. En l'espace d'un mois, environ 1 000 tonnes de vivres ont été distribuées. L'article rend compte de cette expérience et décrit les facteurs qui revêtent une importance décisive pour le succès d'une telle opération. ;Manfred Metz;;DLG-Verlag;Rural21;2011/01;Français;"land; food security; land governance; natural disasters";Land Use, Management & Investment;"Land & Food Security; Land Stakeholders & Institutions; Land, Climate change & Environment";Journal Articles & Books;Haiti;http://www.rural21.com/francais/archive-2005-2011/archive2011-01fr/plate-forme-internationale/aide-alimentaire-durgence-enseignements-tires-dune-operation-post-seisme-en-haiti/;http://www.rural21.com/fileadmin/_migrated/content_uploads/Aide_alimentaire_d_urgence_02.pdf;private://feeds/Rural21_2011-01_fr.jpg;All rights reserved;1866-0002
19;Développement rural, Assurances agricoles, Énergie et changement climatique;Rural21-Vol:18-Nr:1/2011-Article:19;La production de spirulina au Burkina Faso;"La spiruline est une algue produite en quantité au Burkina Faso. Sa composition nutritionnelle exceptionnelle lui donne un rôle efficace pour la récupération des personnes dénutries ou immunitairement affaiblies. Considérant cela, une association française et une burkinabé ont créé, en partenariat, un projet pour la promotion de la spiruline et de conseils nutritionnels dans le milieu rural.  

Proposition est faite dans les groupes de microfinance locaux de se former pour devenir vendeur de spiruline et conseiller nutritionnel. Une activité génératrice de revenus qui diversifie l'emploi local et impact positivement la santé de la communauté";Raphaëlle Birot;;DLG-Verlag;Rural21;2011/01;Français;"farming systems; agricultural land management; development agencies; sustainable land management; local community";Land Use, Management & Investment;Land Stakeholders & Institutions;Journal Articles & Books;Burkina Faso;http://www.rural21.com/francais/archive-2005-2011/archive2011-01fr/plate-forme-internationale/la-production-de-spirulina-au-burkina-faso/;http://www.rural21.com/fileadmin/_migrated/content_uploads/La_production_de_spirulina_02.pdf;private://feeds/Rural21_2011-01_fr.jpg;All rights reserved;1866-0002
20;Développement rural, Assurances agricoles, Énergie et changement climatique;Rural21-Vol:18-Nr:1/2011-Article:20;Améliorer le diagnostic du paludisme en Guinée équatoriale;"Aujourd'hui encore, le diagnostic du paludisme dépend presque exclusivement de la microscopie optique et, dans de nombreux pays en développement, il continue de souffrir de l'absence de programmes d'assurance qualité, en particulier dans les petits centres de santé périphériques en milieu rural. 

Des travaux actuellement menés en Guinée équatoriale visent à élaborer un programme décentralisé de formation et de certification pour des techniciens de laboratoire, qui prévoit l'utilisation de lames de sang palustre pour le diagnostic du paludisme. Cette collection nationale de lames sur le paludisme est une approche tout-à-fait novatrice qui pourrait, selon l'OMS, servir d'exemple pour d'autres pays également. ";"Robert Jordan; Miguel Torrez; Maximo Mico
";;DLG-Verlag;Rural21;2011/01;Français;"sustainable development; development agencies";;;Journal Articles & Books;Guinea;http://www.rural21.com/francais/archive-2005-2011/archive2011-01fr/monde-scientifique/ameliorer-le-diagnostic-du-paludisme-en-guinee-equatoriale/;http://www.rural21.com/fileadmin/_migrated/content_uploads/Ameliorer_le_diagnostic_du_paludisme_02.pdf;private://feeds/Rural21_2011-01_fr.jpg;All rights reserved;1866-0002
21;Développement rural, Assurances agricoles, Énergie et changement climatique;Rural21-Vol:18-Nr:1/2011-Article:21;De l'eau potable grâce à un filtre de type «sachet de thé»;"L’université de Stellenbosch, en Afrique du Sud, a annoncé que ses chercheurs avaient mis au point un nouveau système de fi ltrage de l’eau. Elle faisait allusion à un fi ltre jetable de haute technologie qui ressemble à un sachet de thé et rend potable l’eau très polluée. Il s’agit d’un fi ltre à eau facile d’emploi
et respectueux de l’environnement qui s’installe dans le goulot d’une bouteille. Selon l’université, cette invention doit permettre aux communautés vulnérables, par exemple celles qui vivent à proximité de cours d’eau pollués, d’accéder facilement à l’eau potable.";Ines Buck;;DLG-Verlag;Rural21;2011/01;Français;"water management; natural resources management; farming systems; sustainable land management; environment";Land Use, Management & Investment;"Land, Climate change & Environment; Land Stakeholders & Institutions";Journal Articles & Books;South Africa;http://www.rural21.com/francais/archive-2005-2011/archive2011-01fr/monde-scientifique/de-leau-potable-grace-a-un-filtre-de-type-sachet-de-the/;http://www.rural21.com/fileadmin/_migrated/content_uploads/De_l_eau_potable_grace_02.pdf;private://feeds/Rural21_2011-01_fr.jpg;All rights reserved;1866-0002
1;Initiatives en faveur de la sécurité alimentaire, Exploitation responsable des forêts, Populations migrantes;Rural21-Vol:18-Nr:2/2011-Article:1;Un contrôle qualité des initiatives mondiales;"La crise des prix des denrées alimentaires de 2008 a entraîné des émeutes de la faim dans plus de 30 pays. Elle a accru la priorité politique donnée à la sécurité alimentaire et nutritionnelle et a donné lieu à une série d’initiatives internationales, régionales et nationales visant à améliorer cette sécurité. Le présent document donne des détails synthétiques sur dix de ces initiatives, six d’entre elles étant prises au niveau international et quatre au niveau régional. L’impact (positif ou négatif) de ces initiatives dépendra de trois facteurs: la mise en place, par les pays en développement souffrant d’insécurité alimentaire, d’un cadre politique intérieur complémentaire visant à soutenir l’accroissement de la sécurité alimentaire et nutritionnelle; la tenue des engagements, par les pays donateurs, à assurer une aide supplémentaire; la façon dont les aides nationales et autres peuvent s’associer pour assurer une amélioration à court et moyen terme de la sécurité alimentaire et nutritionnelle. Chacun de ces facteurs doit être suivi de près.
";Tom Arnold;;DLG-Verlag;Rural21;2011/06;Français;"sustainable development; development agencies; food security";Land Use, Management & Investment;"Land & Food Security; Land Stakeholders & Institutions";Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2011-02fr/theme-phare-initiatives-en-faveur-de-la-securite-alimentaire/un-controle-qualite-des-initiatives-mondiales/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_8-12_2-2011.pdf;private://feeds/Rural21_2011-02_fr.jpg;All rights reserved;1866-0002
2;Initiatives en faveur de la sécurité alimentaire, Exploitation responsable des forêts, Populations migrantes;Rural21-Vol:18-Nr:2/2011-Article:2;Le nouveau Comité de la sécurité alimentaire mondiale: cygne où canard boiteux?;"Dans le sillage de la crise alimentaire mondiale de 2007/2008, le Comité de la sécurité alimentaire mondiale (CSA) a subi une profonde transformation. Le processus de réforme est prometteur dans la mesure où il reconnaît le CSA en tant que principal forum mondial débattant de la sécurité alimentaire et qu’il ouvre ses portes aux acteurs concernés, à savoir les organisations de petits producteurs de denrées alimentaires et de consommateurs urbains pauvres. 

Le nouveau CSA doit maintenant montrer qu’il est capable de prendre des décisions politiques faisant autorité et d’apporter des conseils normatifs aux autres acteurs ayant un impact sur la sécurité alimentaire, notamment les institutions financières et commerciales multilatérales. Il importe à présent de créer des liens entre la politique mondiale et les changements aux niveaux national et local qui font la différence dans la vie des gens.";Nora McKeon;;DLG-Verlag;Rural21;2011/06;Français;"food security; development agencies; land reform; sustainable development";Land Use, Management & Investment;"Land & Food Security; Land Stakeholders & Institutions";Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2011-02fr/theme-phare-initiatives-en-faveur-de-la-securite-alimentaire/le-nouveau-comite-de-la-securite-alimentaire-mondiale-cygne-ou-canard-boiteux/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_13-15_2-2011.pdf;private://feeds/Rural21_2011-02_fr.jpg;All rights reserved;1866-0002
