Artikel;Issue;ID;Title;Abstract/Description;Authors;Corporate authors;Publishers;Data Provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License
3;Desertification;Rural21-Vol:14-Nr:1/2007-Article:3;Regional aspects - Desertification in the Middle East and North Africa. Warning signs for a global future?;Desertification is nowhere more serious than in the Middle East and North Africa (MENA), stretching from Pakistan in the east to Morocco in the west, and from Ethiopia and Sudan in the south to Turkey in the north. Yet, many MENA countries have successfully rehabilitated large areas. Concerted efforts can indeed stop and even reverse desertification, though their long-term success will depend on how well they manage their limited water resources.;"Mark Winslow; Richard Thomas";;DLG-Verlag;Rural21;2007/1;English;"desertification; area; sustainable land management; water management; environment";Land, Climate change & Environment;Land Use, Management & Investment;"Eastern Africa; Northern Africa; Pakistan; Morocco; Ethiopia; Sudan; Turkey";Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2007-01en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_Desertification_-_Middle_East_and_North_Africa_0107.pdf;private://feeds/Rural21_2007-01_en.jpg;All rights reserved
4;Desertification;Rural21-Vol:14-Nr:1/2007-Article:4;Regional aspects - Sub-Saharan Africa. Combating desertification - the big challenge for the 21st Century;"Hardest hit by desertification is Sub-Saharan Africa, where poverty is more widespread, preparedness for catastrophe is lower, and means for adequately coping with the phenomenon are very weak; two thirds of the arable land will be lost by 2025.The subcontinent needs improved integrated initiatives on local, national und multinational level for a sustainable natural resources management. Environmental Information systems can increase awareness and throw light on decision making processes on the complexity of desertification badly needed by most African countries.";Dr Youba SOKONA;;DLG-Verlag;Rural21;2007/1;English;"desertification; poverty; sustainable land management; land governance; arable land; natural resources management";Land, Climate change & Environment;Land Use, Management & Investment;Sub-Saharan Africa;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2007-01en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_Regional_aspects___Sub-Saharan_Africa_0107.pdf;private://feeds/Rural21_2007-01_en.jpg;All rights reserved
5;Desertification;Rural21-Vol:14-Nr:1/2007-Article:5;Regional aspects - China. Desertification control in China - a formula for success?;Despite ambitious desertification control programmes, the area of desertified land has expanded continuously since the establishment of the People's Republic of China, with increasingly serious impacts on important industrial and settlement areas. Only in the new millennium is a reversal of this trend in sight.;"Dr Guido Kuchelmeister; Dr Nils Meyer";;DLG-Verlag;Rural21;2007/1;English;"desertification; sustainable land management; urbanization; land development (urbanization); land governance; land policies";"Land, Climate change & Environment; Urban Tenure";Land Policy & Legislation;China;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2007-01en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_Regional_aspects___China_0107.pdf;private://feeds/Rural21_2007-01_en.jpg;All rights reserved
6;Desertification;Rural21-Vol:14-Nr:1/2007-Article:6;Implementing National Action Programmes - the Moroccan example;Morocco is one of the African countries in which implementation of the UNCCD has progressed the furthest. In the Moroccan National Action Programme, integrated rural development, poverty reduction, drought mitigation and conservation of natural resources are the four cornerstones of effective desertification control.The country has succeeded in building up strong partnerships with most of its bilateral and multilateral development partners.;"Badraoui Mohamed;
Askarn Omar";;DLG-Verlag;Rural21;2007/1;English;"desertification; development agencies; sustainable development; land conservation; natural resources management; sustainable land management";"Land, Climate change & Environment; Land Stakeholders & Institutions";Land Use, Management & Investment;Morocco;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2007-01en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_Implementing_National_Action_Programmes_0107.pdf;private://feeds/Rural21_2007-01_en.jpg;All rights reserved
7;Desertification;Rural21-Vol:14-Nr:1/2007-Article:7;The United Nations Convention to Combat Desertification - UNCCD: The Rio conventions' poor little sister.;"The United Nations Convention to Combat Desertification (UNCCD) is one of the three conventions agreed at the 1992 Earth Summit in Rio de Janeiro. But from the very outset it has led a marginal existence, because industrialized countries feel far less concerned with desertification than developing countries. Moreover, the Convention?s targets are not binding and are open to a variety of interpretations by the Parties.The conflicting interests of environmental and
development policy are weakening its position further.";"Dr. Anneke Trux; Dr. Reinhard Bodemeyer";GIZ;DLG-Verlag;Rural21;2007/1;English;"desertification; sustainable land management; development agencies";"Land, Climate change & Environment; Land Stakeholders & Institutions";Land Policy & Legislation;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2007-01en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_UNCCD_0107.pdf;private://feeds/Rural21_2007-01_en.jpg;All rights reserved
8;Desertification;Rural21-Vol:14-Nr:1/2007-Article:8;The outlook for the UNCCD - German Development Cooperation's viewpoint. The Convention to Combat Desertification: Relevant or a relict?;In the ten years since it came into being, the United Nations Convention to Combat Desertification (UNCCD) has had little or no effect on the further encroachment of deserts. More than 80 countries have submitted National Action Programmes to combat desertification, but they appear to lack the financial and political commitment to implement them. What are the causes behind the UNCCD's weakness? How can the Convention be incorporated more effectively and efficiently into the architecture of international development?;"Dr Christoph Kohlmeyer; Ralf Wyrwinski";GIZ;DLG-Verlag;Rural21;2007/1;English;"desertification; encroachment; development agencies; land governance; sustainable development";"Land, Climate change & Environment; Land Stakeholders & Institutions";Land Policy & Legislation;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2007-01en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_The_outlook_for_the_UNCCD_0107.pdf;private://feeds/Rural21_2007-01_en.jpg;All rights reserved
9;Desertification;Rural21-Vol:14-Nr:1/2007-Article:9;The tsunami disaster - two years on Slow progress with reconstruction;The tsunami disaster on 26 December 2004 claimed more than 200,000 lives. It triggered an unprecedented outpouring of reconstruction assistance from both private and public donors.The prompt provision of emergency relief averted the threat of epidemics and prevented major movements of refugees out of the affected regions. However,many of the reconstruction measures failed due to poor coordination between the actors involved and the lack of expertise underlying some of the interventions.The reconstruction effort was also very slow to get off the ground.;"Dr Martin Baumann; Dr Hans-Joachim Preuss";;DLG-Verlag;Rural21;2007/1;English;"natural disasters; displacement; environment";Land, Climate change & Environment;;South East Asia;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2007-01en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_The_tsunami_disaster_0107.pdf;private://feeds/Rural21_2007-01_en.jpg;All rights reserved
10;Desertification;Rural21-Vol:14-Nr:1/2007-Article:10;What makes a disaster even more disastrous? Disaster Reduction is possible.;2005 was a year of natural disasters.The impacts of the tsunami in the Indian Ocean, Hurricanes Katrina and Stan, and the Pakistan earthquake prompted calls for better disaster prevention and preparedness systems. Nature's power renders us impotent, but human actions and omissions are clearly worsening the impacts of disasters in some cases.This is where risk reducing measures must lock in, as the last fifteen years of international disaster risk management show.;Dr Christina Bollin;;DLG-Verlag;Rural21;2007/1;English;"natural disasters; environment; displacement;";Land, Climate change & Environment;;"South East Asia; United States of America; Pakistan";Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2007-01en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_Disaster_Reduction_0107.pdf;private://feeds/Rural21_2007-01_en.jpg;All rights reserved
11;Desertification;Rural21-Vol:14-Nr:1/2007-Article:11;After the tsunami disaster. Rehabilitating fisheries and coastal areas.;The devastating tsunami has shown in a tragic way the great vulnerability and exposed nature of coastal communities to natural calamities. It also has drawn global attention to the poor living conditions of fishing communities and the many threats to the sustainable use of fishery resources and coastal ecosystems. Post-tsunami rehabilitation offers the opportunity to build back better, improve and make more secure the lives of disadvantaged sections of the population and set fisheries and coastal resource use on a sustainable footing.;Rolf Willmann;Food and Agriculture Organization of the United Nations (FAO);DLG-Verlag;Rural21;2007/1;English;"natural disasters; local community; coastal area; farmers; natural resources management; sustainable land management";Land, Climate change & Environment;Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2007-01en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_After_the_tsunami_disaster_0107.pdf;private://feeds/Rural21_2007-01_en.jpg;All rights reserved
12;Desertification;Rural21-Vol:14-Nr:1/2007-Article:12;From emergency relief to post-tsunami reconstruction - The Indonesian experience;Post-tsunami reconstruction has been under way in the Indonesian province of Aceh for nearly two years. In the authors' view, swift coordination of goals and instruments has enabled positive synergies to be created between short-term development-oriented emergency aid and long-term recovery. In this way, and by means of a conflict-sensitive approach, the aim is to guarantee the sustainability of the reconstruction effort.;"Thomas Schaef; Björn Thies";;DLG-Verlag;Rural21;2007/1;English;"natural disasters; development agencies; sustainable development";"Land, Climate change & Environment; Land Stakeholders & Institutions";Land Use, Management & Investment;Indonesia;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2007-01en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_From_emergency_relief...0107.pdf;private://feeds/Rural21_2007-01_en.jpg;All rights reserved
13;Desertification;Rural21-Vol:14-Nr:1/2007-Article:13;Early warning systems in the context of disaster risk management;People-centred early warning systems empower communities to prepare for and confront the power of natural hazards. However, the efficiency of such systems is to be measured in terms of lives saved and reduction in losses, which is directly related to the execution of an anticipated response by the people and institutions once a warning is issued.This paper addresses traditional views on early warning systems, and what it takes to transform them into efficient, people-centred systems.;" 
Juan Carlos Villagran de León;  Janos Bogardi; Stefanie Dannenmann; Reid Basher";;DLG-Verlag;Rural21;2007/1;English;"natural disasters; land governance; displacement";Land, Climate change & Environment;Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2007-01en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_Early_warning_systems...0107.pdf;private://feeds/Rural21_2007-01_en.jpg;All rights reserved
14;Desertification;Rural21-Vol:14-Nr:1/2007-Article:14;Disaster prevention: Risk awareness is the key;The series of dramatic natural events is never ending. 2005 again illustrated that natural disasters are unavoidable. For disaster prevention systems to function properly, investments in raising risk awareness are key.;Dr Thomas Loster;;DLG-Verlag;Rural21;2007/1;English;"natural disasters; environment; displacement; development agencies; land governance";"Land, Climate change & Environment; Land Stakeholders & Institutions";Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2007-01en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_Disaster_prevention_0107.pdf;private://feeds/Rural21_2007-01_en.jpg;All rights reserved
15;Desertification;Rural21-Vol:14-Nr:1/2007-Article:15;Global trends and the future of rural areas;Rural areas are not exempted from the impacts of globalisation. Global trends affecting agriculture are particularly significant in this respect. A number of options are available to developing countries in responding to these trends. Given the scarcity of resources it is important that they choose carefully. If they fail to respond, rural areas will become even more marginalized than they are already.;"Dr Michael Brüntrup; Professor Dr Dirk Messner";;DLG-Verlag;Rural21;2007/1;English;"farmland; agriculture; environment; land environment; natural resources management; sustainable land management; sustainable land use";Land, Climate change & Environment;Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2007-01en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_The_future_of_rural_areas_0107.pdf;private://feeds/Rural21_2007-01_en.jpg;All rights reserved
16;Desertification;Rural21-Vol:14-Nr:1/2007-Article:16;A view from the North. Rural areas in 2016: Vibrant or vacant?;Two images have dominated the northern media in recent months.The first is of desolation in remote, rural areas in Africa affected by drought, conflict or famine, such as in Somalia, northern Kenya or Darfur, Sudan. The second is a different kind of desolation - that of urban squalor as portrayed in the film «The Constant Gardener». Nairobi's Kibera, which provides a backdrop for the film, is a bustling shantytown with a population of ca. 800,000 people on 250 hectares.The contrast between this and the images from the dry north, with their miles of empty barrenness, could not be greater.;James Harvey;UK Department for International Development;DLG-Verlag;Rural21;2007/1;English;"farmland; environment; urbanization; slums; land; land environment; land use";"Land, Climate change & Environment; Urban Tenure";Land Use, Management & Investment;"Somalia; Kenya; Sudan";Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2007-01en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_Rural_areas_in_2016_0107.pdf;private://feeds/Rural21_2007-01_en.jpg;All rights reserved
17;Desertification;Rural21-Vol:14-Nr:1/2007-Article:17;Rural areas of the South in the year 2016 - a likely development scenario;The rural areas of the South have undergone vital socio-economic and technological changes marked by globalisation, economic liberalization and political decentralization and by the information and communication sector. Will these changes suffice to improve the living standards of the rural population and lessen the urban-rural gap or will the rural sector remain in isolation and be also in ten years time home of the poor?;Estifanos Zerai;;DLG-Verlag;Rural21;2007/1;English;"farmland; land use; land management; rural population; poverty; sustainable development";Land, Climate change & Environment;Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2007-01en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_Rural_areas_of_the_South__2016__0107.pdf;private://feeds/Rural21_2007-01_en.jpg;All rights reserved
18;Desertification;Rural21-Vol:14-Nr:1/2007-Article:18;A responsible approach to growth. The rural sector beyond 2015.;"More than 70 percent of the world's poor live in rural areas.The World Bank's approach to rural development is holistic and multisectoral, focused on improving the wellbeing of rural people by building their productive, social, and environmental assets. The author of this article explores what this means in the longer term horizon of beyond 2015.
 ";Kevin Cleaver;World Bank Group;DLG-Verlag;Rural21;2007/1;English;"rural areas; rural development; development agencies; sustainable development; sustainable land management";Land Stakeholders & Institutions;"Land Use, Management & Investment; Land Policy & Legislation";Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2007-01en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_The_rural_sector_beyond_2015_0107.pdf;private://feeds/Rural21_2007-01_en.jpg;All rights reserved
19;Desertification;Rural21-Vol:14-Nr:1/2007-Article:19;The future of rural areas from the German Development Cooperation perspective;Few aspects of development policy are better furnished with empirical evidence than the interplay between support for agriculture in the context of rural development and the reduction of poverty and hunger. It is therefore surprising that German Development Cooperation has today largely disengaged from activities in this area: Despite the evidence that practically nothing is more effective and sustainable than combating poverty where it is most often found, namely in the rural areas of poor countries,we fail to take that route.;Dr Christoph Kohlmeyer;GIZ;DLG-Verlag;Rural21;2007/1;English;"sustainable development; development agencies; rural development; poverty; food security; rural areas; rural population";"Land & Food Security; Land Stakeholders & Institutions";Land Policy & Legislation;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2007-01en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_The_future_of_rural_areas__German_perspective__0107.pdf;private://feeds/Rural21_2007-01_en.jpg;All rights reserved
1;Voluntary Guidelines on the Right to Food;Rural21-Vol:13-Nr:2/2006-Article:1;The right to food - A new legal instrument is created;"In November 2004, after a two-year drafting process, the FAO Council adopted the Voluntary Guidelines on the right to food - in effect, a new legal instrument for defending and enforcing the right to food.This article addresses the following questions:
What will this instrument be capable of achieving? Will the effort expended in creating the Guidelines prove to have been worthwhile? And, finally, will the implementation of this new approach to human rights contribute towards reducing the numbers of people suffering from hunger?";Michael Windfuhr;FIAN International;DLG-Verlag;Rural21;2006/7;English;"food security; development agencies; sustainable development";"Land & Food Security; Land Stakeholders & Institutions";Land Policy & Legislation;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2006-02en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_The_right_to_food_0206.pdf;private://feeds/Rural21_2006-02_en.jpg;All rights reserved
2;Voluntary Guidelines on the Right to Food;Rural21-Vol:13-Nr:2/2006-Article:2;The complex negotiations on the human right to food: «The birth of a zebra»;Negotiations to establish a set of Voluntary Guidelines on the human right to food, held under the auspices of FAO, were successfully completed in autumn 2004, with all 174 FAO member countries signing the final document. However, the negotiations proved to be far from straightforward, as many countries were anxious about the legally binding nature of the Guidelines. In spite of this, those involved managed to reach a compromise that was acceptable to all parties and yet retain the rights-based character of the Guidelines, thus enabling them to be adopted within a relatively short space of time.;Andreas von Brandt;;DLG-Verlag;Rural21;2006/7;English;"food security; development agencies; sustainable development; land policies";"Land & Food Security; Land Stakeholders & Institutions";Land Policy & Legislation;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2006-02en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_The_birth_of_a_zebra_0206.pdf;private://feeds/Rural21_2006-02_en.jpg;All rights reserved
3;Voluntary Guidelines on the Right to Food;Rural21-Vol:13-Nr:2/2006-Article:3;The Voluntary Guidelines on the right to food: Commitment to a human rights approach.;The Voluntary Guidelines on the human right to food provide a further instrument of international law in the fight against world hunger.The Guidelines promise to be a powerful new weapon in combating malnutrition.They forge an alliance between development policy and human rights in the struggle for the right to food. The «human rights approach» has become the new watchword in the fight against hunger.;Sven Söllner;;DLG-Verlag;Rural21;2006/7;English;"food security; development agencies; sustainable development; land policies; land rights";"Land & Food Security; Land Stakeholders & Institutions";Land Policy & Legislation;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2006-02en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_The_Voluntary_Guidelines_on_the_right_to_food_0206.pdf;private://feeds/Rural21_2006-02_en.jpg;All rights reserved
4;Voluntary Guidelines on the Right to Food;Rural21-Vol:13-Nr:2/2006-Article:4;Putting the Right to Adequate. Food into practice - concepts and lessons.;The Voluntary Guidelines to support the Progressive Realisation of the Right to Food have served the very useful purpose of placing the right to food squarely on the international development policy agenda.To avoid practice lagging behind theory, concerted efforts are required by governments, development agencies and donors to implement these Guidelines to accelerate the realisation of the right to food at country level. Lessons learned from such learning by doing will help show how to put the right to food into practice.;"Prof Dr Hartwig de Haen; 
Dr Julian Thomas";;DLG-Verlag;Rural21;2006/7;English;"food security; development agencies; sustainable development; land policies";"Land & Food Security; Land Stakeholders & Institutions";Land Policy & Legislation;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2006-02en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_Right_to_Adequate_Food__practice_0206.pdf;private://feeds/Rural21_2006-02_en.jpg;All rights reserved
5;Voluntary Guidelines on the Right to Food;Rural21-Vol:13-Nr:2/2006-Article:5;Strength in unity- Poverty reduction strategies and the right to food.;A lot is expected of poverty reduction strategies, and high hopes have been placed in the Voluntary Guidelines on the right to food. One question frequently raised is whether it is possible to integrate the right to food into the established instrument of poverty reduction strategies.The present article discusses to what extent the two approaches can mesh to make a significant contribution to hunger reduction.;Dr Hans-Joachim Preuss;Welthungerhilfe;DLG-Verlag;Rural21;2006/7;English;"food security; poverty; sustainable development; development agencies";"Land & Food Security; Land Stakeholders & Institutions";Land Policy & Legislation;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2006-02en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_Poverty_reduction_strategies_0206.pdf;private://feeds/Rural21_2006-02_en.jpg;All rights reserved
6;Voluntary Guidelines on the Right to Food;Rural21-Vol:13-Nr:2/2006-Article:6;Implementing the Voluntary Guidelines: challenges and options;Following unanimous approval of the Voluntary Guidelines (VGs) on the Right to Adequate Food by FAO member states, with civil society's broad support, the question of «next steps» arises. To explore how to put this important new tool to use, the German government, with support from FAO and German NGOs, organized its fourth International Workshop on «Policies Against Hunger», held in June 2005 in Berlin.;Marc J. Cohen;International Food Policy Research Institute;DLG-Verlag;Rural21;2006/7;English;"food security; development agencies; sustainable development";"Land & Food Security; Land Stakeholders & Institutions";Land Policy & Legislation;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2006-02en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_Implementing_the_Voluntary_0206.pdf;private://feeds/Rural21_2006-02_en.jpg;All rights reserved
7;Voluntary Guidelines on the Right to Food;Rural21-Vol:13-Nr:2/2006-Article:7;The Indian Supreme Court acknowledges the Right to Food as a Human Right;"Life without liberty would result in some or the other form of slavery. Liberty cannot be there to a person having an empty stomach.The individual's right to life will have no meaning if the State fails to provide adequate food or food articles.The Indian Constitution provides «right to life» as a Fundamental
Right.That right is given a wide interpretation by the Supreme Court so as to include «right to food» so that democracy and full freedom can be achieved and slavery in any form is avoided.";Justice M.B. Shah;;DLG-Verlag;Rural21;2006/7;English;"food security; land law; land policies";Land & Food Security;Land Policy & Legislation;India;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2006-02en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_The_Indian_Supreme_Court...0206.pdf;private://feeds/Rural21_2006-02_en.jpg;All rights reserved
8;Voluntary Guidelines on the Right to Food;Rural21-Vol:13-Nr:2/2006-Article:8;Fragile states from the perspective of rural communities;Fragile states, posing a major challenge of our times, are increasingly becoming a focus of attention in international politics and development cooperation. But very often, the viewpoint of the people affected by fragile statehood is not sufficiently heard. Parts of the international community prioritize their own security policy interests, the motto being the «war on terrorism». People in fragile states, by contrast, are primarily concerned with their own survival and the quest for development opportunities for themselves and their communities.;"Dr Armin K. Nolting; Dr Roman Poeschke";GIZ;DLG-Verlag;Rural21;2006/7;English;"food security; development agencies; sustainable development; local community; rural development";"Land & Food Security; Land Stakeholders & Institutions";Land Policy & Legislation;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2006-02en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_Fragile_states_0206.pdf;private://feeds/Rural21_2006-02_en.jpg;All rights reserved
9;Voluntary Guidelines on the Right to Food;Rural21-Vol:13-Nr:2/2006-Article:9;Why do states collapse, and what exactly happens?;Interest in the notion of «state failure» has seen a dramatic upsurge in recent years. As a rule, changes in global framework conditions are held responsible for this decrease in state control and legitimacy. But the prominence of this topic in the international debate easily overlooks the fact that the phenomenon of failing states is not new, but has existed since the division of the world into nation-states. Moreover, it is almost impossible to establish a uniform pattern of state failure. Nonetheless, specific functional, institutional and territorial deficits are characteristic of failed states.;Dr Conrad Schetter;;DLG-Verlag;Rural21;2006/7;English;"development agencies; sustainable development; food security";Land & Food Security;;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2006-02en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_Why_do_states_collapse_0206.pdf;private://feeds/Rural21_2006-02_en.jpg;All rights reserved
10;Voluntary Guidelines on the Right to Food;Rural21-Vol:13-Nr:2/2006-Article:10;"Country Study 1: 
Afghanistan - A state in upheaval";"Until 1978, the Afghan state was weak but stable. In contrast, rural regulatory structures that complemented the state have always been strong. It was only the attempt to establish a strong state on the basis of foreign ideologies and military over the heads of the rural population that ultimately led to chaos and collapse.Whereas the central state sometimes broke down, many state
institutions in the provinces demonstrated remarkable resilience, leading to a definite nation-state consciousness throughout large sections of the population.";Dr Bernt Glatzer;;DLG-Verlag;Rural21;2006/7;English;"agricultural and rural legislation; land law; rural development; rural population; poverty; food security";Land & Food Security;Land Policy & Legislation;Afghanistan;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2006-02en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_Afghanistan_0206.pdf;private://feeds/Rural21_2006-02_en.jpg;All rights reserved
11;Voluntary Guidelines on the Right to Food;Rural21-Vol:13-Nr:2/2006-Article:11;"Country Study 2: 
Somalia - no central government, but still functioning";Somalia is the longest known case in modern times of a country whose central state has ceased to exist for many years. Although Somalia is often said to be a country in chaos and anarchy, a new form of social organization emerged here some time ago. Indeed, many Somalis appear to have adapted well to their country's statelessness.;"Jutta Bakonyi; Dr Ahmed Abdullahi";GIZ;DLG-Verlag;Rural21;2006/7;English;"land conflicts; sustainable development";Land Conflicts;;Somalia;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2006-02en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_Somalia_0206.pdf;private://feeds/Rural21_2006-02_en.jpg;All rights reserved
12;Voluntary Guidelines on the Right to Food;Rural21-Vol:13-Nr:2/2006-Article:12;"Country Study 3: 
Sierra Leone - a state on the move";After ten years of civil war in which grave human rights violations and atrocities were committed, especially against women and children, Sierra Leone was regarded as a «failed state». A massive UN peacekeeping mission managed to demobilize the combatants in 2002 and peace was restored. Public institutions have begun to resume their functions and the economy is showing signs of recovery. Nonetheless, the country's stability and structures are still fragile. So how can development cooperation contribute towards stabilizing Sierra Leone?;Dr Nicole Rudner;;DLG-Verlag;Rural21;2006/7;English;"land conflicts; sustainable development; development agencies";Land Conflicts;;Sierra Leone;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2006-02en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_Sierra_Leone_0206.pdf;private://feeds/Rural21_2006-02_en.jpg;All rights reserved
13;Voluntary Guidelines on the Right to Food;Rural21-Vol:13-Nr:2/2006-Article:13;Fragile states: What can we learn from the country studies?;Afghanistan, Sierra Leone and Somalia: these three countries stand for different histories of a fragile state.The author of this article analyses different case studies to determine the various causes, such as the role of ethnic identities, claims to power by clans and other sub-state groups, or the lack of societal representation within the governments. For the author, the greatest risk to a state is violence, which can quickly spiral out of control in a weak state and lead to chaos.;Dr Jochen Hippler;;DLG-Verlag;Rural21;2006/7;English;"land conflicts; land governance";Land Conflicts;;"Afghanistan; Sierra Leone; Somalia";Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2006-02en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_Fragile_states_What_can_we_learn...0206.pdf;private://feeds/Rural21_2006-02_en.jpg;All rights reserved
14;Voluntary Guidelines on the Right to Food;Rural21-Vol:13-Nr:2/2006-Article:14;External action to overcome fragile structures: What can development policy achieve?;Development policy has to deal with the full spectrum of fragility in developing countries, which can range from individual deficits, for example in guaranteeing security, to the total collapse of state structures.The scope available to development policy and other external actors is always limited. Nevertheless, starting points are often on hand to achieve some measure of stability and help overcome weak state structures.;Dr Stephan Klingebiel;;DLG-Verlag;Rural21;2006/7;English;"development agencies; sustainable development; land policies; poverty";"Land Conflicts; Land Stakeholders & Institutions";;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2006-02en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_What_can_development_policy_0206.pdf;private://feeds/Rural21_2006-02_en.jpg;All rights reserved
15;Voluntary Guidelines on the Right to Food;Rural21-Vol:13-Nr:2/2006-Article:15;The urban transition: challenges and opportunities;Urbanisation and economic transformation - the growth of non-farm, industrial and service sectors - offer many opportunities for improvements in poor people's lives.The crucial challenge is to ensure that places work better for people, providing an enabling and supporting environment for changing livelihoods and economies. But all too often there is a failure to recognise and manage the urban transition, resulting in the continuing urbanisation of poverty, vulnerability and exclusion.;"Jane Hobson; Rachel Phillipson";UK Department for International Development;DLG-Verlag;Rural21;2006/7;English;"urbanization; farmland; urban areas; sustainable development; poverty; land governance";Urban Tenure;Land Policy & Legislation;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2006-02en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_The_urban_transition_0206.pdf;private://feeds/Rural21_2006-02_en.jpg;All rights reserved
