ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publication date;Languages;Related concepts;Themes;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages;Potential List;Internal ID;
"UNCCD:352";"International Land Coalition (ILC) annual report 2013";"";"In 2013, the International Land Coalition (ILC) marked a historic expansion in its membership, reaching 152 member organisations in 56 countries, representing diverse interests and entities from national civil society organisations (CSOs) and grassroots movements to international non-governmental organisations (NGOs) and United Nations agencies, all with a common agenda to work together on behalf of the world’s most vulnerable people to make tangible progress in achieving secure and equitable access to land.ILC has also become a leading advocate for transparency and open knowledge on land governance issues.The Coalition and its partners have launched a new and improved version of the Land Matrix Global Observatory, an online database of large-scale land acquisitions, which has gained critical acclaim and received widespread coverage in the world’s media";"";"International Land Coalition";"International Land Coalition";"United Nations Convention to Combat Desertification";"2014-12-31";"en";"community land rights;grassroots organizations";"Indigenous & Community Land Rights;Land Stakeholders & Institutions";"COG;COL;GTM;MDG;MNG;NPL;TGO;TZA";"Journal Articles & Books";"https://library.unccd.int/Details/fullCatalogue/352";"http://www.landcoalition.org/sites/default/files/ILCAnnualReport2013.pdf";"";"";"";"94";"";""
"UNCCD:482";"Ambition, regulation and reality. Complex use of land and water resources in Luwu, South Sulawesi, Indonesia";"";"This book deals with the socio-legal aspects of the use and management of land and water
resources in (former) Luwu District (Kabupaten Luwu) in the Province of South Sulawesi (Propinsi
Sulawesi Selatan; These aspects of resource use in Luwu are analyzed in the context of the socio-economic, political and development policy environment that has a great impact on the ways rights to natural resources are defined and regulation takes place. Problems of governance and management of land and water resources in Indonesia show a remarkable continuity from colonial times onwards, and are characterized by a high degree of ‘messiness’ rather than linear progress and increasing control. State attempts to control land through registration and titling, the existence of different conceptions and definitions of land rights by various state and non-state actors, and the difficulties in coping with customary definitions of land rights are characteristic of the history of land policy from colonial times, and a continuing source of social tension.";"Roth, Dik";"";"";"United Nations Convention to Combat Desertification";"2003-12-31";"en";"land access;land policies;land reform;land tenure;land tenure;land tenure systems;migration";"Indigenous & Community Land Rights;Land Stakeholders & Institutions;Socio-Economic & Institutional Context";"IDN";"Journal Articles & Books";"https://library.unccd.int/Details/fullCatalogue/482";"http://catalogue.unccd.int/482_19978.pdf";"";"";"";"353";"";""
"UNCCD:747";"Africa Human Development report 2016. Accelerating Gender Equality and Women’s Empowerment in Africa";"";"This 2016 Africa Human Development Report on gender equality follows the 2012 Africa Human Development Report, which looked at the importance of assuring food security for all Africans. Both reports share a common objective of addressing what might be considered two unfinished agenda items on Africa’s development trajectory. Both have long been recognized as important priorities for the governments and citizens of African countries.This year’s report on gender equality reviews the ongoing efforts of African countries to accelerate the pace of assuring women’s empowerment through all spheres of society – in the home and community, in health and educational attainment, in the workplace, and in political participation and leadership. 
While significant progress has been made across numerous fronts in most countries, gender equality for African women and girls is still far from satisfactory. To address the gender gap, this report adopts a political economy approach to gender equality and women’s empowerment in Africa.
A key message of this report is that giving more concerted attention to gender equality will be an important and long overdue stimulus to faster and more inclusive human development and economic growth for the
entire continent.";"";"United Nations Development Programme";"United Nations Development Programme";"United Nations Convention to Combat Desertification";"2016-12-31";"en";"land access;women";"Indigenous & Community Land Rights;Land & Gender;Land Stakeholders & Institutions;Socio-Economic & Institutional Context";"002";"Journal Articles & Books";"https://library.unccd.int/Details/fullCatalogue/747";"http://catalogue.unccd.int/747_AfHDR_2016_EN.pdf";"";"";"";"192";"";""
"UNCCD:1301";"Governing Tenure Rights to Commons: A guide to support the implementation of the Voluntary Guidelines on the Responsible Governance of Tenure of Land, Fisheries and Forests in the Context of National Food Security";"";"The Voluntary Guidelines on the Responsible Governance of Tenure of Land, Fisheries and Forests in the Context of National Food Security (FAO, 2012 – referred to in this guide as ‘the Guidelines’) were unanimously adopted by the Committee on World Food Security (CFS) in 2012, with subsequent broad international recognition and support. Their strength rests on the unique inclusive and participatory process through which they were developed. They are an instrument of soft law, but they are also strongly rooted in existing international human rights law, laying out the obligations and responsibilities of state and non-state actors to govern tenure of land, fisheries and forests responsibly, including commons. They provide internationally agreed guidance on how to recognize, protect and support legitimate tenure rights, including individual and collective tenure rights, and those employed under customary systems.

Secure tenure rights to commons are crucial for women and men, indigenous peoples and local communities in various contexts, including fisherfolk, pastoralists, farmers, landless people, and other vulnerable, food insecure and marginalized groups. They depend on commons for their fundamental well-being: for access to food, for sustaining their livelihoods, and for their cultural and social identity. The Guidelines represent a historic opportunity to guide governments and hold them accountable in assuming their duties and fulfilling their obligations to implement secure tenure for the legitimate holders of rights to commons.

By following the guidance and principles of the Guidelines, governments will contribute to translating internationally agreed goals on sustainable development into national and local realities: to respond to the livelihood needs of their people; to achieve food security and eradicate poverty; to realize the right to food, self-identification and self-determination; to support the sustainable use of natural resources and equitable access to and control of the resources; to achieve sustainable social and economic development. The Guidelines acknowledge the crucial role played by participation, and call on governments to support the activities of civil society to increase the uptake of the Guidelines’ principles.

This technical guide on Governing Tenure Rights to Commons provides strategic guidance and suggested practices for proactively implementing the standards and recommendations of the Guidelines, with the aim of recognizing and protecting tenure rights to commons and community-based governance structures. The guide was prepared by the Institute for Advanced Sustainability Studies (IASS) whose research on sustainability and land governance is based on a transdisciplinary approach. This aims to achieve the cogeneration of knowledge by actors from civil society, government and science, in order to create viable strategies for responsible and sustainable land governance. In accordance with this approach and objective, the guide was developed through a comprehensive multi-stakeholder process: the deliberation of relevant strategy recommendations took place via an international Sounding Board of commons experts, and a series of deliberation and consultation workshops with actors from various constituencies around the world.";"Vhugen, Darryl";"Food and Agriculture Organization of the United Nations (FAO);Institute for Advanced Sustainability Studies";"Food and Agriculture Organization of the United Nations (FAO)";"United Nations Convention to Combat Desertification";"2016-12-31";"en";"agriculture;indigenous peoples;land access;land governance;land rights;land tenure;land use;women";"Indigenous & Community Land Rights;Land & Gender;Land Stakeholders & Institutions;Land, Climate Change & Environment;Socio-Economic & Institutional Context";"001";"Journal Articles & Books";"https://library.unccd.int/Details/fullCatalogue/1301";"http://catalogue.unccd.int/1301_FAO_Tenure_Commons.pdf";"";"";"";"84";"";""
"UNCCD:1310";"Making rangelands secure: Past experience and future options";"";"Significant progress has been made over the past decade or so in the development of policy and legislation that support the recognition of customary rights to land, with important legal rulings in Tanzania, Uganda, Mozambique, South Sudan, and South Africa. At the same time, the strengthening of communities’ traditional rights to use resources has progressed through community forest reserves and community conservation areas.

However, many commons remain highly vulnerable, with land being removed by governments for national parks and large tracts appropriated for commercial agricultural investment on a regular basis (Alden Wily 2011). In particular this is true of the rangelands, where external interest in land for agriculture, and in its resources for other commercial ventures such as tourism, has grown. Even the most progressive policies and legislation still fail to provide adequate protection to many rangeland users and, most commonly, to the poorest and least powerful. At the same time, customary institutions that would have provided adequate protection in the past have been weakened due to both internal and external influences.

This is the situation faced by many members of the International Land Coalition (ILC) working with rural communities who are highly vulnerable to land and resource appropriation and loss. In an attempt to address this, in October 2010 ILC brought a group of its members together in Addis Ababa to develop a learning initiative that will explore this topic through 2011–2012.1 The aim of this initiative is to identify ways in which the security of customary land users over their common property resources (including land) can be strengthened. In particular, it will focus on multi-use landscapes or territories such as rangelands, where the vulnerability of land and resource users is particularly high.

As a first step in the development of the learning initiative, this scoping paper explores past and present experiences of land and resource tenure in rangelands (predominantly in Africa, where the bulk of the rangelands are located). It discusses the limitations of many of the tools and systems used to date, and identifies alternatives that have potential for providing greater security of tenure to rangeland users in the future. The further exploration of these alternatives will be the task of those taking part in the learning initiative over the next year.";"Flintan, Fiona";"";"International Land Coalition";"United Nations Convention to Combat Desertification";"2012-12-31";"en";"land access;land rights;land tenure;land use;rangelands;tenure security";"Indigenous & Community Land Rights;Land, Climate Change & Environment;Rangelands, Drylands & Pastoralism";"002";"Journal Articles & Books";"https://library.unccd.int/Details/fullCatalogue/1310";"http://catalogue.unccd.int/1310_ILC_Making_Rangelands_Secure.pdf";"";"";"";"87";"";""
"UNCCD:1353";"Gender, land and agricultural development in Africa. From women to gender";"";"While academics have largely shifted their focus from ‘women in development’ to addressing women and men as
part of broader ‘gendered’ social relations, this shift is yet to be fully translated into development practice. This
requires development practitioners to be sensitive to local contexts and to the various inequalities they contain
with regards to land rights and land use (based on class, gender, age, migration status etc.).
•• Empowering women means more than just providing them with a property title. They need to be educated on their rights and find their voice in local and national decision-making processes in order to be able to challenge existing gender stereotypes and claim their rights to access land.
•• Empowering women also requires the inclusion of, and support of, men, for example through raising awareness about gender and land among men to build social legitimacy for gender-equitable institutions and decisionmaking processes on land.
•• Agricultural investments specifically need to be grounded in broad-based consultations through their initial design, structuring and negotiating stages. They then need to be carefully monitored by governments and development agencies throughout project implementation to ensure that they do not exacerbate existing inequalities around gender and land, but recognise, respect and compensate for the alienation of different land users’ rights.

About: Land: Enhancing Governance for Economic Development (LEGEND) is a DFID programme that aims to improve land rights protection, knowledge and information, and the quality of private sector investment in DFID priority countries. It includes the development and start-up of new DFID country land programmes, alongside knowledge management activities, a challenge fund to support land governance innovations, and management ofcomplementary DFID grants, MoUs and contracts, and supported by a Core Land Support Team.";"Lanz, K,
Daley, E.";"UK Department for International Development";"UK Department for International Development";"United Nations Convention to Combat Desertification";"2016-12-31";"en";"land;land access;women";"Indigenous & Community Land Rights;Land & Gender;Land Stakeholders & Institutions;Socio-Economic & Institutional Context";"002";"Journal Articles & Books";"https://library.unccd.int/Details/fullCatalogue/1353";"http://catalogue.unccd.int/1353_Gender_land_agri_development.pdf";"";"";"";"16";"";""
"UNCCD:1390";"Youth access to land, migration and employment opportunities: evidence from sub-Saharan Africa";"";"This paper examines the intersections between youth access to land, migration decisions and employment opportunities using nationally representative and multi-year data from multiple African countries. We document evidence on the evolving dynamics in land distribution and ownership patterns, the effect of land access on youth livelihood choices and development of rental and sales market in the region. 

The report highlights six key findings:  
#First, a progressively smaller proportion of young people are inheriting land due to land scarcity.  
#Second, rural youth who do inherit land will need to wait longer to gain access to it because of significantly longer adult life spans. 
#Third, land scarcity has been driving rapid changes in the land ownership and distribution patterns over the past decade and shaping the employment and migration decisions of rural youth.  
#Fourth, the share of individual labour time devoted to farming is declining over time across age categories and gender, signifying that continued economic transformation processes are underway in Africa.   Nonetheless, farming still accounts for significant shares of individuals’ labour time, particularly between the ages of 15 to 19 years.  As young people progress into their 20s and 30s, the share of their work time in farming significantly declines in favour of off-farm employment opportunities.  
#Fifth, access to land is an important determinant of the share of the labour time that young people devote to farming activities and their decision whether to migrate out of their home area. Other factors such as education, age of the household head and number of male or female siblings also significantly influenced youth livelihood choices.  
#Sixth, we find a strong inverse relationship between participation in land rental markets and the age of household head:  younger heads are generally more likely to rent in land than older heads, particularly in countries with relatively active rental markets.  

Overall, the analysis suggests that policy actions promoting access to land and security of tenure will significantly shape young people’s engagement in farming and livelihood options. To be successful, such policies will need to recognize and anticipate the impacts of the evolving dynamics in land distribution and ownership trends and develop effective responses that will foster inclusive, competitive and productive agricultural growth.  Policies to promote youth access to land and security of tenure are not necessarily intended to keep youth permanently engaged in farming but rather to stimulate dynamic agricultural productivity growth in ways that drive continued economic transformation and diversification.";"Yeboah, Kwame F.
Jayne, T.S.
Muyanga, J.
Chamberlin, J.";"International Fund for Agricultural Development (IFAD)";"International Fund for Agricultural Development (IFAD)";"United Nations Convention to Combat Desertification";"2019-12-31";"en";"agriculture;food security;land access;land tenure;land tenure;land tenure systems;rural development;rural population;youth";"Indigenous & Community Land Rights;Land & Food Security;Land Stakeholders & Institutions;Socio-Economic & Institutional Context";"002;011;014;017;018;202;ZAF";"Journal Articles & Books";"https://library.unccd.int/Details/fullCatalogue/1390";"http://catalogue.unccd.int/1390_13_Yeboah et al._2019 RDR BACKGROUND PAPER(1).pdf";"";"";"";"50";"";""
"UNCCD:1391";"The narrative on rural youth and economic opportunities in Africa: facts, myths and gaps";"";" A narrative on rural youth in Africa has continued to evolve in policy circles around the world. Much of it is driven by population statistics that point to an imminent youth bulge in Africa and concerns about a poor economic outlook (stagnation) for African productivity and growth. Fears of massive unemployment, social unrest and undesirable migration due to limited economic growth drive the bulk of the discourse. This is juxtaposed with the promise of a youth dividend for the continent, which is highlighted by some quarters of the policy debate. 

This paper reviews the narrative on rural youth and economic opportunities in Africa, using a set of policy documents from various African countries and regional and international organizations. It then looks at the evidence to question the validity of the narrative. Where evidence does not exist, the paper uses available data from a variety of sources to begin painting a descriptive picture on rural youth in Africa. Some misconceptions in the narrative are identified. These include the notions that rural youth are not engaging in agriculture, that they are better educated (skilled) and that they are more likely to use and benefit from internet and communications technologies (ICT). In addition, the notion that youth entrepreneurship offers great promise for rural youth in Africa is brought into question.

What this paper shows is that rural youth in Africa are in fact engaging in agriculture and the agrifood system in general. Moreover, while rural transformation is indeed taking place, with some rural youth moving into other sectors of the economy, large numbers of African rural youth are still predicted to enter the agrifood system in the coming decades. This calls for more investment in African agriculture to enhance the prospects of rural youth in Africa. While the evidence does show that African youth are indeed more educated than their parents and previous generations, several constraints on the level and quality of learning in rural Africa are raised. In particular, young African women in rural areas face a multitude of barriers to human capital formation, including early pregnancy and parenthood as well as early marriage. These constrain their prospects for continued learning and skills development and in turn limit their economic outlook. New evidence on non-cognitive skills development and learning outside conventional school settings provides important insights on some of the promising interventions that could enhance human capital formation among rural youth, especially for young women in Africa. 

The paper also identifies major constraints on IT access, especially the prohibitive cost of mobile phone services. Low access to capital and skills continue to constrain rural youth entrepreneurship and are likely to persist if relevant investments are not made and policy action is not taken. Drawing on the broad literature review and data analysis, the paper concludes with recommendations on policy and investments for rural youth in Africa. The paper also highlights the need for rigorous research on identified knowledge gaps";"Mabiso, Athur
Benfica, Rui";"International Fund for Agricultural Development (IFAD)";"International Fund for Agricultural Development (IFAD)";"United Nations Convention to Combat Desertification";"2019-12-31";"en";"agriculture;food security;land access;land tenure;land tenure;land tenure systems;rural development;rural population;youth";"Indigenous & Community Land Rights;Land & Food Security;Land Stakeholders & Institutions;Socio-Economic & Institutional Context";"002;011;014;017;018;202;ZAF";"Journal Articles & Books";"https://library.unccd.int/Details/fullCatalogue/1391";"http://catalogue.unccd.int/1391_21_Mabiso and Benfica_2019 RDR BACKGROUND PAPER(1).pdf";"";"";"";"78";"";""
"UNCCD:1392";"Investing in rural youth in the Near East, North Africa, Europe and Central Asia";"";"Countries of the Near East, North Africa, Europe and Central Asia (NEN) region face a myriad of social, economic and political challenges that have stalled their structural and rural transformation processes. This has had a detrimental impacton rural youth, who, as a result, face limited economic opportunities. The NEN region has the highest youth unemployment rates in the world. Weak education systems are failing to provide youth, especially in rural areas, with the cognitive and non-cognitive skills they need to compete in a global economy. 

The NEN region also suffers from low levels of female labour force participation. Excessive regulation has dampened the agricultural business climate. This is especially problematic given that the region is among the most water-scarce in the world, a condition further aggravated by global warming. The resulting high rates of joblessness, unemployment and informal work have encouraged rural youth to migrate to urban areas and abroad in search of better opportunities.  This background paper reviews the opportunities and challenges facing rural youth in the NEN region and suggests a number of programme and policy priorities that NEN governments should consider. 

These include (1) improving the rural business environment and moving away from resource-depleting rentier systems that institutionalize cronyism and dependency; (2) reforming education systems to provide rural youth with the market-relevant skills they need to succeed; (3) addressing gender imbalances and developing policies to ensure that young women are able to find acceptable work; (4) improving the evidence base on effective rural youth policies and programmes; and (5) improving access to microfinance and business services for rural youth who are trying to start, manage or grow a business.";"Kabbani, Nader";"International Fund for Agricultural Development (IFAD)";"International Fund for Agricultural Development (IFAD)";"United Nations Convention to Combat Desertification";"2019-12-31";"en";"agriculture;food security;land access;land tenure;land tenure;land tenure systems;rural population;women;youth";"Indigenous & Community Land Rights;Land & Food Security;Land & Gender;Land Stakeholders & Institutions;Socio-Economic & Institutional Context";"002;015;143;145;150";"Journal Articles & Books";"https://library.unccd.int/Details/fullCatalogue/1392";"http://catalogue.unccd.int/1392_20_Kabbani_2019 RDR BACKGROUND PAPER(1).pdf";"";"";"";"47";"";""
"UNCCD:1393";"The rural youth situation in Latin America and the Caribbean";"";" This article offers a general picture of the situation of rural youth in Latin America and the Caribbean(LAC). The population is described through its demographic dynamics, its socio-economiccharacteristics, the situation of priority groups (women and indigenous peoples) and subjects ofinterest for these particular population groups (use of IT, sexual and reproductive health, violence andsocial participation). 

The available data regarding these dimensions are presented noting the existinggaps, both about urban youth and about adults, and contrasting the data with the available literatureon youth in the region.From the results, it is worth noting that the region’s youth represents a heterogeneous group, althoughone with common characteristics that sets it apart as a group of interest. Particularly, it can be seenthat there are still gaps between rural and urban youth in the areas of poverty, education andworkforce integration in every country, although with important differences between them. 
Thus,ruralyouth appear to be an especially vulnerable group, a situation that is aggravated in women,indigenous people and Afro-descendants. The lack of opportunities in rural areas causes this group to migrate to cities in larger proportions than adults, which has important consequences for their places oforigin.As recommendations, we propose the introduction of the gap closure approach into the analysis, withparticular emphasis on the new roles and the economic, social and political weight of younger ruralwomen, recognizing the importance and implications of the ever-growing indigenous composition ofthe populations in LAC. 

Likewise, it is vital to advance the production of data that are disaggregated ona subregional scale and by age groups, which allowus to generate specific information and to developpublic programmes and policies that are relevant, with a territorial and rights approach, and thatcontribute to closing gaps and ensuring equality and opportunity for all of the region’s youth";"Guiskin, Maia
Yanes, Pablo
del Castillo Negrete, Miguel";"International Fund for Agricultural Development (IFAD)";"International Fund for Agricultural Development (IFAD)";"United Nations Convention to Combat Desertification";"2019-12-31";"en";"agriculture;food security;land access;land tenure;land tenure;land tenure systems;migration;rural population;women;youth";"Indigenous & Community Land Rights;Land & Food Security;Land & Gender;Land Stakeholders & Institutions;Socio-Economic & Institutional Context";"419";"Journal Articles & Books";"https://library.unccd.int/Details/fullCatalogue/1393";"http://catalogue.unccd.int/1393_19_Guiskin_2019 RDR BACKGROUND PAPER(1).pdf";"";"";"";"47";"";""
"UNCCD:1394";"Investing in rural youth in the Asia and the Pacific region";"";"Thispaper characterizes the structural and rural transformation of the Asia and the Pacific region(APR), highlighting the implications for rural youth opportunities and challenges, and identifying andelaborating on the characteristics, opportunities and challenges related to rural youth inclusion. Nearly half of the population in Asia is urban, with the proportion projected to rise to 59 per cent by 2035. 

Except for China, the majority of youth still reside in rural areas. Youth labour force participation ishigher in rural than urban areas, and for males than females. Rural youth in countries with lowstructural transformation and low rural transformation continue to rely on agriculture for employment; incountries with high levels of transformation, a majority of rural youth are now employed outsideagriculture (though it is still the biggest contributor to rural youth employment). 

About one fifth of youthin Asia are not in education, employment or training. More than 86 per cent of employed youth in Asiaand the Pacific are in the informal sector, greater than the proportion of informal employment among adult workers.The full potential for structural transformation in APR may fail to be realized because of barriers facing rural youth in terms of migration,achieving full human development, gaining access to land, farmtechnology, financial services, and other enterprise support. 

Promising areas for investing in the futureof rural youth are the following.
Access to land: there is some quantitative evidence showing the benefits of freehold titling programmes, which suggests opportunities for improving tenure for rural youth and especially women already cultivating land.

Education and human development: investments in school facilities in villages have beenfound toimprove enrolment and learning outcomes. The farmer field school approach is also effective.Information and communication technology (ICT) can promote agricultural extension, which appears toaugur well for youth, who appear to be pioneer adopters of ICT in rural villages. 

Expansion of vocational education is beneficial especially where its incidence is low. In Asia, linkage with futureemployment is the single most important factor in training success. Sexual and reproductive healtheducation, counselling and contraceptive availability are effective in increasing adolescent knowledgerelated to sexual health, contraceptive use and decreasing adolescent pregnancy.

Access to finance and enterprise support:social funds/microcredit operations are effective financialinstruments that can be easily inserted in community demand-driven interventions for rapid jobcreation with extended outreach. Enterprise support should not rely on credit alone but should alsoprovide a wider range of business development services.";"Briones, Roehlano";"International Fund for Agricultural Development (IFAD)";"International Fund for Agricultural Development (IFAD)";"United Nations Convention to Combat Desertification";"2019-12-31";"en";"land access;land tenure;land tenure;land tenure systems;rural population;sustainable land management;women";"Indigenous & Community Land Rights;Land & Gender;Land Stakeholders & Institutions;Land, Climate Change & Environment;Socio-Economic & Institutional Context";"419";"Journal Articles & Books";"https://library.unccd.int/Details/fullCatalogue/1394";"http://catalogue.unccd.int/1394_18_Briones_2019 RDR_BACKGROUND PAPER(1).pdf";"";"";"";"34";"";""
"UNCCD:400000338";"Questions de genre en zones sèches: Les femmes, actrices de la lutte contre la désertification";"";"The economic and social organization of rural societies has a high level of gender differentiation in terms of rights, activities
and responsibilities. This interacts with other aspects of social stratification based on factors such as ethnicity, statutory groups, religion and level of wealth. Consequently, women do not represent a homogeneous category, but a group whose interests are sometimes conflicting and which are equally subject to power relations. Some observations:

• The sexual division of labour is universal, but varies from one society to another as well as over time. Women are often assigned to jobs (such as unpaid domestic work) that are accorded less value both socially and economically.
• The organization of work is only marginally based on the strictly physical capacities of men and women. More so it arises from complex interactions between diverse family models, technoeconomic transformation, and power relations within a society. For example, a so-called ‘women’s’ activity may begin to interest men as a result of technological change or an increase in market value.
• Quantifying the activities of women in rural areas is difficult due to their relative invisibility in statistics and surveys. These are often restricted to collecting data on the head of the household or farm and include few of the economic activities – market or non-market – that women are involved in. Women often work more hours than men, and they have a larger share of non-commercial activities.
• In relation to men, women have fewer access rights to resources, both tangible (e.g. property, money) and intangible (e.g.
consideration, representation in decision-making bodies, educational level).
• Gender also influences access to natural resources – land, water, trees, etc. The disparity between men and women can be partly explained by unequal modes of transmission of the rights to these resources.";"Droy, Isabelle
et al.";"";"";"United Nations Convention to Combat Desertification";"2019-12-31";"en";"land access;land rights;women";"Indigenous & Community Land Rights;Land & Gender;Land Stakeholders & Institutions;Socio-Economic & Institutional Context";"001";"Journal Articles & Books";"https://library.unccd.int/Details/fullCatalogue/400000338";"http://catalogue.unccd.int/338_CSFD_dossier_gender_eng.pdf";"";"";"";"";"";""
"UNCCD:377";"21 Issues for the 21st Century: Result of the UNEP Foresight process on emerging environmental issues";"";"The purpose of the UNEP Foresight Process is to produce, every two years, a careful and authoritative ranking of the most important emerging issues related to the global environment. UNEP aims to inform the UN and wider international community about these issues on a timely basis, as well as provide input to its own work programme and that of other UN agencies, thereby fulfilling the stipulation of its mandate: “keeping the global environment under review and bringing emerging issues to the attention of governments and the international community for action”.Concerns over future energy and food supplies have led to a new rush
for acquiring lands in developing countries by both foreign and national investors. Research shows that the rate of land acquisition has greatly accelerated over the past few years. There is a need to better understand the scale of the phenomenon, the main countries at risk, and the trade-offs involved. It is also important to grasp how this trend will affect livelihoods, food security, ecosystem services, and conflicts.";"";"United Nations Environment Programme";"United Nations Environment Programme";"United Nations Convention to Combat Desertification";"2012-12-31";"en";"land acquisitions";"";"001";"Journal Articles & Books";"https://library.unccd.int/Details/fullCatalogue/377";"http://catalogue.unccd.int/377_Foresight_Report-21_Issues_for_the_21st_Century.pdf";"";"";"";"60";"";""
"UNCCD:406";"Down on the farm: Wall street: America's new farmer";"";"The first years of the twenty-first century will be remembered for a global land rush of nearly unprecedented scale. An estimated 500 million acres, an area eight times the size of Britain, was reported bought or leased across the developing world between 2000 and 2011, often at the expense of local food security and land rights. When the price of food spiked in 2008, pushing the number of hungry people in the world to over one billion, the interest of investors spiked as well, and within a year foreign land deals in the developing
world rose by a staggering 200 percent. Today, enthusiasm for agriculture borders on speculative mania. Driven by everything from rising food prices to growing demand for biofuel, the financial sector is taking an interest in farmland as never before.";"";"Oakland Institute";"Oakland Institute";"United Nations Convention to Combat Desertification";"2014-12-31";"en";"agricultural land management;farming systems;land acquisitions;sustainable land management";"Land & Food Security;Land, Climate Change & Environment";"001";"Journal Articles & Books";"https://library.unccd.int/Details/fullCatalogue/406";"http://catalogue.unccd.int/406_OI_Report_Down_on_the_Farm.pdf";"";"";"";"35";"";""
"UNCCD:716";"Land in German Development Cooperation: Guiding principles, challenges and prospects for the future.";"";" “Land matters” – more than ever! Can land be dealt with like other resources or – in terms of an economic perspective– forms of capital. Or does it attract particular meanings, sentiments, interests, acquisition strategies or social relations? 
What is particular to the production and dissemination of knowledge and capacity building about “land”? Is the influence of donor agencies, cooperation partners, NGOs and of science on decision-making meanwhile stronger on land than in other policy fields of development cooperation as it is embedded in numerous value judgments on justice, fairness, equity and inclusion of the poor and other disadvantaged groups like indigenous people and women?Through the looking-glass of the dominant economic system, which has emerged over the last centuries, land acquisition and use of land are largely about economic values, land valuation and demarcation of diverse production areas – for food, energy, shelter, mineral commodities, border and buffer areas, etc. 

As the global competition on land is undoubtedly growing and the key question of how land might be managed best – with a side-view on land as a common, non-replaceable, nonproducible, indispensable good – the attention being given to knowledge transfer, “information brokerage” and capacity development on local to global land issues,and capacity development on local to global land issues, is increasing. 
Concerns about the economic, social and environmental impacts of land grabbing, in particular for the poor, are at the forefront of these efforts. Hence, certain uses and “products” of land are being increasingly recognized as a public good, as its properties generate benefits in favor of a vast majority of people beyond mere private profits.
From a development cooperation perspective, as through the scientific lens, land cannot and should not be reduced to a phenomenon such as land grabbing, although this trend is a burning issue.";"";"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH";"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH";"United Nations Convention to Combat Desertification";"2016-12-31";"en";"land acquisitions;land governance;land investments;land policies;land reform;land tenure;land tenure;land tenure systems";"Indigenous & Community Land Rights;Land & Investments;Land Stakeholders & Institutions;Socio-Economic & Institutional Context";"001";"Journal Articles & Books";"https://library.unccd.int/Details/fullCatalogue/716";"http://catalogue.unccd.int/716_land_in_development_cooperation_GIZ.pdf";"";"";"";"84";"";""
"UNCCD:729";"Land Tenure in Development Cooperation. Guiding Principles";"";"Land tenure issues are becoming increasingly important worldwide. Problems such as high population pressure, increases in resource degradation, food shortages, transformations of political systems and regional and supra-regional resource conflicts have brought the land issue to the public's attention.
Land tenure and land tenure systems are of fundamental importance for efficient agricultural production, stemming poverty and conflicts and attaining social equity. Thus, they are essential for securing enduring, self-supporting and sustainable development. Thus, ‘good governance’, participation, rule of law, certainty of the law, and access to productive resources, are (once again) of key importance for policy formulation and development cooperation.
These ‘guiding principles’ of ""Land Tenure in Development Cooperation"" are intended to be a contribution for applying German development cooperation options more effectively.";"";"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH";"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH";"United Nations Convention to Combat Desertification";"1998-12-31";"en";"land acquisitions;land conflicts;land governance;land investments;land policies;land tenure;land tenure;land tenure systems";"Indigenous & Community Land Rights;Land & Investments;Land Conflicts;Land Stakeholders & Institutions;Socio-Economic & Institutional Context";"002;005;013;142";"Journal Articles & Books";"https://library.unccd.int/Details/fullCatalogue/729";"http://catalogue.unccd.int/729_land_tenure_guiding_principles.pdf";"";"";"";"266";"";""
