ID;Title;Description;Acronym;Image;Geographical focus;Related concepts;Themes;Start date;End date;Budget Currency;Budget value;Budget value USD;website;Contact info;Staff;Donors;Implementers;Data provider
"MOD:619";"Developing an effectively managed and resilient network of protected areas in Lesser Sunda Ecoregion";"The project supports the development of a network of marine protected areas (MPAs), improved land-use planning on the part of the Indonesian provincial and district governments and effective fisheries management. The objective is to preserve ecosystems along the coastlines of the Lesser Sunda Islands in Indonesia, already threatened by overfishing, pollution, non-sustainable coastal zone development and climate change. The project is to take stock of the condition of the marine protected area in the Savu Sea, set up monitoring systems, conduct studies into various fishing methods and the resulting by-catch and question relevant actors about the MPA. It also trains decision-makers and other actors on how best to exploit this new data and information. In order to promote sustainable fisheries, the project advises on creating stronger market incentives and formulating appropriate strategies and regulations. This also contributes to food security in the region.";"";"";"IDN";"area;climate change;development;fisheries;food security;land;protected areas";"Land, Climate Change & Environment;Land & Food Security";"2013-01-31";"2017-06-30";"USD";"970000";"970000";"http://www.international-climate-initiative.com/de/nc/projekte/weltkarte-und-projektliste/?tx_wiminnoprojektkarte_pi1[pro]=276&t";"Programme Office of the International Climate Initiative, IKI, +49 (0)30 338 424 - 218 <programmbuero@programmbuero-klima.de>";"";"German Federal Ministry for Economic Cooperation and Development";"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH";"Global Donor Platform for Rural Development"
"MOD:752";"Adaptation to Climate Change in the Pacific Region";"Strengthening the capacities of regional organisations in the pacific region and their member states for mitigation to climate change.";"";"";"PLW;MHL;SLB;KIR;WSM;FJI;TUV;FSM;VUT;TON;PNG;NRU";"climate change";"Land, Climate Change & Environment";"2009-01-31";"2019-01-31";"USD";"13460000";"13460000";"";"";"";"German Federal Ministry for Economic Cooperation and Development;Swiss Agency for Development and Cooperation";"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH";"Global Donor Platform for Rural Development"
"MOD:610";"Compensation payments for resource and landscape management conducive to carbon storage";"Central America is the tropical region most severely affected by climate change worldwide. Soil degradation, forest loss and monocultures make it even more vulnerable to climate change. Regional efforts to harmonise climate protection activities and biodiversity goals have so far been unsuccessful. The project will create carbon sinks through forest landscape restoration (FLR) and establish these across the entire region. FLR is seen here as an approach that treats the entire landscape as a whole. The objective of the project is to restore forest resources in a way that is appropriate to the landscape as part of REDD+ in Central America.  Therefore, in supporting measures for preserving landscapes (e.g. compensation mechanisms), the different types of use that lead to increased carbon storage must be taken into account and the various user groups (small-scale forest owners) must be involved in designing the mechanisms. The lessons learned, especially with regard to the negotiation process and the implementation of compensation mechanisms related to FLR, will be fed into the international discussion on climate change, particularly into dialogue on REDD+.";"";"";"SLV;CRI;HND;PAN";"climate change;compensation;forest land;land;scale";"Land, Climate Change & Environment;Forest Tenure";"2014-10-31";"2017-10-31";"USD";"1330000";"1330000";"http://www.international-climate-initiative.com/en/nc/projects/projects/";"Programme Office of the International Climate Initiative, IKI, +49 (0)30 338 424 - 218 <programmbuero@programmbuero-klima.de>";"";"German Federal Ministry for Economic Cooperation and Development";"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH";"Global Donor Platform for Rural Development"
"MOD:611";"Ecosystem-based Adaptation for Ecosystem and Natural Resource-dependent Smallholder Farming Communities in Central America";"CI (Conservation International) and CATIE (Centro Agronómico Tropical de Investigación y Enseñanza, Costa Rica)  propose to assess vulnerability to climate change in ecosystems whose resources support smallholder farming communities in Central America and to develop and test strategies for Ecosystem-based Adaptation (EbA) to help highly vulnerable farming communities cope with climate change.";"";"";"CRI;GTM;HND";"climate change";"Land, Climate Change & Environment";"2012-04-30";"2017-12-31";"USD";"1000000";"1000000";"http://www.international-climate-initiative.com/en/nc/projekte/weltkarte-und-projektliste/?tx_wiminnoprojektkarte_pi1[pro]=240&t";"Programme Office of the International Climate Initiative, IKI, +49 (0)30 338 424 - 218 <programmbuero@programmbuero-klima.de>";"";"German Federal Ministry for Economic Cooperation and Development";"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH";"Global Donor Platform for Rural Development"
"MOD:612";"Climate Protection and Preservation of Primary Forests – A Management Model using the Wild Coffee Forests in Ethiopia as an Example";"The project objective is to preserve 200,000 ha of cloud forest in Kafa, the region of southwestern Ethiopia where coffee originated. Up to two million tons of CO2 emissions will be prevented over the course of the project term through reforestation, establishment of the first Ethiopian biosphere reserve, and introduction of management methods that conserve forest resources. Tried and proven processes of participatory management will be used to integrate climate protection and climate adaptation measures.";"";"";"ETH";"";"";"2009-11-30";"2013-10-31";"USD";"4700000";"4700000";"http://www.international-climate-initiative.com/de/nc/projekte/weltkarte-und-projektliste/?tx_wiminnoprojektkarte_pi1[pro]=73&tx";"Programme Office of the International Climate Initiative, IKI, +49 (0)30 338 424 - 218 <programmbuero@programmbuero-klima.de>";"";"German Federal Ministry for Economic Cooperation and Development";"Naturschutzbund Deutschland";"Global Donor Platform for Rural Development"
"MOD:613";"Climate protection through forest conservation in Pacific Island States";"The project aims to preserve forest ecosystems in the Pacific and thus contribute to climate change mitigation. To this end it is supporting three island states in creating the conditions necessary for par-ticipation in an international financing mechanism for reducing emissions from the forest sector (REDD+). Together with the partners it is developing REDD+ strategies and policies and boosting capabilities in the field of measurement, reporting and verification (MRV) at national level. At local level the project is working with communities and user groups to implement REDD+ pilot projects which directly protect the forest, while at regional level a coherent regional REDD+ policy is being developed. Apart from this the project is establishing a regional REDD+ information and support platform by setting up a virtual network of users and REDD+ specialists, installing a data platform and carrying out training for operating the network. ";"";"";"VUT;FJI;SLB;PNG";"climate change;forest conservation;land";"Land, Climate Change & Environment;Forest Landscape Restoration;Forest Tenure";"2010-12-31";"2015-03-31";"USD";"7200000";"7200000";"http://www.international-climate-initiative.com/de/nc/projekte/weltkarte-und-projektliste/?tx_wiminnoprojektkarte_pi1[pro]=150&t";"Programme Office of the International Climate Initiative, IKI, +49 (0)30 338 424 - 218 <programmbuero@programmbuero-klima.de>";"";"German Federal Ministry for Economic Cooperation and Development";"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH";"Global Donor Platform for Rural Development"
"MOD:614";"Pacific Mangroves Initiative for Climate Change Adaptation and Mitigation";"Objectives and measures of the project include the efforts to increase resilience to climate change and improve livelihoods of the people of the Pacific Islands through targeted strengthening of capacity in adaptive co-management and restoration of mangroves and associated ecosystems in each of the selected countries.";"";"";"WSM;FJI;TON;VUT;SLB";"climate change;land";"Land, Climate Change & Environment";"2009-12-31";"2014-06-30";"USD";"3700000";"3700000";"http://www.international-climate-initiative.com/de/nc/projekte/weltkarte-und-projektliste/?tx_wiminnoprojektkarte_pi1[pro]=53&tx";"Programme Office of the International Climate Initiative, IKI, +49 (0)30 338 424 - 218 <programmbuero@programmbuero-klima.de>";"";"German Federal Ministry for Economic Cooperation and Development";"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH";"Global Donor Platform for Rural Development"
"MOD:615";"REDD-Plus Benefits: Facilitating countries and communities in designing pro-poor REDD-Plus benefit-sharing schemes";"Pro-poor REDD benefit-sharing schemes incentivize reduction of forest emissions by safeguarding livelihoods of forest communities. This project fills a gap by building capacity and modeling benefit-sharing schemes for REDD activities. Aligned with the workplan of the REDD-Plus Partnership, it scales up actions needed for national REDD strategies under the Cancun Agreement.";"";"";"GHA;PER;MEX";"scale";"";"2012-12-31";"2015-11-30";"USD";"6800000";"6800000";"http://www.international-climate-initiative.com/de/nc/projekte/weltkarte-und-projektliste/?tx_wiminnoprojektkarte_pi1[pro]=324&t";"Programme Office of the International Climate Initiative, IKI, +49 (0)30 338 424 - 218 <programmbuero@programmbuero-klima.de>";"";"German Federal Ministry for Economic Cooperation and Development";"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH";"Global Donor Platform for Rural Development"
"MOD:616";"Protecting Tropical Forests in the Guiana Shield Ecological Region";"The project targets efforts to preserve the largest contiguous tropical forest complex in the world in three countries with areas located within the so-called Guiana Shield (Guyana, Surinam and Brazil). To this end, the project supports comprehensive conservation area management in the Brazilian states of Amapá and Pará. In Guyana and Surinam, inventory analyses are being conducted to quantify carbon, biodiversity and deforestation factors to provide a foundation for developing national REDD demonstration projects.";"";"";"GUY;SUR;BRA";"area;deforestation";"Land, Climate Change & Environment;Forest Landscape Restoration;Forest Tenure";"2009-10-31";"2013-12-31";"USD";"5200000";"5200000";"http://www.international-climate-initiative.com/en/nc/projekte/weltkarte-und-projektliste/?tx_wiminnoprojektkarte_pi1[pro]=215&t";"Programme Office of the International Climate Initiative, IKI, +49 (0)30 338 424 - 218 <programmbuero@programmbuero-klima.de>";"";"German Federal Ministry for Economic Cooperation and Development";"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH";"Global Donor Platform for Rural Development"
"MOD:617";"Locally appropriate mitigation actions in Indonesia (LAMA-I): strengthening district-level capacity for reducing land-based emissions and greening of economy within RAD-GRK (NAMA) policy coordinated by National Planning and Development Agency";"LAMA-I will support Indonesia’s global leadership in reducing land-based emissions through an integrated NAMA/REDD+ approach by strengthening capacity for local governments to combine development and spatial planning and to synergize climate-change mitigation and adaptation actions through multiple stakeholder negotiations. A recent Presidential Decree mandates all local government levels to develop plans as part of Indonesia's NAMA, but capacity to do so is unevenly distributed. Under the guidance of the National  Planning and Development Agency (Bappenas), the project will improve the methods that can be used at local government level and support capacity strenghening in strategically selected districts and provinces.";"";"";"IDN";"development;land";"";"2013-12-31";"2017-11-30";"USD";"6300000";"6300000";"http://www.international-climate-initiative.com/en/nc/projects/projects/";"Programme Office of the International Climate Initiative, IKI, +49 (0)30 338 424 - 218 <programmbuero@programmbuero-klima.de>";"";"German Federal Ministry for Economic Cooperation and Development";"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH";"Global Donor Platform for Rural Development"
"MOD:1193";"Promotion of Protected Areas in Azerbaijan - Ecoregional Program";"The Environmental Protection Program of Azerbaijan aims to contribute to the preservation of Azerbaijan's biodiversity without reducing the income of poor rural households in the long term.";"";"";"AZE";"compensation;customary law;customary tenure;eminent domain;expropriation;fisheries;forest land;indigenous peoples;land access;land acquisitions;land administration;land allocation;land consolidation;land distribution;land governance;land investments;land law;land markets;land ownership;land policies;land reform;land rights;land tenure;land tenure systems;land transfers;land use planning;legal empowerment;public ownership;security of tenure (land);state property";"Land & Investments;Forest Tenure;Indigenous & Community Land Rights";"2016-09-30";"2020-01-31";"USD";"615000";"615000";"";"";"";"German Federal Ministry for Economic Cooperation and Development";"KFW";"Global Donor Platform for Rural Development"
"MOD:810";"Protection and sustainable use of Selva Maya in Belice, Guatemala and Mexico";"Governmental and non-governmental actors of all three countries have implemented coordinated measures to protect and sustainably use the biodiversity and natural resources of the Selva Maya.";"";"";"MEX;GTM;BLZ";"";"";"2015-01-31";"2019-01-31";"USD";"7140000";"7140000";"";"";"";"German Federal Ministry for Economic Cooperation and Development";"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH";"Global Donor Platform for Rural Development"
"MOD:811";"Increase the use of the Voluntary Guidelines on the Responsible Governance of Tenure of Land, Fisheries and Forests (VGGT) among CSO and grassroots organization";"Summary: This project under the overall umbrella of the VGGT will serve to develop the capacity of stakeholders to implement improvements to tenure arrangements and thereby promote food security and sustainable development. The project is implemented in 19 countries, namely Malawi, Niger, Senegal, South Africa, Liberia, Sierra Leone, Mauritania, Mali, Uganda, Guinea, Cote d'Ivoire; Myanmar, Nepal, Mongolia, Philippines, Indonesia; Kyrgyzstan; Guatemala, Colombia. Improving transparent, equitable, secure access to and control over land, fisheries and forests and protecting the legitimate tenure rights, whether formal or informal, of millions of poor and insecure people, is a critical part of improving food security. The project contributes to this objective through fostering increased understanding on the VGGT use among CSOs and grass roots organizations to boost their contribution to the multi-stakeholder platforms and other tenure-related ongoing processes at country level and  strengthening the partnerships for the wider application and implementation of the VGGT at all levels. The project has produced a capacity development manual for CSOs ""Putting the Voluntary Guidelines on Tenure into Practice: A Learning Guide for Civil Society Organizations"" written in partnership with FIAN International as coordinating the Land and Territory Working Group of the International Planning Commiteee for Food Sovereignty (IPC).";"";"";"NPL;LBR;PHL;MRT;UGA;KGZ;GTM;MLI;MMR;IDN;ZAF;SLE;CIV;SEN;GIN;MWI;NER;COL;MNG";"climate change;compensation;customary law;customary tenure;eminent domain;eviction;expropriation;fisheries;forest land;indigenous land rights;indigenous peoples;land access;land acquisitions;land administration;land allocation;land conflicts;land consolidation;land dispute;land dispute resolution;land distribution;land governance;land investments;land law;land markets;land ownership;land policies;land reform;land rights;land tenure;land tenure systems;land transfers;land use planning;land valuation;legal empowerment;natural disasters;public ownership;research;security of tenure (land);state property;title deed;women";"Land Conflicts;Land & Gender;Land in Post-Conflict Settings;Land, Climate Change & Environment;Land & Investments;Forest Tenure;Indigenous & Community Land Rights";"2014-08-31";"2017-12-31";"USD";"2800000";"2800000";"http://www.fao.org/tenure/en/";"David Egiashvili, FAO, +39 0657052322 <David.Egiashvili@fao.org>";"";"Ministry of Foreign Affairs of the Netherlands;Swiss Agency for Development and Cooperation;Swedish International Development Cooperation Agency (SIDA);Food and Agriculture Organization of the United Nations (FAO);Belgian Development Agency";"Food and Agriculture Organization of the United Nations (FAO)";"Global Donor Platform for Rural Development"
"MOD:1192";"Small and medium irrigation perimeters (PMH III)";"Increase of the agricultural production on the rehabilitated perimeters by improving the mobilization and distribution of water.";"";"";"MAR";"land governance;land law";"";"2017-06-30";"2020-01-31";"USD";"1276000";"1276000";"";"";"";"German Federal Ministry for Economic Cooperation and Development";"KFW";"Global Donor Platform for Rural Development"
"MOD:876";"Rural Livelihoods Improvement Project for Kratie, Preah Vihear and Ratanakiri";"The project aimed to improve agricultural techniques targeting poor people in 84 poor communes in the provinces of Kratie, Preah Vihear and Ratanakiri. About 22,600 poor households were expected to benefit from the project’s activities.

Land and natural resource governance related interventions supported awareness raising on law related to land, running public meeting on legal implication of land law, and organizing workshop with key stakeholders including civil society on land law at provincial and district level.";"";"";"KHM";"customary law;customary tenure;land access;land acquisitions;land administration;land distribution;land governance;land law;land ownership;land reform;land rights;land tenure;land tenure systems;land transfers;land use planning;security of tenure (land)";"";"2007-08-31";"2014-09-30";"USD";"2870000";"2870000";"http://operations.ifad.org/web/ifad/operations/country/project/tags/cambodia/1350/project_overview";"Harold Liversage, IFAD <h.liversage@ifad.org>";"";"International Fund for Agricultural Development (IFAD)";"Government of the Kingdom of Cambodia";"Global Donor Platform for Rural Development"
"MOD:683";"Support for Implementation of SOLA Open Source Software in Nigeria";"The objective of the project is to develop an open source enterprise software application that supports core cadastre and registration functions. The project will provide support for the customization of the initial SOLA software and its implementation in Nigeria.
The project will establish an open source community of users and developers around the SOLA software and improve sustainability, efficiency and transparency.";"";"";"NGA";"climate change;compensation;customary law;customary tenure;eminent domain;eviction;expropriation;fisheries;forest land;indigenous land rights;indigenous peoples;land access;land acquisitions;land administration;land allocation;land conflicts;land consolidation;land dispute;land dispute resolution;land distribution;land governance;land investments;land law;land markets;land ownership;land policies;land reform;land rights;land tenure;land tenure systems;land transfers;land use planning;land valuation;legal empowerment;natural disasters;public ownership;research;security of tenure (land);state property;title deed;women";"Land Conflicts;Land & Gender;Land in Post-Conflict Settings;Land, Climate Change & Environment;Land & Investments;Forest Tenure;Indigenous & Community Land Rights";"2012-11-30";"2016-12-31";"USD";"690000";"690000";"http://www.fao.org/nr/tenure/en/";"Andrew Hilton, FAO, +39 0657054987 <Andrew.Hilton@fao.org>";"";"Food and Agriculture Organization of the United Nations (FAO);UK Department for International Development";"Adam Smith International";"Global Donor Platform for Rural Development"
