Link to the original website;ID;Title;Publicaton date (YYYY/MM);Thumbnail;Authors;Abstract/Description;Link to the publication;Publishers;Geographical focus;Language;Resource types;Open Access;Related Concepts;Themes;Overarching Categories
http://salandobservatory.org/2015/05/agrement-south-africa-bill-b3b-2015-adoption-expropriation-bill-b4-2015-consideration-of-submissions-received/;salo:1570;"Agrément South Africa Bill [B3B-2015] adoption; Expropriation Bill [B4-2015]: consideration of submissions received";26/05/2015;private://feeds/SALO-thumbnail.png;Mr B Martins;"The Chairperson went through the A-List and verified that the amendments had been effected in the Agrément South Africa Bill [B3B-2015]. Members moved to adopt the Bill, and it was adopted.

The Committee also considered submissions received on the Expropriation Bill. The period had run from 19 April to 6 May 2015, but due to the comments made in most of the submissions received, the Chairperson believed it would be better to extend the submission period. Most of the submissions had indicated that the period was inadequate. However, some stakeholders had been able to conduct their research and make the written submissions to the Committee. Nonetheless the Department was in agreement with the Committee to extend the submission period. An additional three weeks would be added from 7 June to 30 June.";https://pmg.org.za/committee-meeting/20933/;Parliamentary Monitoring Group;ZAF;en;Policy Papers & Briefs;Yes ;"agriculture;research;agrarian reform;poverty;willing seller";;
http://salandobservatory.org/2015/07/expropriation-bill-b4-2015-public-hearings-with-deputy-minister-in-attendance/;salo:1596;Expropriation Bill [B4-2015]: public hearings with Deputy Minister in attendance;28/07/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Mr B Martins;The South African Institute of Race Relations said the Bill made it difficult for the compensation amount to be decided by a court, and the Bill did not allow the courts to examine and rule on the validity of the expropriation. The Bill tried to limit how often people could go to court about the amount of compensation. The IRR argued that 60 days was not enough time for the claimant to institute legal proceedings for the determination of the compensation, this should be extended to 180 days. Compensation should include damages for additional losses. Compensation needed to be paid 15 days before the municipality took ownership of the property.;https://pmg.org.za/committee-meeting/21200/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"compensation;property;investment funds;private ownership;land ownership;property rights";Land & Investments;"Land Policy & Legislation;Access to Land & Tenure Security"
http://salandobservatory.org/2015/07/expropriation-bill-b4-2015-public-hearings-with-deputy-minister-in-attendance-day-2/;salo:1598;Expropriation Bill [B4-2015]: public hearings with Deputy Minister in attendance Day 2;29/07/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Mr B Martins;Agri SA supported orderly land reform – equitable land distribution is a prerequisite for rural stability and inclusive rural development. Agri-SA believed that expropriation should only be used as a last resort where negotiations fail. There needed to be a clear purpose for expropriation. Compensation should never be dependent on the state’s ability to pay. The land owner should always be afforded recourse to the courts to contest both the merits of the expropriation and the compensation amount. Claimants should as far as possible be placed in the same position as was the case before the expropriation. Some of Agri SA’s concerns were the wide definitions of “expropriating authority” and “public interest”. These broad definitions left a lot of room for uncertainty. The gathering of relevant data was crucial to the calculation of compensation which was just and equitable. No land owner should either unduly benefit or from land reform. be penalised. Agri SA acknowledged that market value was not the only consideration, however it still has a central role to play in the approach adopted by our courts. Landowners, whose land was earmarked for land reform purposes, must be placed in a position to continue farming elsewhere should they wish to do so.;https://pmg.org.za/committee-meeting/21209/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"land reform;rural development;compensation;land ownership;land rights;land acquisitions;poverty;land;land use;land cover;geomatics";;"Land Use, Management & Investment;Access to Land & Tenure Security"
http://salandobservatory.org/2015/08/expropriation-bill-b4-2015-deliberations-on-public-comments-in-presence-of-deputy-minister/;salo:1602;Expropriation Bill [B4-2015]: deliberations on public comments, in presence of Deputy Minister;25/08/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Mr B Martins;The Deputy Minister of Public Works, Mr Jeremy Cronin, briefed the Committee on the preliminary responses of the Department of Public Works (DPW) to the inputs received during the public hearings on the Expropriation Bill [B4- 2015]. However, the Department had been expecting that the Committee would finalise its report on those hearings and thus did not yet have a full written response. The DPW acknowledged that there were many useful points but had not accepted all input.;https://pmg.org.za/committee-meeting/21378/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"compensation;reforms;property rights;property;property law";;"Land Policy & Legislation;Access to Land & Tenure Security"
http://salandobservatory.org/2015/08/expropriation-bill-b4-2015-deliberations-on-public-comments-with-deputy-minister/;salo:1604;Expropriation Bill [B4-2015]: deliberations on public comments, with Deputy Minister;26/08/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Mr B Martins;The Deputy Minister of Public Works continued to take Members through the comments made during the public hearings on the Expropriation Bill, indicating what comments had been made and whether the Department agreed with them or had other views. The Department had added to the Preamble to make it clear that section 34 of the Constitution provided that anyone had the right to approach the courts for resolution of a dispute. In relation to the definitions, there was discussion on whether the Bill should refer to both high courts and magistrates’ courts. One of the difficulties perceived with including the magistrates’ courts, despite the fact that they were more accessible and less expensive, was their capacity.;https://pmg.org.za/committee-meeting/21387/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"compensation;reforms;property rights;property;property law";;"Land Policy & Legislation;Access to Land & Tenure Security"
http://salandobservatory.org/2015/09/expropriation-bill-b4-2015-deliberations-with-deputy-minister/;salo:1607;Expropriation Bill [B4-2015]: deliberations with Deputy Minister;01/09/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Mr B Martins;"The Bill incorporating the proposed amendments was not yet ready so the Deputy Minister discussed with the Committee some of the proposed changes to the Bill that had been agreed upon so far.

Members raised concerns about the variation in judgements in Magistrates Courts; the potential definition of expropriation; definition of  property being not limited to land. Some MPs wanted to “subject to the payment of just and equitable compensation” and just add “according to the Constitution and the Act”.";https://pmg.org.za/committee-meeting/21418/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"property;land;compensation";;
http://salandobservatory.org/2015/09/expropriation-bill-deliberations-with-deputy-minister/;salo:1609;Expropriation Bill: deliberations, with Deputy Minister;08/09/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png; Mr B Martins;"The Deputy Minister of Public Works presented the latest version of the Expropriation Bill, with some amendments that had been proposed by the Committee or other commentators at earlier sessions. Members firstly wanted to clarify whether this Bill was not preventing other spheres of government from exercising expropriation powers, and the Deputy Minister clarified that any such processes would have to be in line with legislation and following the precepts of Chapter 3 of the Bill. That chapter deals with the investigation facts; and set out how the expropriating authority investigated the feasibility and desirability of proceeding with the expropriation.";https://pmg.org.za/committee-meeting/21476/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"compensation;land administration;public ownership;town and country planning";Urban Tenure;Land Use, Management & Investment
http://salandobservatory.org/2015/10/expropriation-bill-b4-2015-consideration-with-deputy-minister/;salo:1612;Expropriation Bill [B4-2015]: consideration with Deputy Minister;13/10/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Mr B Martins;The Department produced a Working Draft of the Bill that incorporated all the proposed amendments previously made by the Committee. The Deputy Minister indicated that the Department had introduced the definition of “disputing party” in clause 1, which indicated that the “ disputing party includes an owner, holder of an unregistered right, expropriated owner or expropriated holder that does not accept the amount of compensation offered in terms of clause 14(1)”. The word “claimant” had now been replaced by “disputing party” although the word “claimant” is still retained in some of the clauses but it was felt that claimants are no longer claimants at certain points of the process.;https://pmg.org.za/committee-meeting/21580/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"compensation;land;property;land rights;property rights";;"Land Policy & Legislation;Access to Land & Tenure Security"
http://salandobservatory.org/2015/10/expropriation-bill-b4-2015-chapters-1-3-proposed-amendments-with-deputy-minister/;salo:1614;Expropriation Bill [B4-2015]: Chapters 1-3 proposed amendments, with Deputy Minister;20/10/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Mr B Martins;"The Committee considered the official list of proposed amendments to the Bill (the A-list) accompanied by the B version of the Bill incorporating all the proposed amendments into the Bill.

An ANC member suggested that “subject to just and equitable compensation” in the long title of the Bill should be deleted and replaced by “as contemplated in section 25 of the Constitution”. He said that the Bill at the moment looked like it was both an Expropriation and Compensation Bill, while it only needed to focus on expropriation. Opposition members strongly objected, saying that the phrase “subject to just and equitable compensation” in the long title was a crucial component of the Bill. The suggestion to delete it was flagged.";https://pmg.org.za/committee-meeting/21663/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"compensation;property;investment funds;occupation;land ownership;property rights";Land & Investments;"Land Policy & Legislation;Access to Land & Tenure Security"
http://salandobservatory.org/2015/10/expropriation-bill-b4-2015-chapter-4-proposed-amendments-with-deputy-minister/;salo:1617;Expropriation Bill [B4-2015]: Chapter 4 proposed amendments, with Deputy Minister;21/10/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Mr B Martins;"The Committee continued deliberations on the official list of committee proposed amendments to the Bill (A-list) accompanied by the B version which incorporated all the proposed amendments into the Bill. Chapter 4 on Intention to Expropriate and Expropriation of Property  was completed.

A DA member suggested that the Department should add the date of expropriation which should not be earlier than 90 days from the date of such service in clause 8(3)(e) and (f) so as to indicate an appropriate timeframe for the transfer of ownership and possession. The Parliamentary Legal Adviser maintained that the matter had already been covered in clause 9(2)(a) and 9(4) and there was no need for it to be repeated. Members wanted clarity on clause 9(1) particularly where the property to be expropriated was under a mortgage bond. The Department explained that clause 9(1)(a) made it clear that the property is released from the mortgage bond on the date of expropriation; therefore, the owner’s responsibility to pay the mortgage bond is suspended. It was important not to confuse date of possession with the date of expropriation.";https://pmg.org.za/committee-meeting/21681/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"property;compensation;property law;land ownership";;Land Policy & Legislation
http://salandobservatory.org/2015/10/expropriation-bill-b4-2015-clauses-12-to-24-deliberations-with-deputy-minister/;salo:1619;Expropriation Bill [B4-2015]: clauses 12 to 24 deliberations, with Deputy Minister;27/10/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Mr B Martins;The Committee continued with deliberations on the official list of proposed amendments to the Bill (A-list) accompanied by the B version of the Bill incorporating all the proposed amendments into the Bill. A DA member pointed out that the factors that had been highlighted in clause 12(1)(a), (b), (c), (d) and (e) had no direct monetary value and it was difficult to see how these factors would affect the compensation. There was a proposal that the Department should add a clause 12(2)(g) that would focus on the actual financial loss that had been incurred by the expropriated owner. Deputy Minister Cronin explained that the introduction of a clause 12(2)(g) would be construed as factors not to be taken into consideration. The Department was aware that there might be a financial loss incurred by the expropriated owner but there might also be a financial gain and this would be determined by what is “just and equitable” based on the five factors to be taken into consideration.;https://pmg.org.za/committee-meeting/21707/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"compensation;land reform;property;eviction;security of tenure (land)";;Access to Land & Tenure Security
http://salandobservatory.org/2015/10/agriculture-forestry-and-fisheries-budgetary-review-and-recommendations-report/;salo:1621;Agriculture, Forestry and Fisheries Budgetary Review and Recommendations Report;27/10/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Ms M Semenya;"The Portfolio Committee’s Content Advisor provided a summary of the key financial and performance recommendations contained in the 2013/14 Budgetary Review and Recommendations Report, and described those that had been brought to the attention of the Minister of the Department of Agriculture, Forestry and Fisheries (DAFF), as well as to the Minister of Finance.

It had been recommended that the DAFF Minister engage with the Minister of Environmental Affairs to consider certain provisions of the National Environmental Management Act (NEMA) and the Marine Living Resources Act that restricted the development of aquaculture and small scale fisheries, and the regulations that required veterinarians to obtain permits for rendering services to Threatened or Protected Species (TOPS), such as rhinos.";https://pmg.org.za/committee-meeting/21713/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"agriculture;forestry;fisheries;land environment;aquaculture;protected areas;forestry policies;property;agricultural land management";"Land, Climate change & Environment;Forest Tenure";"Land Policy & Legislation;Land Use, Management & Investment"
http://salandobservatory.org/2015/10/one-woman-one-hectare-of-land-cge-report-rural-development-land-reform-budget-review-recommendations-report/;salo:1624;"One Woman, One Hectare of Land CGE Report; Rural Development & Land Reform Budget Review & Recommendations Report";28/10/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Ms P Ngwenya-Mabila;The Commission for Gender Equality presented on its proposed campaign called One Woman, One Hectare of Land’. The campaign aims to mainstream gender equality, for it was proposed that the State should allocate one hectare of land, for the growing of food, to the poorest rural female-run households. It was believed that this would help alleviate poverty and empower rural women. It was pointed out that where women had land, their families generally were better nourished, better educated and able to move on. Land rights should be passed on officially to such women and they should then be able to build the skills of their children and pass the land to them in due course.;https://pmg.org.za/committee-meeting/21725/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"gender equity in access to land;poverty;land rights;land;women;land ownership;land reform;private ownership;property rights;land use;agriculture;research;agricultural landscape;state property;land ownership";Land & Gender;"Land Policy & Legislation;Land Use, Management & Investment;Access to Land & Tenure Security"
http://salandobservatory.org/2015/11/expropriation-bill-b4-2015-deliberations-with-deputy-minister-2/;salo:1627;Expropriation Bill [B4-2015]: deliberations, with Deputy Minister;03/11/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Mr B Martins;The Committee continued with the deliberation on the official list of proposed amendments to the Bill (A-list) accompanied by the B version of the Bill incorporating all the proposed amendments into the Bill. A UDM MP wanted to know how it was possible to make reference to sections 12 and 13 of the Expropriation Act of 1975 in clause 29(1)(b) while this law had been repealed in clause 31. It seemed superfluous to make reference to an Act that had been repealed. Deputy Minister Cronin responded that clause 32(1)(b) clarified that “this Act does not apply to any expropriation initiated through delivery of a notice of expropriation prior to the date of commencement of this Act or to any consequences of any expropriation initiated or completed prior to the date of commencement of this Act”. The Expropriation Act (No 63 of 1975) was currently in operation but there will be a transition period to phase it out when implementing the new Act;https://pmg.org.za/committee-meeting/21766/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"property;public ownership;compensation;statutory tenure;statute law";;"Land Policy & Legislation;Access to Land & Tenure Security"
http://salandobservatory.org/2015/11/communal-property-association-2015-annual-report-rama-and-riemvasmaak-updates-department-rural-development-land-reform-briefings-minute-adoption/;salo:1630;Communal Property Association 2015 Annual Report, Rama and Riemvasmaak updates: Department Rural Development & Land Reform briefings, minute adoption;04/11/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Ms P Ngwenya-Mabila;The Department of Rural Development and Land Reform (DRDLR) presented the Annual Report 2014/15 for the Communal Property Associations (CPAs). To date, 1 428 CPAs were registered, with 48 being registered in the last financial year. Challenges faced by CPAs included ongoing conflicts amongst CPA members which centred on governance issues, and the fact that some CPAs were insolvent and needed an injection of funds to put them on a sound footing. 29 CPAs were untraceable, 20 CPAs had lost (through sale or loss by attachment) 10 668 hectares of land, and nine CPAs were under administration. Compliant CPAs were those that updated the membership list, had a valid constitution, held regular AGMs and elections, and submitted annual reports to the Director General. 147 CPAs, involving 411 195 hectares of land, were referred to the Land Rights Management Facility (LRMF) for regularisation. 40 had been regularised to date, including 12 in 2014/15. 65 cases were pending, and 42 were unable to be regularised and were sent back to the Department. R6 158 556 was disbursed by LRMF for CPAs Panel funds in this financial year.;https://pmg.org.za/committee-meeting/21790/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"communal territory;land;land administration;regularization of ownership;capacity building;security of tenure (land)";Indigenous & Community Land Rights;"Land Policy & Legislation;Land Use, Management & Investment;Access to Land & Tenure Security"
